word	Sundanese-su	emotion	emotion-intensity-score
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	nyiksa	anger	0.812
tyrant	mairan	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	kesel	anger	0.812
vendetta	vendetta	anger	0.812
fierce	galak	anger	0.812
destroyer	kapal keur ngahancurkeun musuh	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	primitip	anger	0.812
anger	ambek-ambekan	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	Slam	anger	0.803
fights	gelut	anger	0.803
punched	ditinju	anger	0.803
bitch	anjing	anger	0.803
punching	punching	anger	0.803
homicide	rajapati	anger	0.803
destructive	destructive	anger	0.797
ruthless	kejam	anger	0.797
villainous	villainous	anger	0.797
slap	nyabok	anger	0.791
slaughterhouse	slaughterhouse	anger	0.788
punishing	punishing	anger	0.788
destroyed	ancur	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	nyieun onar	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ngagorowok	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	rajapati	anger	0.783
clash	pasea	anger	0.783
bloody	getihan	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	detonation	anger	0.781
quarrel	pasea	anger	0.781
sinister	sinister	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	tuduh	anger	0.779
treacherous	khianat	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	retaliate	anger	0.773
revulsion	revulsion	anger	0.773
madder	madder	anger	0.773
horrific	horrific	anger	0.773
scorn	scorn	anger	0.769
deplorable	deplorable	anger	0.766
bomb	bom	anger	0.766
anarchist	anarkis	anger	0.765
devastation	devastation	anger	0.765
resent	ambek	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	nista	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	jahat	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ampuh	anger	0.758
smash	ngabantingkeun	anger	0.758
rant	gembor	anger	0.758
outburst	outburst	anger	0.757
snarl	snarl	anger	0.754
profane	profan	anger	0.750
offend	nyigeung	anger	0.750
douchebags	douchebags	anger	0.750
growling	growling	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarity	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	nganggap hina	anger	0.750
horror	kaayaan sieun	anger	0.750
aggravating	ngakeuheulkeun	anger	0.750
revolting	revolting	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	ancaman	anger	0.742
erupt	bitu	anger	0.742
screaming	screaming	anger	0.742
violence	dipaksaan	anger	0.742
horrible	pikasieuneun	anger	0.742
molestation	molestation	anger	0.742
bastards	bastards	anger	0.741
revenge	carana males kanyeri	anger	0.738
catastrophe	bencana	anger	0.735
menacing	menacing	anger	0.735
demon	setan	anger	0.735
crushing	crushing	anger	0.735
damn	Bangsat	anger	0.735
persecute	milaraan	anger	0.734
argue	ngabantah	anger	0.734
flog	flog	anger	0.734
revolt	berontak	anger	0.734
thrash	thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	perang	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehement	anger	0.734
riotous	riotous	anger	0.734
altercation	altercation	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	ngabiri	anger	0.727
sabotage	sabotase	anger	0.727
malevolent	malevolent	anger	0.721
strike	neunggeul	anger	0.721
disaster	bencana	anger	0.721
disastrous	anu mawa musibah	anger	0.720
tumult	tumult	anger	0.719
madden	Madden	anger	0.719
devil	setan	anger	0.719
scream	ngajerit	anger	0.719
brutal	kejam	anger	0.719
treachery	treachery	anger	0.719
scorching	scorching	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	nu sirik	anger	0.719
slay	slay	anger	0.719
disdain	disdain	anger	0.719
choke	nyekek	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	mutilation	anger	0.714
criminal	perkara kajahatan	anger	0.714
denunciation	denunciation	anger	0.713
punch	punch	anger	0.713
crucifixion	Crucifixion	anger	0.712
virulence	virulence	anger	0.712
battled	battled	anger	0.712
fatal	nasibna geus teu bisa dirobah	anger	0.712
holocaust	Holocaust	anger	0.712
blasphemous	blasphemous	anger	0.712
hurting	hurting	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atrocious	anger	0.706
evil	jahat	anger	0.706
irritated	jengkel	anger	0.706
assassin	jelema nu maehan	anger	0.703
dicks	dicks	anger	0.703
persecution	milaraan	anger	0.703
slayer	sina	anger	0.703
kidnap	nyulik	anger	0.703
scolding	scolding	anger	0.703
intimidation	tindakan keur nyingsieunan	anger	0.703
aggravated	aggravated	anger	0.703
aggression	agresi	anger	0.702
armed	kapakarang	anger	0.700
poison	racun	anger	0.697
snarling	snarling	anger	0.697
venom	venom	anger	0.697
battle	perang	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	insidious	anger	0.691
assailant	assailant	anger	0.691
resentment	ambek-ambekan	anger	0.691
lynch	Lynch	anger	0.690
contemptuous	contemptuous	anger	0.690
temper	watek	anger	0.688
imprisonment	hukuman bui	anger	0.688
disparage	disparage	anger	0.688
bully	premanisme	anger	0.688
terrible	goreng teuing	anger	0.688
lunatic	lunatic	anger	0.688
curse	kutukan	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominasi	anger	0.688
mad	gelo	anger	0.688
infanticide	infanticide	anger	0.688
volatility	volatility	anger	0.687
eradication	ngabasmi	anger	0.685
tantrum	tantrum	anger	0.682
devastate	ngahancurkeun	anger	0.682
eradicate	ngabasmi	anger	0.682
scoundrel	bangsat	anger	0.682
aggressively	aggressively	anger	0.680
agitation	agitation	anger	0.680
dictatorship	diktator	anger	0.676
irritates	irritates	anger	0.676
profanity	profanity	anger	0.673
egregious	kalakuan kakoncara	anger	0.672
expletive	expletive	anger	0.672
nasty	pikageuleuhan	anger	0.672
shove	nyurung	anger	0.672
shot	tembakan	anger	0.672
harmful	picilakaeun	anger	0.672
aggravation	kakeuheul	anger	0.672
contempt	geuleuh	anger	0.672
poisonous	aya racuna	anger	0.672
dastardly	dastardly	anger	0.672
shoot	nembak	anger	0.672
corrupting	corrupting	anger	0.672
condemnation	hukuman	anger	0.672
wreak	wreak	anger	0.672
crushed	ditumbuk	anger	0.672
cruelly	cruelly	anger	0.672
crime	kajahatan	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	bibitu	anger	0.667
odious	odious	anger	0.667
shooting	shooting	anger	0.667
kick	nyepak	anger	0.667
aggressive	agresip	anger	0.667
combat	perang	anger	0.667
shout	ngagorowok	anger	0.667
hit	neunggeul	anger	0.667
fight	gelut	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	musuh	anger	0.667
irritable	gampang ambek	anger	0.667
punished	dihukum	anger	0.662
ambush	tewak	anger	0.661
yell	ngagorowok	anger	0.661
harass	ngaganggu	anger	0.659
malignant	ngabahayakeun	anger	0.656
aggressor	nu merangan	anger	0.656
antichrist	Dajjal	anger	0.656
gore	Gore	anger	0.656
incense	dupa	anger	0.656
expel	ngaluarkeun	anger	0.656
destruction	karuksakan	anger	0.656
grudge	grudge	anger	0.656
cranky	ngambek	anger	0.653
offended	gelo	anger	0.652
spank	spank	anger	0.652
growl	ngagerem	anger	0.652
insurrection	insurrection	anger	0.652
reprisal	pamalesan kanyeri	anger	0.652
slave	budak	anger	0.652
denounce	nyawad	anger	0.652
animosity	kanyeri	anger	0.652
insulting	ngahina	anger	0.652
clashing	clashing	anger	0.652
growls	growls	anger	0.649
executioner	algojo	anger	0.644
twat	twat	anger	0.644
doomsday	kiamat	anger	0.643
daemon	daemon	anger	0.641
obscenity	tindakan jorang	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	bencana	anger	0.641
feud	mumusuhan	anger	0.641
grr	grr	anger	0.641
arson	pameuleuman imah	anger	0.641
reprimand	tegoran	anger	0.641
expulsion	expulsion	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	nu dituding	anger	0.641
indignant	indignant	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	tatu	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	diracun	anger	0.636
batter	adonan	anger	0.636
kicking	najong	anger	0.636
hanging	nongkrong	anger	0.636
spanking	spanking	anger	0.636
disgusting	pikageuleuhan	anger	0.636
combatant	combatant	anger	0.636
frustrated	frustasi	anger	0.636
anarchy	tanpa aturan	anger	0.636
glaring	glaring	anger	0.636
inflict	momotkeun	anger	0.633
wrecked	wrecked	anger	0.633
grievous	grievous	anger	0.632
prosecute	ngadawa	anger	0.630
agitated	agitated	anger	0.630
cheat	curang	anger	0.630
swastika	swastika	anger	0.627
defamatory	fitnah	anger	0.625
suffocation	kakurangan napas	anger	0.625
strife	alatan masalah	anger	0.625
provocation	provocation	anger	0.625
injure	ngadek	anger	0.625
harassing	harassing	anger	0.625
scourge	scourge	anger	0.625
cursing	cursing	anger	0.625
betray	ngahianat	anger	0.625
indict	ngadakwa	anger	0.625
raid	ngoroyok	anger	0.625
thundering	thundering	anger	0.625
enslaved	enslaved	anger	0.625
arsehole	arsehole	anger	0.624
insane	gelo	anger	0.621
fiend	fiend	anger	0.621
irritate	ngaganggu	anger	0.621
convict	narapidana	anger	0.621
jerk	jerk	anger	0.621
theft	papalingan	anger	0.621
retaliation	pamalesan kanyeri	anger	0.621
deprivation	deprivation	anger	0.621
cussed	cussed	anger	0.619
turmoil	kaributan	anger	0.618
smack	smack	anger	0.615
retribution	retribusi	anger	0.614
twats	twats	anger	0.609
intolerable	teu kaampeuh	anger	0.609
rebellion	babahaan	anger	0.609
injurious	injurious	anger	0.609
oppressor	oppressor	anger	0.609
slavery	perbudakan	anger	0.609
irritability	sénsitip	anger	0.609
collision	tabrakan	anger	0.609
bitterly	bitterly	anger	0.609
gang	gorombolan	anger	0.609
antagonism	mumusuhan	anger	0.609
battery	batre	anger	0.609
adverse	ngarugikeun	anger	0.609
disgraced	disgraced	anger	0.608
irritating	irritating	anger	0.606
revolution	puteran	anger	0.606
thug	preman	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	blast	anger	0.606
irks	irks	anger	0.606
sickening	sickening	anger	0.606
discrimination	pilih kasih	anger	0.606
antagonistic	antagonistic	anger	0.606
ranting	ranting	anger	0.606
asshole	Bangsat	anger	0.606
frustrate	ngagagalkeun	anger	0.604
manipulation	manipulasi	anger	0.603
tension	kaayaan kaku	anger	0.603
insult	ngahina	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	nyeri pisan	anger	0.603
oppression	tekenan	anger	0.603
disgust	geuleuh	anger	0.602
spite	spite	anger	0.600
intrusive	intrusive	anger	0.598
harshness	harshness	anger	0.597
slur	slur	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	narajangan	anger	0.594
puncture	kabocoran	anger	0.594
miserable	henteu resep	anger	0.594
assail	assail	anger	0.594
storming	storming	anger	0.594
casualty	korban	anger	0.594
bitterness	kapaitan	anger	0.594
morbidity	morbidity	anger	0.594
tempest	tempest	anger	0.594
consternation	consternation	anger	0.592
depraved	depraved	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	kaliru	anger	0.591
immoral	teu pantes	anger	0.591
forcibly	forcibly	anger	0.591
overpowering	overpowering	anger	0.591
accursed	accursed	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	nu narajang	anger	0.588
scare	nyingsieunan	anger	0.588
screwed	ngaco	anger	0.588
indignation	indignation	anger	0.587
jealousy	katimburu	anger	0.587
vexed	vexed	anger	0.586
confront	ngadu pamadegan langsung	anger	0.582
brute	BRUTE	anger	0.581
throttle	klep panutup	anger	0.579
wreck	wreck	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	Anjeun pikasebeleun	anger	0.578
damage	karuksakan	anger	0.578
butcher	tukang jagal	anger	0.578
conflict	pasea	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	criminality	anger	0.578
bickering	bickering	anger	0.578
pillage	pillage	anger	0.578
blaze	blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	kup	anger	0.578
contentious	contentious	anger	0.578
incarceration	incarceration	anger	0.578
defiant	defiant	anger	0.578
provoking	provoking	anger	0.578
lash	lash	anger	0.578
cancer	kangker	anger	0.577
frustration	hanjelu	anger	0.576
gory	gory	anger	0.576
alienation	tempat keur ngasingkeun	anger	0.576
discord	discord	anger	0.576
disturbance	gangguan	anger	0.576
grope	grope	anger	0.576
condescension	condescension	anger	0.576
pernicious	pernicious	anger	0.576
blasphemy	pitenah	anger	0.576
discriminate	ngabentenkeun	anger	0.576
chaotic	kacow	anger	0.576
gun	bedil	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	oppressive	anger	0.574
death	tilar dunya	anger	0.574
jab	jab	anger	0.574
cursed	dilaknat	anger	0.574
scandalous	scandalous	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	shit	anger	0.573
disparaging	disparaging	anger	0.571
slash	slash	anger	0.571
unfair	teu adil	anger	0.571
gallows	gallows	anger	0.570
escalate	ngalebarkeun	anger	0.569
intolerant	teu boga sikap sabar	anger	0.564
lawlessness	lawlessness	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdition	anger	0.562
taunt	taunt	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	deceived	anger	0.562
slander	pitenah	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	narajang	anger	0.562
bellows	bellows	anger	0.562
beast	sato galak	anger	0.562
frightful	frightful	anger	0.562
derogatory	derogatory	anger	0.562
glare	sorotan	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	dreadful	anger	0.562
traitor	nu ngahianat	anger	0.562
malign	malign	anger	0.562
wrangling	wrangling	anger	0.562
dissension	dissension	anger	0.561
banshee	banshee	anger	0.561
shatter	meupeuskeun	anger	0.561
conflagration	conflagration	anger	0.561
jeopardize	jeopardize	anger	0.561
thief	maling	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	dahsyat	anger	0.561
idiots	idiots	anger	0.561
betrayal	panghianatan	anger	0.561
uncontrollable	teu bisa kakadalian	anger	0.561
fits	ngepas	anger	0.561
cross	salib	anger	0.561
hurt	ngadek	anger	0.561
disturbed	kaganggu	anger	0.559
subjugation	subjugation	anger	0.559
stomped	stomped	anger	0.557
grab	ngareubut	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	humandeu	anger	0.556
defiance	nyangkatan	anger	0.552
blackmail	meres	anger	0.550
offensive	karasa	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	nu ngalanggaran	anger	0.547
punishment	hukuman	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	sisi poek	anger	0.547
misery	kasangsaraan	anger	0.547
frustrates	frustrates	anger	0.547
disgraceful	ngerakeun	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	overbearing	anger	0.547
disparity	disparity	anger	0.547
confine	ngurung	anger	0.547
firearms	senjata api	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	jelema nu baha	anger	0.547
deceive	nipu	anger	0.547
stolen	dipaling	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	dipanaskeun	anger	0.545
ruined	ruined	anger	0.545
menace	menace	anger	0.545
humiliate	ngahina	anger	0.545
tackle	tackle	anger	0.545
conspirator	conspirator	anger	0.545
foul	ngintip	anger	0.545
antagonist	antagonis	anger	0.545
resentful	ambek	anger	0.545
prejudice	sangkaan	anger	0.545
adversary	musuh	anger	0.545
argument	bantahan	anger	0.545
skirmish	skirmish	anger	0.545
callous	callous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	entangled	anger	0.544
robbery	rampogan	anger	0.544
sting	nyeureud	anger	0.544
outcry	outcry	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	irreconcilable	anger	0.543
resistance	lawanan	anger	0.543
obstructive	obstructive	anger	0.542
dismay	dismay	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	badness	anger	0.536
ridicule	ridicule	anger	0.534
incendiary	incendiary	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	kurungan	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	prejudicial	anger	0.531
uprising	babahaan	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	gagabah	anger	0.531
unbridled	unbridled	anger	0.531
allegation	sangkaan	anger	0.531
communism	komunisme	anger	0.531
whip	pecut	anger	0.531
intruder	jelema nu ngacow	anger	0.531
dispute	pasea	anger	0.531
belittle	nganggap enteng	anger	0.531
bigoted	bigoted	anger	0.530
offender	palaku	anger	0.530
hassle	repot	anger	0.530
dissonance	dissonance	anger	0.530
unjust	teu adil	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	teu bisa dibenerkeun	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversion	anger	0.530
tackled	tackle	anger	0.530
renegade	renegade	anger	0.529
hot	panas	anger	0.529
prison	bui	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	trespass	anger	0.529
suicide	maehan maneh	anger	0.521
annoy	ngaganggu	anger	0.520
leavemealone	kantunkeun abdi nyalira	anger	0.517
idiotic	boloho	anger	0.516
distrust	teu percaya	anger	0.516
depravity	depravity	anger	0.516
cretins	cretins	anger	0.516
divorce	pipisahan	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	inimical	anger	0.516
duress	duress	anger	0.516
disrespectful	cucungah	anger	0.516
tortious	tortious	anger	0.516
criticize	nyempad	anger	0.516
prisoner	narapidana	anger	0.516
dishonest	teu jujur	anger	0.516
treason	panghianatan	anger	0.516
victimized	victimized	anger	0.515
bile	bili	anger	0.515
unkind	kejam	anger	0.515
unforgiving	unforgiving	anger	0.515
unleash	unleash	anger	0.515
coercion	paksaan	anger	0.515
scold	nyentak	anger	0.515
chaos	kakariweuhan	anger	0.515
grump	grump	anger	0.515
roar	ngagaur	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	poachers	anger	0.515
argumentation	argumentation	anger	0.515
frustrating	frustrating	anger	0.515
tussle	tussle	anger	0.514
bane	Bane	anger	0.511
accusation	tudingan	anger	0.510
repudiation	repudiation	anger	0.510
enmity	enmity	anger	0.510
banish	miceun	anger	0.509
disfigured	disfigured	anger	0.508
storm	topan	anger	0.507
shun	shun	anger	0.500
suppression	suprési	anger	0.500
unruly	unruly	anger	0.500
intractable	intractable	anger	0.500
ordeal	cobaan	anger	0.500
obstruct	ngahalangan	anger	0.500
derogation	derogation	anger	0.500
fervor	fervor	anger	0.500
foaming	foaming	anger	0.500
derision	derision	anger	0.500
animus	animus	anger	0.500
rejects	rejects	anger	0.500
bout	bout	anger	0.500
spear	tumbak	anger	0.500
crazy	gelo	anger	0.500
brazen	brazen	anger	0.500
antithesis	antithesis	anger	0.500
injustice	hal nu teu adil	anger	0.500
banished	banished	anger	0.500
confined	dipasrahkeun	anger	0.500
frenzied	frenzied	anger	0.500
dominate	ngajadikeun boga pangaruh kuat	anger	0.500
disrupting	disrupting	anger	0.500
hammering	hammering	anger	0.500
fear	sieun	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	anguish	anger	0.500
brunt	brunt	anger	0.500
possessed	kasurupan	anger	0.500
defy	defy	anger	0.500
scoff	scoff	anger	0.500
patronising	patronizing	anger	0.500
delusional	delusional	anger	0.500
malpractice	malpractice	anger	0.500
reject	nolak	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	kateguhan	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	madness	anger	0.491
sinful	loba dosana	anger	0.491
avarice	avarice	anger	0.490
oppress	ngadedetkeun	anger	0.490
disapproved	disapproved	anger	0.485
inhuman	kejam	anger	0.485
demand	pamenta	anger	0.485
abolish	mupuskeun	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	humandeu	anger	0.485
disservice	disservice	anger	0.485
smuggler	smuggler	anger	0.485
revoke	nyabut	anger	0.485
infraction	infraction	anger	0.485
claw	cakar	anger	0.485
dissident	dissident	anger	0.485
pervert	pervert	anger	0.485
incest	sapatemon jeung dulur sorangan	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	henteu patuh	anger	0.485
usurp	usurp	anger	0.485
alienate	ngasingkeun	anger	0.485
avenger	avenger	anger	0.485
annoyed	annoyed	anger	0.485
cutting	motong	anger	0.485
disgrace	aeb	anger	0.484
deceit	tipuan	anger	0.484
suspicious	curiga	anger	0.484
thresh	thresh	anger	0.484
sucker	mamat	anger	0.484
strained	tapis	anger	0.484
blame	ngalepatkeun	anger	0.484
upheaval	upheaval	anger	0.484
renounce	renounce	anger	0.484
obnoxious	obnoxious	anger	0.484
restrain	ngandalikeun	anger	0.484
oust	oust	anger	0.484
litigious	litigious	anger	0.484
rivalry	sihungan	anger	0.484
penalty	hukuman	anger	0.484
imprisoned	dipenjara	anger	0.484
mocking	mocking	anger	0.484
opposed	sabalikna	anger	0.484
turbulence	kaayaan nu teu tenang	anger	0.483
pound	pon	anger	0.481
coldness	coldness	anger	0.477
ungrateful	henteu ngahatur nuhun	anger	0.472
battalion	battalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	sandera	anger	0.470
infidel	kapir	anger	0.470
ram	Ram	anger	0.470
accuser	accuser	anger	0.470
gall	hampru	anger	0.470
subversion	subversion	anger	0.470
annoying	ganggu	anger	0.470
adversity	adversity	anger	0.470
dispossessed	dispossessed	anger	0.470
friction	pangisedan	anger	0.470
jealous	timburu	anger	0.470
feudalism	feodalisme	anger	0.470
armament	alat perang	anger	0.470
thump	dug	anger	0.469
complain	ngangluh	anger	0.469
incite	ngangsonan	anger	0.469
steal	nyolong	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	henteu patuh	anger	0.469
injury	tatu-tatu	anger	0.469
simmer	simmer	anger	0.469
distress	kasulitan	anger	0.469
insanity	panyakit burung	anger	0.469
selfish	egois	anger	0.469
huff	Huff	anger	0.469
selfishness	selfishness	anger	0.469
backoff	backoff	anger	0.469
plunder	rampog	anger	0.469
stifled	stifled	anger	0.469
subversive	subversive	anger	0.469
exile	tempat keur ngasingkeun	anger	0.469
offense	nu ngalanggar	anger	0.469
objection	kaweratan	anger	0.469
recidivism	recidivism	anger	0.469
smother	ngalesangkeun	anger	0.469
perpetrator	palaku	anger	0.469
