word	Belarusian-be	emotion	emotion-intensity-score
choke	ўдушэнне	anger	0.719
bastarding	bastarding	anger	0.719
mangle	калечыць	anger	0.714
anarchism	анархізм	anger	0.714
mutilation	калецтва	anger	0.714
criminal	злачынец	anger	0.714
denunciation	дэнансацыя	anger	0.713
punch	перфаратар	anger	0.713
crucifixion	распяцце на крыжы	anger	0.712
virulence	вірулентнасць	anger	0.712
battled	змагаліся	anger	0.712
fatal	фатальны	anger	0.712
holocaust	вынішчэньне	anger	0.712
blasphemous	богазьняважліва	anger	0.712
hurting	балюча	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ненармальны	anger	0.706
atrocious	агідны	anger	0.706
evil	зло	anger	0.706
irritated	раздражнёны	anger	0.706
assassin	забойца	anger	0.703
dicks	Дыкс	anger	0.703
persecution	пераслед	anger	0.703
slayer	забойца	anger	0.703
kidnap	выкрадаць	anger	0.703
scolding	наганяй	anger	0.703
intimidation	застрашванне	anger	0.703
aggravated	узмоцнены	anger	0.703
aggression	агрэсія	anger	0.702
armed	ўзброены	anger	0.700
poison	яд	anger	0.697
snarling	рык	anger	0.697
venom	яд	anger	0.697
battle	бой	anger	0.697
disgruntled	раздражнёны	anger	0.693
insidious	падступны	anger	0.691
assailant	завадатай	anger	0.691
resentment	пачуццё крыўды	anger	0.691
lynch	лінчавалі	anger	0.690
contemptuous	пагардай	anger	0.690
temper	характар	anger	0.688
imprisonment	турэмнае зняволенне	anger	0.688
disparage	прыніжаць	anger	0.688
bully	задзіра	anger	0.688
terrible	жудасны	anger	0.688
lunatic	памяшаны	anger	0.688
curse	праклён	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	раздражнёны	anger	0.688
domination	дамінаванне	anger	0.688
mad	вар'ят	anger	0.688
infanticide	дзетазабойства	anger	0.688
volatility	лятучасць	anger	0.687
eradication	выкараненне	anger	0.685
tantrum	ўспышка гневу	anger	0.682
devastate	спусташаць	anger	0.682
eradicate	выкараняць	anger	0.682
scoundrel	нягоднік	anger	0.682
aggressively	агрэсіўна	anger	0.680
agitation	агітацыя	anger	0.680
dictatorship	дыктатура	anger	0.676
irritates	раздражняе	anger	0.676
profanity	прафанацыя	anger	0.673
egregious	абуральны	anger	0.672
expletive	лаянкавае слова	anger	0.672
nasty	адваротны	anger	0.672
shove	соваць	anger	0.672
shot	стрэл	anger	0.672
harmful	шкодны	anger	0.672
aggravation	пагаршэнне	anger	0.672
contempt	пагарду	anger	0.672
poisonous	атрутны	anger	0.672
dastardly	подлы	anger	0.672
shoot	страляць	anger	0.672
corrupting	разбэшчваць	anger	0.672
condemnation	асуджэнне	anger	0.672
wreak	пасеяць	anger	0.672
crushed	раздушаны	anger	0.672
cruelly	жорстка	anger	0.672
crime	злачынства	anger	0.672
maniac	маньяк	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	вывяржэнне	anger	0.667
odious	адыёзны	anger	0.667
shooting	стральба	anger	0.667
kick	ўдар	anger	0.667
aggressive	агрэсіўны	anger	0.667
combat	бой	anger	0.667
shout	вокрык	anger	0.667
hit	хіт	anger	0.667
fight	бой	anger	0.667
cutthroat	бязлітасны	anger	0.667
enemy	вораг	anger	0.667
irritable	раздражняльны	anger	0.667
punished	пакаралі	anger	0.662
ambush	засада	anger	0.661
yell	лямантаваць	anger	0.661
harass	даймаць	anger	0.659
malignant	злаякасны	anger	0.656
aggressor	агрэсар	anger	0.656
antichrist	антыхрыст	anger	0.656
gore	ластовица	anger	0.656
incense	ладан	anger	0.656
expel	высылаць	anger	0.656
destruction	разбурэнне	anger	0.656
grudge	нядобразычлівасць	anger	0.656
cranky	капрызны	anger	0.653
offended	крыўдзіцца	anger	0.652
spank	плясканне	anger	0.652
growl	рык	anger	0.652
insurrection	паўстанне	anger	0.652
reprisal	расправа	anger	0.652
slave	рабыня	anger	0.652
denounce	дэнансаваць	anger	0.652
animosity	злосць	anger	0.652
insulting	абразлівы	anger	0.652
clashing	якія сутыкаюцца	anger	0.652
growls	рык	anger	0.649
executioner	кат	anger	0.644
twat	піздзіць	anger	0.644
doomsday	канец святла	anger	0.643
daemon	дэман	anger	0.641
obscenity	непрыстойнасць	anger	0.641
bombard	бамбаваць	anger	0.641
spat	спрэчка	anger	0.641
havoc	спусташэнне	anger	0.641
feud	міжусобіцы	anger	0.641
grr	ГРР	anger	0.641
arson	падпал	anger	0.641
reprimand	вымова	anger	0.641
expulsion	высылка	anger	0.641
inexcusable	недаравальны	anger	0.641
accused	абвінавачваны	anger	0.641
indignant	абураны	anger	0.641
shackle	дужка	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	рана	anger	0.636
suicidal	самагубчы	anger	0.636
poisoned	атручаны	anger	0.636
batter	дзяўбці	anger	0.636
kicking	штурхаючы	anger	0.636
hanging	падвешванне	anger	0.636
spanking	чос	anger	0.636
disgusting	агідны	anger	0.636
combatant	страявой	anger	0.636
frustrated	які не адбыўся	anger	0.636
anarchy	анархія	anger	0.636
glaring	абуральны	anger	0.636
inflict	прычыніць	anger	0.633
wrecked	разбураны	anger	0.633
grievous	пакутлівы	anger	0.632
prosecute	пераследваць у судовым парадку	anger	0.630
agitated	усхваляваны	anger	0.630
cheat	махляваць	anger	0.630
swastika	свастыка	anger	0.627
defamatory	паклёпніцкі	anger	0.625
suffocation	ўдушэнне	anger	0.625
strife	разлад	anger	0.625
provocation	правакацыя	anger	0.625
injure	параніць	anger	0.625
harassing	турбуюць	anger	0.625
scourge	біч	anger	0.625
cursing	чартыхаючыся	anger	0.625
betray	даводзіць да агульнага	anger	0.625
indict	прад'яўляць абвінавачванне	anger	0.625
raid	набег	anger	0.625
thundering	громападобны	anger	0.625
enslaved	паняволеных	anger	0.625
arsehole	задніца	anger	0.624
insane	ненармальны	anger	0.621
fiend	выкінуў	anger	0.621
irritate	раздражняць	anger	0.621
convict	катаржнік	anger	0.621
jerk	падонак	anger	0.621
theft	крадзеж	anger	0.621
retaliation	аддзяку	anger	0.621
deprivation	пазбаўленне	anger	0.621
cussed	ўпарты	anger	0.619
turmoil	мітусня	anger	0.618
smack	плясканне	anger	0.615
retribution	аддзяку	anger	0.614
twats	twats	anger	0.609
intolerable	невыносны	anger	0.609
rebellion	бунт	anger	0.609
injurious	шкодны	anger	0.609
oppressor	прыгнятальнік	anger	0.609
slavery	рабства	anger	0.609
irritability	ўзбудлівасць	anger	0.609
collision	сутыкненне	anger	0.609
bitterly	горка	anger	0.609
gang	банда	anger	0.609
antagonism	антаганізм	anger	0.609
battery	акумулятар	anger	0.609
adverse	неспрыяльны	anger	0.609
disgraced	апальны	anger	0.608
irritating	раздражняльны	anger	0.606
revolution	рэвалюцыя	anger	0.606
thug	галаварэз	anger	0.606
diatribe	диатриба	anger	0.606
bombardment	бамбаванне	anger	0.606
blast	выбух	anger	0.606
irks	дакучае	anger	0.606
sickening	ванітны	anger	0.606
discrimination	дыскрымінацыя	anger	0.606
antagonistic	антаганістычных	anger	0.606
ranting	размаўляць	anger	0.606
asshole	мудак	anger	0.606
frustrate	зрываць	anger	0.604
manipulation	маніпуляцыя	anger	0.603
tension	напружанасць	anger	0.603
insult	абразу	anger	0.603
bigot	фанатык	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	шкодны	anger	0.603
oppression	прыгнёт	anger	0.603
disgust	гідлівасць	anger	0.602
spite	ўзлаванасць	anger	0.600
intrusive	назойлівы	anger	0.598
harshness	рэзкасць	anger	0.597
slur	марашка	anger	0.596
wretch	нягоднік	anger	0.594
inferno	пекла	anger	0.594
invasion	ўварванне	anger	0.594
puncture	пракол	anger	0.594
miserable	няшчасны	anger	0.594
assail	нападаць	anger	0.594
storming	штурмуючы	anger	0.594
casualty	няшчасны выпадак	anger	0.594
bitterness	горыч	anger	0.594
morbidity	захворванне	anger	0.594
tempest	бура	anger	0.594
consternation	спалох	anger	0.592
depraved	разбэшчаны	anger	0.591
raving	апантаны	anger	0.591
guillotine	гільяціна	anger	0.591
guilty	вінаваты	anger	0.591
immoral	амаральны	anger	0.591
forcibly	прымусова	anger	0.591
overpowering	непераадольны	anger	0.591
accursed	пракляты	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	непакорлівы	anger	0.588
invader	захопнік	anger	0.588
scare	папалохаць	anger	0.588
screwed	п'яны	anger	0.588
indignation	абурэнне	anger	0.587
jealousy	рэўнасць	anger	0.587
vexed	раззлаваны	anger	0.586
confront	супрацьстаяць	anger	0.582
brute	скаціна	anger	0.581
throttle	дросель	anger	0.579
wreck	скрыпун	anger	0.578
revolver	наган	anger	0.578
slut	шлюха	anger	0.578
yousuck	yousuck	anger	0.578
damage	пашкоджанне	anger	0.578
butcher	мяснік	anger	0.578
conflict	канфлікт	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	злачыннасць	anger	0.578
bickering	сварка	anger	0.578
pillage	марадзёрства	anger	0.578
blaze	шугаць	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	пераварот	anger	0.578
contentious	сварлівы	anger	0.578
incarceration	пазбаўленне волі	anger	0.578
defiant	дзёрзкі	anger	0.578
provoking	які правакуе	anger	0.578
lash	бізун	anger	0.578
cancer	рак	anger	0.577
frustration	расчараванне	anger	0.576
gory	скрываўлены	anger	0.576
alienation	адчужэнне	anger	0.576
discord	дысананс	anger	0.576
disturbance	парушэнне	anger	0.576
grope	намацваць	anger	0.576
condescension	паблажлівасць	anger	0.576
pernicious	згубны	anger	0.576
blasphemy	блюзьнерства	anger	0.576
discriminate	дыскрымінаваць	anger	0.576
chaotic	хаатычны	anger	0.576
gun	пісталет	anger	0.576
standoff	тупік	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	насмешка	anger	0.574
lunacy	непрытомнасць	anger	0.574
oppressive	гнятлівы	anger	0.574
death	смерць	anger	0.574
jab	прышчэпка	anger	0.574
cursed	пракляты	anger	0.574
scandalous	скандальны	anger	0.574
monstrosity	пачварнасць	anger	0.574
shit	дзярмо	anger	0.573
disparaging	грэблівым	anger	0.571
slash	слэш	anger	0.571
unfair	нядобрасумленны	anger	0.571
gallows	шыбеніца	anger	0.570
escalate	абвастраць	anger	0.569
intolerant	нецярпімы	anger	0.564
lawlessness	бяспраўе	anger	0.563
bluddy	bluddy	anger	0.562
perdition	пагібель	anger	0.562
taunt	шпілька	anger	0.562
grouchy	бурклівы	anger	0.562
torpedo	тарпеда	anger	0.562
deceived	ашуканы	anger	0.562
slander	паклёп	anger	0.562
retards	тармозіць	anger	0.562
bearish	мядзведжы	anger	0.562
invade	ўрывацца	anger	0.562
bellows	сильфон	anger	0.562
beast	звер	anger	0.562
frightful	жудасны	anger	0.562
derogatory	прыніжальны	anger	0.562
glare	яркае святло	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	жудасны	anger	0.562
traitor	здраднік	anger	0.562
malign	злаякасны	anger	0.562
wrangling	спрачацца	anger	0.562
dissension	рознагалоссе	anger	0.561
banshee	сірэна паветранай трывогі	anger	0.561
shatter	раздрабніць	anger	0.561
conflagration	пажарышча	anger	0.561
jeopardize	пад небяспеку	anger	0.561
thief	злодзей	anger	0.561
rave	рэйв	anger	0.561
grating	рашотка	anger	0.561
devastating	разбуральны	anger	0.561
idiots	ідыёты	anger	0.561
betrayal	здрада	anger	0.561
uncontrollable	некантралюемы	anger	0.561
fits	прыпадкі	anger	0.561
cross	перасякацца	anger	0.561
hurt	боль	anger	0.561
disturbed	парушаны	anger	0.559
subjugation	заваяванне	anger	0.559
stomped	тупалі	anger	0.557
grab	грэйфера	anger	0.557
ticked	цікаў	anger	0.556
masochism	мазахізм	anger	0.556
grievance	крыўда	anger	0.556
defiance	непадпарадкаванне	anger	0.552
blackmail	шантаж	anger	0.550
offensive	наступ	anger	0.549
decry	ганіць	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	парушэнне	anger	0.547
punishment	пакаранне	anger	0.547
shrill	пранізлівы	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	DarkSide	anger	0.547
misery	пакута	anger	0.547
frustrates	хвалюе	anger	0.547
disgraceful	ганебны	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ўладны	anger	0.547
disparity	неадпаведнасць	anger	0.547
confine	абмяжоўваць	anger	0.547
firearms	агнястрэльную зброю	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	недарэчны	anger	0.547
rebel	бунтаўшчыкі	anger	0.547
deceive	падманваць	anger	0.547
stolen	выкрадзены	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	ідыёт	anger	0.545
heated	з падагрэвам	anger	0.545
ruined	разбураны	anger	0.545
menace	пагроза	anger	0.545
humiliate	зневажаць	anger	0.545
tackle	снасці	anger	0.545
conspirator	змоўшчык	anger	0.545
foul	фол	anger	0.545
antagonist	антаганіст	anger	0.545
resentful	пакрыўджаны	anger	0.545
prejudice	прадузятасць	anger	0.545
adversary	спаборны	anger	0.545
argument	аргумент	anger	0.545
skirmish	перастрэлка	anger	0.545
callous	чэрствы	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	заблытаны	anger	0.544
robbery	рабаванне	anger	0.544
sting	ўджгнуць	anger	0.544
outcry	выкрык	anger	0.544
grumble	бурчэць	anger	0.544
irreconcilable	непрымірымы	anger	0.543
resistance	супраціў	anger	0.543
obstructive	абструктыўная	anger	0.542
dismay	спалох	anger	0.540
mob	чэрнь	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	непрыдатнасць	anger	0.536
ridicule	абсмейванне	anger	0.534
incendiary	запальны	anger	0.533
flares	паходні	anger	0.532
degeneracy	звод	anger	0.531
confinement	пазбаўленне волі	anger	0.531
exacerbation	абвастрэнне	anger	0.531
prejudicial	згубны	anger	0.531
uprising	паўстанне	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	неабдуманы	anger	0.531
unbridled	зухавата	anger	0.531
allegation	зацвярджэнне	anger	0.531
communism	камунізм	anger	0.531
whip	пугу	anger	0.531
intruder	парушальнік	anger	0.531
dispute	спрэчка	anger	0.531
belittle	прынізіць	anger	0.531
bigoted	нецярпімы	anger	0.530
offender	правапарушальнік	anger	0.530
hassle	сутычка	anger	0.530
dissonance	дысананс	anger	0.530
unjust	несправядлівы	anger	0.530
dictatorial	дыктатарскі	anger	0.530
unjustifiable	неапраўданы	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	вычварэнства	anger	0.530
tackled	вырашаць	anger	0.530
renegade	рэнегат	anger	0.529
hot	гарачы	anger	0.529
prison	турма	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	грэх	anger	0.529
suicide	самагубства	anger	0.521
annoy	дапякаць	anger	0.520
leavemealone	пакінь мяне аднаго	anger	0.517
idiotic	ідыёцкі	anger	0.516
distrust	недавер	anger	0.516
depravity	разбэшчанага	anger	0.516
cretins	крэтыны	anger	0.516
divorce	развод	anger	0.516
broil	смажыцца	anger	0.516
grrr	Гррр	anger	0.516
venting	вентыляцыйны	anger	0.516
inimical	варожы	anger	0.516
duress	прымус	anger	0.516
disrespectful	непачцівыя	anger	0.516
tortious	дэліктнага	anger	0.516
criticize	крытыкаваць	anger	0.516
prisoner	зняволены	anger	0.516
dishonest	несумленны	anger	0.516
treason	здрада	anger	0.516
victimized	виктимизации	anger	0.515
bile	жоўць	anger	0.515
unkind	нядобры	anger	0.515
unforgiving	няўмольны	anger	0.515
unleash	развязаць	anger	0.515
coercion	прымус	anger	0.515
scold	лаяць	anger	0.515
chaos	хаос	anger	0.515
grump	Grump	anger	0.515
roar	роў	anger	0.515
jerks	канвульсіі	anger	0.515
poaching	браканьерства	anger	0.515
hangry	Hangry	anger	0.515
pow	бух	anger	0.515
poachers	браканьеры	anger	0.515
argumentation	аргументацыя	anger	0.515
frustrating	расчаравала	anger	0.515
tussle	бойка	anger	0.514
bane	атрута	anger	0.511
accusation	абвінавачванне	anger	0.510
repudiation	адрачэнне	anger	0.510
enmity	варожасць	anger	0.510
banish	адганяць	anger	0.509
disfigured	знявечаны	anger	0.508
storm	шторм	anger	0.507
shun	грэбаваць	anger	0.500
suppression	падаўленне	anger	0.500
unruly	непакорлівы	anger	0.500
intractable	непадатным	anger	0.500
ordeal	цяжкае выпрабаванне	anger	0.500
obstruct	перашкаджаць	anger	0.500
derogation	прымяншэнне	anger	0.500
fervor	гарачнасць	anger	0.500
foaming	ўспеньванне	anger	0.500
derision	абсмейванне	anger	0.500
animus	прадузятасць	anger	0.500
rejects	адхіляе	anger	0.500
bout	бой	anger	0.500
spear	дзіду	anger	0.500
crazy	вар'ят	anger	0.500
brazen	нахабны	anger	0.500
antithesis	антытэза	anger	0.500
injustice	несправядлівасць	anger	0.500
banished	выгнаны	anger	0.500
confined	абмежаваны	anger	0.500
frenzied	раз'юшаны	anger	0.500
dominate	дамінаваць	anger	0.500
disrupting	Зрываць	anger	0.500
hammering	чаканка	anger	0.500
fear	страх	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	пакута	anger	0.500
brunt	галоўны ўдар	anger	0.500
possessed	апантаны	anger	0.500
defy	ігнараваць	anger	0.500
scoff	здзекавацца	anger	0.500
patronising	заступніцтва	anger	0.500
delusional	бредовый	anger	0.500
malpractice	злоўжыванне даверам	anger	0.500
reject	адхіляць	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	трываласць	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	вар'яцтва	anger	0.491
sinful	грэшны	anger	0.491
avarice	сквапнасць	anger	0.490
oppress	прыгнятаць	anger	0.490
disapproved	адхіленыя	anger	0.485
inhuman	нечалавечы	anger	0.485
demand	попыт	anger	0.485
abolish	касаваць	anger	0.485
anathema	анатэма	anger	0.485
fricking	fricking	anger	0.485
complaint	скарга	anger	0.485
disservice	шкоду	anger	0.485
smuggler	кантрабандыст	anger	0.485
revoke	адклікаць	anger	0.485
infraction	парушэнне	anger	0.485
claw	кіпцюр	anger	0.485
dissident	дысыдэнт	anger	0.485
pervert	перакрут	anger	0.485
incest	кровазмяшэння	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	непаслухмяны	anger	0.485
usurp	узурпаваць	anger	0.485
alienate	адчужаць	anger	0.485
avenger	помсьнік	anger	0.485
annoyed	раздражнёны	anger	0.485
cutting	рэзка	anger	0.485
disgrace	ганьба	anger	0.484
deceit	падман	anger	0.484
suspicious	падазроны	anger	0.484
thresh	малаціць	anger	0.484
sucker	прысоска	anger	0.484
strained	нацягнуты	anger	0.484
blame	віна	anger	0.484
upheaval	пераварот	anger	0.484
renounce	зракацца	anger	0.484
obnoxious	адваротны	anger	0.484
restrain	стрымліваць	anger	0.484
oust	выцясняць	anger	0.484
litigious	іншым грамадзтве	anger	0.484
rivalry	суперніцтва	anger	0.484
penalty	штраф	anger	0.484
imprisoned	ў зняволенні	anger	0.484
mocking	абсмейванне	anger	0.484
opposed	супраць	anger	0.484
turbulence	турбулентнасць	anger	0.483
pound	фунт	anger	0.481
coldness	халоднасць	anger	0.477
ungrateful	няўдзячны	anger	0.472
battalion	батальён	anger	0.471
stoopid	Stoopid	anger	0.471
