word	Xhosa-xh	emotion	emotion-intensity-score
peeved	i-peeved	anger	0.688
domination	lawulo	anger	0.688
mad	buhlungu	anger	0.688
infanticide	i-infanticide	anger	0.688
volatility	ukungazinzi	anger	0.687
eradication	ku pheliswa	anger	0.685
tantrum	ngxamele	anger	0.682
devastate	kutshabalalisa	anger	0.682
eradicate	phelisa	anger	0.682
scoundrel	umqhafazo	anger	0.682
aggressively	ngokukhawuleza	anger	0.680
agitation	ukuxhalaba	anger	0.680
dictatorship	ulawulo lolawulo	anger	0.676
irritates	ucaphukisa	anger	0.676
profanity	hlambela	anger	0.673
egregious	ezibuhlungu	anger	0.672
expletive	ukugxotha	anger	0.672
nasty	ezimbi	anger	0.672
shove	ukudubula	anger	0.672
shot	idubule	anger	0.672
harmful	yingozi	anger	0.672
aggravation	ukugqithisa	anger	0.672
contempt	ngcikivo	anger	0.672
poisonous	utyhefu	anger	0.672
dastardly	utywala	anger	0.672
shoot	ukudubula	anger	0.672
corrupting	ku konakalisa	anger	0.672
condemnation	kugwetywa	anger	0.672
wreak	kuphazamiseka	anger	0.672
crushed	zi tyhafile	anger	0.672
cruelly	ngonya	anger	0.672
crime	mthetho	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ukuqhuma	anger	0.667
odious	ehlekisayo	anger	0.667
shooting	ukudubula	anger	0.667
kick	kukhaba	anger	0.667
aggressive	ngogonyamelo	anger	0.667
combat	kulwa	anger	0.667
shout	umemeza	anger	0.667
hit	zibethe	anger	0.667
fight	ukulwa	anger	0.667
cutthroat	i-cutthroat	anger	0.667
enemy	lutshaba	anger	0.667
irritable	catshukiswa	anger	0.667
punished	uhlwaywe	anger	0.662
ambush	balele	anger	0.661
yell	bhenela	anger	0.661
harass	ukuhlukumeza	anger	0.659
malignant	ezimbi	anger	0.656
aggressor	ngxabano	anger	0.656
antichrist	mchasana	anger	0.656
gore	ukuqala	anger	0.656
incense	qhumiso	anger	0.656
expel	ukugxotha	anger	0.656
destruction	ukutshatyalaliswa	anger	0.656
grudge	nomsindo	anger	0.656
cranky	i cranky	anger	0.653
offended	waphoswa	anger	0.652
spank	spank	anger	0.652
growl	bhala	anger	0.652
insurrection	uvuko	anger	0.652
reprisal	ukuhlawula	anger	0.652
slave	khoboka	anger	0.652
denounce	zichasa	anger	0.652
animosity	inzondo	anger	0.652
insulting	ukuthuka	anger	0.652
clashing	ukubetha	anger	0.652
growls	iindlovu	anger	0.649
executioner	umbulali	anger	0.644
twat	ngezantsi	anger	0.644
doomsday	ukuphela kwexesha	anger	0.643
daemon	daemon	anger	0.641
obscenity	ukungcola	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	ukuphazamiseka	anger	0.641
feud	utywala	anger	0.641
grr	grr	anger	0.641
arson	ishushu	anger	0.641
reprimand	ukugxekwa	anger	0.641
expulsion	ukuxothwa	anger	0.641
inexcusable	nganto	anger	0.641
accused	utyholwa	anger	0.641
indignant	caphuka	anger	0.641
shackle	i-shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	inxeba	anger	0.636
suicidal	ukuzibulala	anger	0.636
poisoned	utyhefu	anger	0.636
batter	ukubetha	anger	0.636
kicking	ukukhaba	anger	0.636
hanging	ku xhoma	anger	0.636
spanking	ukuphamba	anger	0.636
disgusting	zizothe	anger	0.636
combatant	umkhosi	anger	0.636
frustrated	catshukiswa	anger	0.636
anarchy	uhlaselo	anger	0.636
glaring	ukukhanya	anger	0.636
inflict	ku bangela	anger	0.633
wrecked	yaphuka	anger	0.633
grievous	zibuhlungu	anger	0.632
prosecute	tshutshisa	anger	0.630
agitated	yavutha	anger	0.630
cheat	ukukopela	anger	0.630
swastika	swastika	anger	0.627
defamatory	ukuhlambalaza	anger	0.625
suffocation	ukuhluthwa	anger	0.625
strife	ngxabano	anger	0.625
provocation	ukucaphukisa	anger	0.625
injure	kalisa	anger	0.625
harassing	ukuhlukumeza	anger	0.625
scourge	sibetho	anger	0.625
cursing	ukuqalekisa	anger	0.625
betray	ngcatsha	anger	0.625
indict	zichaze	anger	0.625
raid	ku hlaselwa	anger	0.625
thundering	ukuduma	anger	0.625
enslaved	khoboka	anger	0.625
arsehole	i-arsehole	anger	0.624
insane	ngcikizi	anger	0.621
fiend	fiend	anger	0.621
irritate	ucaphukisa	anger	0.621
convict	ugwetywa	anger	0.621
jerk	jerk	anger	0.621
theft	ubusela	anger	0.621
retaliation	impindezelo	anger	0.621
deprivation	ukungabikho	anger	0.621
cussed	baxubusha	anger	0.619
turmoil	ngxakini	anger	0.618
smack	utyumle	anger	0.615
retribution	i ntlawulo	anger	0.614
twats	iimbophu	anger	0.609
intolerable	kuxoxwa	anger	0.609
rebellion	mvukelo	anger	0.609
injurious	yingozi	anger	0.609
oppressor	ngcinezelo	anger	0.609
slavery	ebukhoboka	anger	0.609
irritability	ukucaphuka	anger	0.609
collision	ukudibana	anger	0.609
bitterly	buhlungu	anger	0.609
gang	iqela	anger	0.609
antagonism	ukuchasana	anger	0.609
battery	ibhetri	anger	0.609
adverse	ezimbi	anger	0.609
disgraced	hlazeka	anger	0.608
irritating	ucaphukisa	anger	0.606
revolution	gu qulelo	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	ukuqhuma	anger	0.606
irks	irks	anger	0.606
sickening	ukugula	anger	0.606
discrimination	calulo	anger	0.606
antagonistic	phikisa	anger	0.606
ranting	ukuxhoma	anger	0.606
asshole	Umgqobho wempundu	anger	0.606
frustrate	ukuphazamiseka	anger	0.604
manipulation	ukuphathwa	anger	0.603
tension	ingxaki	anger	0.603
insult	ngcikivo	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	buhlungu	anger	0.603
oppression	ngcinezelo	anger	0.603
disgust	ukunyaniseka	anger	0.602
spite	nxamnye	anger	0.600
intrusive	ngxamele	anger	0.598
harshness	ngantloni	anger	0.597
slur	slur	anger	0.596
wretch	ludaka	anger	0.594
inferno	umlillo omkhulu	anger	0.594
invasion	ukuhlasela	anger	0.594
puncture	ukugqitywa	anger	0.594
miserable	lusizi	anger	0.594
assail	ku hlaselwa	anger	0.594
storming	ukuphosa	anger	0.594
casualty	ukubulawa	anger	0.594
bitterness	buhlungu	anger	0.594
morbidity	ukuxhatshazwa	anger	0.594
tempest	neqhwithi	anger	0.594
consternation	ukubetha	anger	0.592
depraved	ephosakeleyo	anger	0.591
raving	ukuxhatshazwa	anger	0.591
guillotine	guillotine	anger	0.591
guilty	netyala	anger	0.591
immoral	kakubi	anger	0.591
forcibly	nyanzela	anger	0.591
overpowering	namandla	anger	0.591
accursed	uqalekisiwe	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	i-recalcitrant	anger	0.588
invader	umzabalazi	anger	0.588
scare	soyika	anger	0.588
screwed	zi qhekeke	anger	0.588
indignation	umsindo	anger	0.587
jealousy	nomona	anger	0.587
vexed	zixhalabile	anger	0.586
confront	ukujamelana	anger	0.582
brute	buhlungu	anger	0.581
throttle	i-throttle	anger	0.579
wreck	kuphazamiseka	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	uyafunxa	anger	0.578
damage	umonakalo	anger	0.578
butcher	umxheli	anger	0.578
conflict	ngqu zulwano	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	ubugebengu	anger	0.578
bickering	ngxabano	anger	0.578
pillage	ukuphanga	anger	0.578
blaze	kutsha	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	ukukhupha	anger	0.578
contentious	ngxabano	anger	0.578
incarceration	valelwe	anger	0.578
defiant	ngcikiva	anger	0.578
provoking	ukucaphukisa	anger	0.578
lash	ukutshaya	anger	0.578
cancer	nomhlaza	anger	0.577
frustration	ukukhungatheka	anger	0.576
gory	gory	anger	0.576
alienation	ukuhlukana	anger	0.576
discord	ukungavumelani	anger	0.576
disturbance	ukuphazamiseka	anger	0.576
grope	ukuphosa	anger	0.576
condescension	ukudibanisa	anger	0.576
pernicious	buhlungu	anger	0.576
blasphemy	ukunyelisa	anger	0.576
discriminate	calulo	anger	0.576
chaotic	utyhafile	anger	0.576
gun	umpu	anger	0.576
standoff	umgca	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	sondla	anger	0.574
oppressive	ngcinezelo	anger	0.574
death	ukufa	anger	0.574
jab	jab	anger	0.574
cursed	uqalekisiwe	anger	0.574
scandalous	ukugculela	anger	0.574
monstrosity	ukugquma	anger	0.574
shit	shit	anger	0.573
disparaging	ukuphazamisa	anger	0.571
slash	ukuxhamla	anger	0.571
unfair	ngokungafanelekanga	anger	0.571
gallows	umthi	anger	0.570
escalate	kukhula	anger	0.569
intolerant	engavumiyo	anger	0.564
lawlessness	ukungabi namthetho	anger	0.563
bluddy	bluddy	anger	0.562
perdition	ukubhujiswa	anger	0.562
taunt	ngcikivo	anger	0.562
grouchy	i-grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	khohliswa	anger	0.562
slander	ukunyelisa	anger	0.562
retards	iindleko	anger	0.562
bearish	ibhola	anger	0.562
invade	ba hlasela	anger	0.562
bellows	ukuvutha	anger	0.562
beast	lwanyana	anger	0.562
frightful	soyika	anger	0.562
derogatory	ukunyelisa	anger	0.562
glare	i-glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	yoyikekayo	anger	0.562
traitor	umrhwebi	anger	0.562
malign	ukuhlambalaza	anger	0.562
wrangling	ukudibana	anger	0.562
dissension	ukungqubana	anger	0.561
banshee	banshee	anger	0.561
shatter	shatsha	anger	0.561
conflagration	ukuthungulwa	anger	0.561
jeopardize	yingozi	anger	0.561
thief	isela	anger	0.561
rave	ukuxhaphaza	anger	0.561
grating	igranti	anger	0.561
devastating	eziphazamisayo	anger	0.561
idiots	idiots	anger	0.561
betrayal	ku tshutshiswa	anger	0.561
uncontrollable	a wu lawule	anger	0.561
fits	ku fanayo	anger	0.561
cross	mnqamlezo	anger	0.561
hurt	buhlungu	anger	0.561
disturbed	pha zamisa	anger	0.559
subjugation	ukuthotywa	anger	0.559
stomped	ziqhekeke	anger	0.557
grab	kubamba	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	isikhalazo	anger	0.556
defiance	ukungahloneli	anger	0.552
blackmail	i-blackmail	anger	0.550
offensive	ehlaselayo	anger	0.549
decry	ukucima	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ukuphulwa	anger	0.547
punishment	sohlwayo	anger	0.547
shrill	nyiweyo	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	icala elimnyama	anger	0.547
misery	buhlungu	anger	0.547
frustrates	ku pha zamisa	anger	0.547
disgraceful	zihlazo	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ukunyamezela	anger	0.547
disparity	ukungafani	anger	0.547
confine	uvalele	anger	0.547
firearms	izixhobo	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	zi thintela	anger	0.547
rebel	mvukela	anger	0.547
deceive	khohlisa	anger	0.547
stolen	kubiwe	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	ukuvutha	anger	0.545
ruined	laliswa	anger	0.545
menace	ingozi	anger	0.545
humiliate	hlazisa	anger	0.545
tackle	ukujongana	anger	0.545
conspirator	umqambi	anger	0.545
foul	ngcolisa	anger	0.545
antagonist	umchasi	anger	0.545
resentful	ukuba nomsindo	anger	0.545
prejudice	ubandlululo	anger	0.545
adversary	mtsha ndezeli	anger	0.545
argument	ngxabano	anger	0.545
skirmish	ukukhusela	anger	0.545
callous	ababi	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ngxakini	anger	0.544
robbery	ukuphanga	anger	0.544
sting	ukugquma	anger	0.544
outcry	ukukhala	anger	0.544
grumble	khalaza	anger	0.544
irreconcilable	engavumelaniyo	anger	0.543
resistance	ukumelana	anger	0.543
obstructive	ukuphazamiseka	anger	0.542
dismay	qhayisa	anger	0.540
mob	isihlwele	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	bubi	anger	0.536
ridicule	ngcikivo	anger	0.534
incendiary	zivutha	anger	0.533
flares	iifutha	anger	0.532
degeneracy	ukubola	anger	0.531
confinement	valelwa	anger	0.531
exacerbation	ukucima	anger	0.531
prejudicial	ekhethekileyo	anger	0.531
uprising	ukuvukela	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	ngqiqweni	anger	0.531
unbridled	engagqitywanga	anger	0.531
allegation	isityholo	anger	0.531
communism	kobuthixo	anger	0.531
whip	i sibetho	anger	0.531
intruder	umgcini	anger	0.531
dispute	mbambano	anger	0.531
belittle	nganto	anger	0.531
bigoted	lukhulu	anger	0.530
offender	umoni	anger	0.530
hassle	ukulahleka	anger	0.530
dissonance	ukuxhomekeka	anger	0.530
unjust	sikweni	anger	0.530
dictatorial	utyholi	anger	0.530
unjustifiable	engabonakaliyo	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	ukuguquka	anger	0.530
tackled	tyiweyo	anger	0.530
renegade	bavukeli	anger	0.529
hot	kushushu	anger	0.529
prison	entolongweni	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	ityala	anger	0.529
suicide	ukuzibulala	anger	0.521
annoy	ukucaphukisa	anger	0.520
leavemealone	ndiyeke	anger	0.517
idiotic	idilesi	anger	0.516
distrust	nga thembeli	anger	0.516
depravity	ukungcola	anger	0.516
cretins	ama-cretins	anger	0.516
divorce	umtshato	anger	0.516
broil	i-broil	anger	0.516
grrr	grrr	anger	0.516
venting	ukuvula	anger	0.516
inimical	iimpawu	anger	0.516
duress	ukunyanzelisa	anger	0.516
disrespectful	nga hloneli	anger	0.516
tortious	ku xhaphaza	anger	0.516
criticize	ugxeke	anger	0.516
prisoner	entolongweni	anger	0.516
dishonest	ngathembeki	anger	0.516
treason	uhlanga	anger	0.516
victimized	xhatshazwa	anger	0.515
bile	bhile	anger	0.515
unkind	buhlungu	anger	0.515
unforgiving	nga xoleli	anger	0.515
unleash	unleash	anger	0.515
coercion	nya nzeliswa	anger	0.515
scold	kha thazela	anger	0.515
chaos	ingxabano	anger	0.515
grump	isitshalo	anger	0.515
roar	bhonga	anger	0.515
jerks	jerks	anger	0.515
poaching	ukuzingela	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	pow	anger	0.515
poachers	bazingeli	anger	0.515
argumentation	ngxabano	anger	0.515
frustrating	ukuphazamiseka	anger	0.515
tussle	ukuxuba	anger	0.514
bane	bane	anger	0.511
accusation	ityala	anger	0.510
repudiation	ukuchasa	anger	0.510
enmity	ubutha	anger	0.510
banish	ukukhutshwa	anger	0.509
disfigured	zitshintshile	anger	0.508
storm	siqhwithi	anger	0.507
shun	ukuphepha	anger	0.500
suppression	ukuxothwa	anger	0.500
unruly	nga lawula	anger	0.500
intractable	nga thinteli	anger	0.500
ordeal	ngxaki	anger	0.500
obstruct	thintela	anger	0.500
derogation	ukugculelwa	anger	0.500
fervor	ngentswela	anger	0.500
foaming	ukuphosa	anger	0.500
derision	ngcikivo	anger	0.500
animus	animus	anger	0.500
rejects	ngafuni	anger	0.500
bout	buhlungu	anger	0.500
spear	umkhonto	anger	0.500
crazy	u buhlanya	anger	0.500
brazen	ithusi	anger	0.500
antithesis	nxu lumano	anger	0.500
injustice	ukungabi nabulungisa	anger	0.500
banished	yaxothwa	anger	0.500
confined	uvalelwe	anger	0.500
frenzied	zixhamle	anger	0.500
dominate	lawula	anger	0.500
disrupting	pha zamisa	anger	0.500
hammering	ukunyakaza	anger	0.500
fear	ukoyika	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	buhlungu	anger	0.500
brunt	ukuxhaphaza	anger	0.500
possessed	ephethe	anger	0.500
defy	ukulahlwa	anger	0.500
scoff	ukuhlekisa	anger	0.500
patronising	ukunyanzelisa	anger	0.500
delusional	ukuxhamla	anger	0.500
malpractice	ukungasebenzi	anger	0.500
reject	ngafuni	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	ubunzima	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	bu budenge	anger	0.491
sinful	nesono	anger	0.491
avarice	avarice	anger	0.490
oppress	ukucinezela	anger	0.490
disapproved	ngafuni	anger	0.485
inhuman	ngendawo	anger	0.485
demand	imfuno	anger	0.485
abolish	phelisa	anger	0.485
anathema	ukuphazamiseka	anger	0.485
fricking	ukukrakra	anger	0.485
complaint	isikhalazo	anger	0.485
disservice	ukunyuswa	anger	0.485
smuggler	ngumthubi	anger	0.485
revoke	ku rhoxisa	anger	0.485
infraction	sityholo	anger	0.485
claw	ukuphosa	anger	0.485
dissident	ngafuni	anger	0.485
pervert	guqula	anger	0.485
incest	ku tshatana	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	nga thobeli	anger	0.485
usurp	usurp	anger	0.485
alienate	hlukana	anger	0.485
avenger	umphindezeli	anger	0.485
annoyed	wacasulwa	anger	0.485
cutting	ukusika	anger	0.485
