word	Czech-cs	emotion	emotion-intensity-score
despicable	opovrženíhodný	anger	0.828
ruinous	zničující	anger	0.825
condemn	odsoudit	anger	0.825
riots	nepokoje	anger	0.824
demolish	strhnout	anger	0.824
angry	rozzlobený	anger	0.824
extermination	vyhlazení	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	šílenec	anger	0.820
vindictive	mstivý	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	divokost	anger	0.818
venomous	jedovatý	anger	0.818
threaten	hrozí	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terorista	anger	0.818
abhor	hnusit si	anger	0.816
savage	divoký	anger	0.814
atrocity	krutost	anger	0.814
carnage	krveprolití	anger	0.814
berserk	šílený	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	zneužívání	anger	0.812
tyrant	tyran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	naštvaný	anger	0.812
vendetta	vendeta	anger	0.812
fierce	divoký	anger	0.812
destroyer	ničitel	anger	0.812
pissesmeoff	štve mě	anger	0.812
fuming	dýchání	anger	0.812
barbaric	barbarský	anger	0.812
anger	hněv	anger	0.811
pieceofshit	kusofshit	anger	0.810
slam	slam	anger	0.803
fights	bojuje	anger	0.803
punched	děrováno	anger	0.803
bitch	fena	anger	0.803
punching	děrování	anger	0.803
homicide	vražda	anger	0.803
destructive	destruktivní	anger	0.797
ruthless	nemilosrdný	anger	0.797
villainous	darebný	anger	0.797
slap	políček	anger	0.791
slaughterhouse	jatky	anger	0.788
punishing	potrestání	anger	0.788
destroyed	zničeno	anger	0.788
retaliatory	odvetný	anger	0.788
riot	nepokoj	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	křičí	anger	0.788
growthefuckup	růst	anger	0.788
diabolical	ďábelský	anger	0.788
manslaughter	zabití	anger	0.783
clash	střet	anger	0.783
bloody	krvavý	anger	0.781
hellish	pekelný	anger	0.781
loath	nepoctivost	anger	0.781
detonation	detonace	anger	0.781
quarrel	hádka	anger	0.781
sinister	zlověstný	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	obvinění	anger	0.779
treacherous	zrádný	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	odplata	anger	0.773
revulsion	odpor	anger	0.773
madder	madder	anger	0.773
horrific	hrůzný	anger	0.773
scorn	opovržení	anger	0.769
deplorable	žalostný	anger	0.766
bomb	bombardovat	anger	0.766
anarchist	anarchista	anger	0.765
devastation	devastace	anger	0.765
resent	odmítnout	anger	0.765
firestorm	ohnivá bouře	anger	0.765
contemptible	opovrženíhodný	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	krutý	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	smrtící	anger	0.758
smash	rozbít	anger	0.758
rant	rant	anger	0.758
outburst	výbuch	anger	0.757
snarl	vrčet	anger	0.754
profane	rouhavý	anger	0.750
offend	urazit	anger	0.750
douchebags	douchebags	anger	0.750
growling	vrčení	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarita	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	poblázněný	anger	0.750
despise	opovrhovat	anger	0.750
horror	hrůza	anger	0.750
aggravating	přitěžující	anger	0.750
revolting	nechutný	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	ohrožení	anger	0.742
erupt	vybuchnout	anger	0.742
screaming	ječící	anger	0.742
violence	násilí	anger	0.742
horrible	hrozný	anger	0.742
molestation	obtěžování	anger	0.742
bastards	bastardy	anger	0.741
revenge	pomsta	anger	0.738
catastrophe	katastrofa	anger	0.735
menacing	hrozivý	anger	0.735
demon	démon	anger	0.735
crushing	zdrcující	anger	0.735
damn	sakra	anger	0.735
persecute	pronásledovat	anger	0.734
argue	dohadovat se	anger	0.734
flog	bičovat	anger	0.734
revolt	vzpoura	anger	0.734
thrash	mlátit	anger	0.734
deplore	lituji	anger	0.734
warfare	válčení	anger	0.734
fedup	naštvaný	anger	0.734
vehement	silný	anger	0.734
riotous	hýřivý	anger	0.734
altercation	hádka	anger	0.729
warlike	bojovný	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	vzpoura	anger	0.727
castrate	kastrovat	anger	0.727
sabotage	sabotovat	anger	0.727
malevolent	zlovolný	anger	0.721
strike	stávka	anger	0.721
disaster	katastrofa	anger	0.721
disastrous	katastrofální	anger	0.720
tumult	hluk	anger	0.719
madden	madden	anger	0.719
devil	ďábel	anger	0.719
scream	výkřik	anger	0.719
brutal	brutální	anger	0.719
treachery	zrada	anger	0.719
scorching	spálení	anger	0.719
vermin	havěť	anger	0.719
arseholes	břidlice	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	zhoršuje	anger	0.719
spiteful	zlomyslný	anger	0.719
slay	zabít	anger	0.719
disdain	pohrdání	anger	0.719
choke	dávit se	anger	0.719
bastarding	bastardování	anger	0.719
mangle	mandl	anger	0.714
anarchism	anarchismus	anger	0.714
mutilation	zmrzačení	anger	0.714
criminal	zločinec	anger	0.714
denunciation	vypovězení	anger	0.713
punch	rána pěstí	anger	0.713
crucifixion	ukřižování	anger	0.712
virulence	virulence	anger	0.712
battled	bojoval	anger	0.712
fatal	fatální	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	rouhavé	anger	0.712
hurting	bolest	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	rozrušený	anger	0.706
atrocious	krutý	anger	0.706
evil	zlo	anger	0.706
irritated	podrážděná	anger	0.706
assassin	vrah	anger	0.703
dicks	dicks	anger	0.703
persecution	pronásledování	anger	0.703
slayer	vrah	anger	0.703
kidnap	unést	anger	0.703
scolding	plísnění	anger	0.703
intimidation	zastrašování	anger	0.703
aggravated	agresivní	anger	0.703
aggression	agrese	anger	0.702
armed	ozbrojený	anger	0.700
poison	jed	anger	0.697
snarling	zavrčel	anger	0.697
venom	jed	anger	0.697
battle	bitva	anger	0.697
disgruntled	nespokojený	anger	0.693
insidious	zákeřný	anger	0.691
assailant	útočník	anger	0.691
resentment	odpor	anger	0.691
lynch	lynčovat	anger	0.690
contemptuous	pohrdavý	anger	0.690
temper	zmírnit	anger	0.688
imprisonment	odnětí svobody	anger	0.688
disparage	znevažovat	anger	0.688
bully	tyran	anger	0.688
terrible	hrozný	anger	0.688
lunatic	blázen	anger	0.688
curse	kletba	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	nadvláda	anger	0.688
mad	šílený	anger	0.688
infanticide	infanticid	anger	0.688
volatility	volatilita	anger	0.687
eradication	eradikace	anger	0.685
tantrum	rapl	anger	0.682
devastate	zpustošit	anger	0.682
eradicate	vymýtit	anger	0.682
scoundrel	ničema	anger	0.682
aggressively	agresivně	anger	0.680
agitation	míchání	anger	0.680
dictatorship	diktatura	anger	0.676
irritates	dráždí	anger	0.676
profanity	rouhavost	anger	0.673
egregious	obrovský	anger	0.672
expletive	vyčerpávající	anger	0.672
nasty	špatný	anger	0.672
shove	shove	anger	0.672
shot	výstřel	anger	0.672
harmful	škodlivý	anger	0.672
aggravation	zhoršení	anger	0.672
contempt	opovržení	anger	0.672
poisonous	jedovatý	anger	0.672
dastardly	podrážděně	anger	0.672
shoot	střílet	anger	0.672
corrupting	poškozující	anger	0.672
condemnation	odsouzení	anger	0.672
wreak	způsobit	anger	0.672
crushed	rozdrcený	anger	0.672
cruelly	krutě	anger	0.672
crime	zločin	anger	0.672
maniac	maniak	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	výbuch	anger	0.667
odious	odporný	anger	0.667
shooting	Střílení	anger	0.667
kick	kop	anger	0.667
aggressive	agresivní	anger	0.667
combat	boj	anger	0.667
shout	křičet	anger	0.667
hit	udeřil	anger	0.667
fight	boj	anger	0.667
cutthroat	bezohledný	anger	0.667
enemy	nepřítel	anger	0.667
irritable	dráždivý	anger	0.667
punished	potrestáno	anger	0.662
ambush	záloha	anger	0.661
yell	výkřik	anger	0.661
harass	obtěžovat	anger	0.659
malignant	zhoubný	anger	0.656
aggressor	agresor	anger	0.656
antichrist	antikrist	anger	0.656
gore	gore	anger	0.656
incense	kadidlo	anger	0.656
expel	vyloučit	anger	0.656
destruction	zničení	anger	0.656
grudge	zášť	anger	0.656
cranky	cranky	anger	0.653
offended	urazil	anger	0.652
spank	naplácat na zadek	anger	0.652
growl	zavrčení	anger	0.652
insurrection	povstání	anger	0.652
reprisal	odveta	anger	0.652
slave	otrok	anger	0.652
denounce	vypovědět	anger	0.652
animosity	nepřátelství	anger	0.652
insulting	urážející	anger	0.652
clashing	střetnutí	anger	0.652
growls	říká	anger	0.649
executioner	kat	anger	0.644
twat	twat	anger	0.644
doomsday	soudný den	anger	0.643
daemon	démon	anger	0.641
obscenity	oplzlost	anger	0.641
bombard	bombardovat	anger	0.641
spat	vyplivl	anger	0.641
havoc	spoušť	anger	0.641
feud	svár	anger	0.641
grr	grr	anger	0.641
arson	žhářství	anger	0.641
reprimand	důtka	anger	0.641
expulsion	vyhoštění	anger	0.641
inexcusable	nevyslovitelný	anger	0.641
accused	obžalovaný	anger	0.641
indignant	rozhořčený	anger	0.641
shackle	zavěšení	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	rána	anger	0.636
suicidal	sebevražedný	anger	0.636
poisoned	otrávený	anger	0.636
batter	těsto	anger	0.636
kicking	kopání	anger	0.636
hanging	závěsný	anger	0.636
spanking	spanking	anger	0.636
disgusting	nechutný	anger	0.636
combatant	bojovník	anger	0.636
frustrated	frustrovaný	anger	0.636
anarchy	anarchie	anger	0.636
glaring	oslňující	anger	0.636
inflict	způsobit	anger	0.633
wrecked	zničeno	anger	0.633
grievous	těžké	anger	0.632
prosecute	stíhání	anger	0.630
agitated	rozrušený	anger	0.630
cheat	ošidit	anger	0.630
swastika	svastika	anger	0.627
defamatory	hanlivý	anger	0.625
suffocation	udušení	anger	0.625
strife	svár	anger	0.625
provocation	provokace	anger	0.625
injure	zranit	anger	0.625
harassing	obtěžování	anger	0.625
scourge	metla	anger	0.625
cursing	prokletí	anger	0.625
betray	zradit	anger	0.625
indict	obvinit	anger	0.625
raid	nálet	anger	0.625
thundering	hrom	anger	0.625
enslaved	zotročený	anger	0.625
arsehole	arsehole	anger	0.624
insane	šílený	anger	0.621
fiend	zloduch	anger	0.621
irritate	dráždit	anger	0.621
convict	odsoudit	anger	0.621
jerk	blbec	anger	0.621
theft	krádež	anger	0.621
retaliation	odplata	anger	0.621
deprivation	deprivace	anger	0.621
cussed	cussed	anger	0.619
turmoil	zmatek	anger	0.618
smack	plácnutí	anger	0.615
retribution	odškodnění	anger	0.614
twats	kroužky	anger	0.609
intolerable	nesnesitelné	anger	0.609
rebellion	povstání	anger	0.609
injurious	škodlivé	anger	0.609
oppressor	utlačovatel	anger	0.609
slavery	otroctví	anger	0.609
irritability	podrážděnost	anger	0.609
collision	kolize	anger	0.609
bitterly	hořce	anger	0.609
gang	gang	anger	0.609
antagonism	antagonismus	anger	0.609
battery	baterie	anger	0.609
adverse	nepříznivý	anger	0.609
disgraced	znechucen	anger	0.608
irritating	dráždivý	anger	0.606
revolution	revoluce	anger	0.606
thug	thug	anger	0.606
diatribe	invektiva	anger	0.606
bombardment	bombardování	anger	0.606
blast	výbuch	anger	0.606
irks	irks	anger	0.606
sickening	zlobit	anger	0.606
discrimination	diskriminace	anger	0.606
antagonistic	antagonistický	anger	0.606
ranting	ranní	anger	0.606
asshole	kretén	anger	0.606
frustrate	zmařit	anger	0.604
manipulation	manipulace	anger	0.603
tension	napětí	anger	0.603
insult	urazit	anger	0.603
bigot	náboženský fanatik	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	bolestný	anger	0.603
oppression	útlak	anger	0.603
disgust	hnus	anger	0.602
spite	navzdory tomu	anger	0.600
intrusive	rušivé	anger	0.598
harshness	drsnost	anger	0.597
slur	slur	anger	0.596
wretch	bídný	anger	0.594
inferno	peklo	anger	0.594
invasion	invaze	anger	0.594
puncture	propíchnout	anger	0.594
miserable	bídný	anger	0.594
assail	útok	anger	0.594
storming	bouří	anger	0.594
casualty	oběť	anger	0.594
bitterness	hořkost	anger	0.594
morbidity	morbidita	anger	0.594
tempest	bouře	anger	0.594
consternation	zděšení	anger	0.592
depraved	zkažený	anger	0.591
raving	nepříčetný	anger	0.591
guillotine	gilotina	anger	0.591
guilty	vinný	anger	0.591
immoral	nemorální	anger	0.591
forcibly	násilně	anger	0.591
overpowering	nadpřirozené	anger	0.591
accursed	prokletý	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	nepoctivý	anger	0.588
invader	vetřelec	anger	0.588
scare	vyděsit	anger	0.588
screwed	šroubované	anger	0.588
indignation	rozhořčení	anger	0.587
jealousy	žárlivost	anger	0.587
vexed	obtížné	anger	0.586
confront	konfrontovat	anger	0.582
brute	hovado	anger	0.581
throttle	plyn	anger	0.579
wreck	vrak	anger	0.578
revolver	revolver	anger	0.578
slut	coura	anger	0.578
yousuck	yousuck	anger	0.578
damage	poškození	anger	0.578
butcher	řezník	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminalita	anger	0.578
bickering	házení	anger	0.578
pillage	drancování	anger	0.578
blaze	požár	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	převrat	anger	0.578
contentious	diskutabilní	anger	0.578
incarceration	uvěznění	anger	0.578
defiant	vzdorný	anger	0.578
provoking	provokační	anger	0.578
lash	bič	anger	0.578
cancer	rakovina	anger	0.577
frustration	frustrace	anger	0.576
gory	krvavý	anger	0.576
alienation	odcizení	anger	0.576
discord	svár	anger	0.576
disturbance	rušení	anger	0.576
grope	tápat	anger	0.576
condescension	blahosklonnost	anger	0.576
pernicious	zhoubný	anger	0.576
blasphemy	rouhání	anger	0.576
discriminate	diskriminovat	anger	0.576
chaotic	chaotický	anger	0.576
gun	pistole	anger	0.576
standoff	odstup	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	úšklebek	anger	0.574
lunacy	šílenství	anger	0.574
oppressive	represivní	anger	0.574
death	smrt	anger	0.574
jab	píchnout	anger	0.574
cursed	prokletý	anger	0.574
scandalous	skandální	anger	0.574
monstrosity	obludnost	anger	0.574
shit	hovno	anger	0.573
disparaging	znepokojující	anger	0.571
slash	lomítko	anger	0.571
unfair	nespravedlivé	anger	0.571
gallows	šibenice	anger	0.570
escalate	eskalovat	anger	0.569
intolerant	intolerantní	anger	0.564
lawlessness	bezpráví	anger	0.563
bluddy	bluddy	anger	0.562
perdition	zatracení	anger	0.562
taunt	posměch	anger	0.562
grouchy	mrzutý	anger	0.562
torpedo	torpédo	anger	0.562
deceived	podvedl	anger	0.562
slander	pomlouvat	anger	0.562
retards	retarduje	anger	0.562
bearish	bearish	anger	0.562
invade	napadnout	anger	0.562
bellows	měchy	anger	0.562
beast	bestie	anger	0.562
frightful	strašný	anger	0.562
derogatory	hanlivý	anger	0.562
glare	oslnění	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	strašlivý	anger	0.562
traitor	zrádce	anger	0.562
malign	pomlouvat	anger	0.562
wrangling	hádka	anger	0.562
dissension	neshoda	anger	0.561
banshee	banshee	anger	0.561
shatter	roztříštit	anger	0.561
conflagration	požár	anger	0.561
jeopardize	ohrozit	anger	0.561
thief	zloděj	anger	0.561
rave	vztekat se	anger	0.561
grating	mřížka	anger	0.561
devastating	zničující	anger	0.561
idiots	idioti	anger	0.561
betrayal	zrada	anger	0.561
uncontrollable	nekontrolovatelné	anger	0.561
fits	se hodí	anger	0.561
cross	přejít	anger	0.561
hurt	zranit	anger	0.561
disturbed	narušený	anger	0.559
subjugation	podřízení	anger	0.559
stomped	stomped	anger	0.557
grab	urvat	anger	0.557
ticked	zaškrtnuto	anger	0.556
masochism	masochismus	anger	0.556
grievance	stížnost	anger	0.556
defiance	vzdor	anger	0.552
blackmail	vydírání	anger	0.550
offensive	urážlivý	anger	0.549
decry	dekády	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	porušení	anger	0.547
punishment	trest	anger	0.547
shrill	pronikavý	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	temná strana	anger	0.547
misery	bída	anger	0.547
frustrates	frustrová	anger	0.547
disgraceful	hanebný	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	arogantní	anger	0.547
disparity	disparita	anger	0.547
confine	omezit	anger	0.547
firearms	střelné zbraně	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurdní	anger	0.547
rebel	rebel	anger	0.547
deceive	oklamat	anger	0.547
stolen	ukradený	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	vyhřívaný	anger	0.545
ruined	zničený	anger	0.545
menace	hrozba	anger	0.545
humiliate	ponížit	anger	0.545
tackle	řešit	anger	0.545
conspirator	spiklenec	anger	0.545
foul	faul	anger	0.545
antagonist	antagonista	anger	0.545
resentful	nesnášenlivý	anger	0.545
prejudice	předsudek	anger	0.545
adversary	protivník	anger	0.545
argument	argument	anger	0.545
skirmish	šarvátka	anger	0.545
callous	otrlý	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	zamotaný	anger	0.544
robbery	loupež	anger	0.544
sting	bodnutí	anger	0.544
outcry	křik	anger	0.544
grumble	reptat	anger	0.544
irreconcilable	neslučitelné	anger	0.543
resistance	odpor	anger	0.543
obstructive	obstrukční	anger	0.542
dismay	zděšení	anger	0.540
mob	dav	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	špatnost	anger	0.536
ridicule	výsměch	anger	0.534
incendiary	zápalný	anger	0.533
flares	světlice	anger	0.532
degeneracy	degenerace	anger	0.531
confinement	vězení	anger	0.531
exacerbation	exacerbace	anger	0.531
prejudicial	škodlivé	anger	0.531
uprising	povstání	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	bezohledný	anger	0.531
unbridled	nespojený	anger	0.531
allegation	tvrzení	anger	0.531
communism	komunismus	anger	0.531
whip	bič	anger	0.531
intruder	vetřelec	anger	0.531
dispute	spor	anger	0.531
belittle	snižovat	anger	0.531
bigoted	bigotní	anger	0.530
offender	pachatel	anger	0.530
hassle	hádka	anger	0.530
dissonance	disonance	anger	0.530
unjust	nespravedlivý	anger	0.530
dictatorial	diktátorský	anger	0.530
unjustifiable	neospravedlnitelné	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	zvrácenost	anger	0.530
tackled	řešeno	anger	0.530
renegade	odpadlík	anger	0.529
hot	horký	anger	0.529
prison	vězení	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	přestupek	anger	0.529
suicide	sebevražda	anger	0.521
annoy	otravovat	anger	0.520
leavemealone	nech mě na pokoji	anger	0.517
idiotic	idiotský	anger	0.516
distrust	nedůvěra	anger	0.516
depravity	znechucení	anger	0.516
cretins	kretiny	anger	0.516
divorce	rozvod	anger	0.516
broil	grilovat	anger	0.516
grrr	grrr	anger	0.516
venting	větrání	anger	0.516
inimical	nepřátelský	anger	0.516
duress	nátlak	anger	0.516
disrespectful	neuctivý	anger	0.516
tortious	pátrání	anger	0.516
criticize	kritizovat	anger	0.516
prisoner	vězeň	anger	0.516
dishonest	nečestný	anger	0.516
treason	zrada	anger	0.516
victimized	oběť	anger	0.515
bile	žluč	anger	0.515
unkind	bezbožný	anger	0.515
unforgiving	neodpouštějící	anger	0.515
unleash	rozpoutat	anger	0.515
coercion	donucování	anger	0.515
scold	nadávat	anger	0.515
chaos	chaos	anger	0.515
grump	grump	anger	0.515
roar	řev	anger	0.515
jerks	jerky	anger	0.515
poaching	pytláctví	anger	0.515
hangry	hangár	anger	0.515
pow	pow	anger	0.515
poachers	pytláci	anger	0.515
argumentation	argumentace	anger	0.515
frustrating	frustrující	anger	0.515
tussle	zápas	anger	0.514
bane	prokletí	anger	0.511
accusation	obvinění	anger	0.510
repudiation	odmítnutí	anger	0.510
enmity	nepřátelství	anger	0.510
banish	vyhánět	anger	0.509
disfigured	znetvořený	anger	0.508
storm	bouřka	anger	0.507
shun	shun	anger	0.500
suppression	potlačení	anger	0.500
unruly	nepoctivý	anger	0.500
intractable	nepoddajný	anger	0.500
ordeal	utrpení	anger	0.500
obstruct	bránit	anger	0.500
derogation	odchylky	anger	0.500
fervor	zápal	anger	0.500
foaming	pěnění	anger	0.500
derision	výsměch	anger	0.500
animus	animus	anger	0.500
rejects	odmítá	anger	0.500
bout	zápas	anger	0.500
spear	kopí	anger	0.500
crazy	šílený	anger	0.500
brazen	brazen	anger	0.500
antithesis	protiklad	anger	0.500
injustice	bezpráví	anger	0.500
banished	vyhnáno	anger	0.500
confined	stísněný	anger	0.500
frenzied	frenzied	anger	0.500
dominate	ovládat	anger	0.500
disrupting	narušení	anger	0.500
hammering	kladivem	anger	0.500
fear	strach	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	úzkost	anger	0.500
brunt	nápor	anger	0.500
possessed	posedlý	anger	0.500
defy	vzdorovat	anger	0.500
scoff	posměch	anger	0.500
patronising	blahosklonný	anger	0.500
delusional	bludný	anger	0.500
malpractice	zneužívání	anger	0.500
reject	odmítnout	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	houževnatost	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	šílenství	anger	0.491
sinful	hříšný	anger	0.491
avarice	lakota	anger	0.490
oppress	utlačovat	anger	0.490
disapproved	zamítnuto	anger	0.485
inhuman	nelidský	anger	0.485
demand	poptávka	anger	0.485
abolish	zrušit	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	stížnost	anger	0.485
disservice	slabost	anger	0.485
smuggler	pašerák	anger	0.485
revoke	zrušit	anger	0.485
infraction	porušení	anger	0.485
claw	dráp	anger	0.485
dissident	disident	anger	0.485
pervert	zvrhlík	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	neposlušný	anger	0.485
usurp	uzurpovat	anger	0.485
alienate	odcizit	anger	0.485
avenger	mstitel	anger	0.485
annoyed	naštvaný	anger	0.485
cutting	řezání	anger	0.485
disgrace	ostuda	anger	0.484
deceit	podvod	anger	0.484
suspicious	podezřelý	anger	0.484
thresh	mlátit	anger	0.484
sucker	zelenáč	anger	0.484
strained	napjaté	anger	0.484
blame	obviňovat	anger	0.484
upheaval	převrat	anger	0.484
renounce	zřeknout se	anger	0.484
obnoxious	Protivný	anger	0.484
restrain	omezit	anger	0.484
oust	vyhnat	anger	0.484
litigious	sporný	anger	0.484
rivalry	soupeření	anger	0.484
penalty	trest	anger	0.484
imprisoned	uvězněn	anger	0.484
mocking	uštěpačný	anger	0.484
opposed	protichůdný	anger	0.484
turbulence	turbulence	anger	0.483
pound	libra	anger	0.481
coldness	chlad	anger	0.477
ungrateful	nevděčný	anger	0.472
battalion	praporu	anger	0.471
stoopid	stoopid	anger	0.471
hostage	rukojmí	anger	0.470
infidel	nevěřící	anger	0.470
ram	RAM	anger	0.470
accuser	žalobce	anger	0.470
gall	žluč	anger	0.470
subversion	podvracení	anger	0.470
annoying	nepříjemný	anger	0.470
adversity	nepřízeň osudu	anger	0.470
dispossessed	vyřazen	anger	0.470
friction	tření	anger	0.470
jealous	žárlivý	anger	0.470
feudalism	feudalismus	anger	0.470
armament	vyzbrojení	anger	0.470
thump	bouře	anger	0.469
complain	stěžovat si	anger	0.469
incite	podněcovat	anger	0.469
steal	ukrást	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	neuposlechnout	anger	0.469
injury	zranění	anger	0.469
simmer	vřít	anger	0.469
distress	nouze	anger	0.469
insanity	šílenství	anger	0.469
selfish	sobecký	anger	0.469
huff	zlost	anger	0.469
selfishness	sobectví	anger	0.469
backoff	backoff	anger	0.469
plunder	kořist	anger	0.469
stifled	potlačena	anger	0.469
subversive	podvratný	anger	0.469
exile	vyhnanství	anger	0.469
offense	útok	anger	0.469
objection	námitka	anger	0.469
recidivism	opakování	anger	0.469
smother	udusit	anger	0.469
perpetrator	pachatel	anger	0.469
dislike	nemít rád	anger	0.469
disruption	narušení	anger	0.469
intolerance	intolerance	anger	0.469
opposition	opozici	anger	0.469
