word	Arabic-ar	emotion	emotion-intensity-score
slap	صفعة	anger	0.791
slaughterhouse	مسلخ	anger	0.788
punishing	معاقبة	anger	0.788
destroyed	دمر	anger	0.788
retaliatory	ثأري	anger	0.788
riot	شغب	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	صراخ	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	شيطاني	anger	0.788
manslaughter	قتل	anger	0.783
clash	اشتباك	anger	0.783
bloody	دموي	anger	0.781
hellish	جهنمي	anger	0.781
loath	متردد	anger	0.781
detonation	تفجير	anger	0.781
quarrel	قتال	anger	0.781
sinister	شرير	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	اتهام	anger	0.779
treacherous	غادر	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ثأر	anger	0.773
revulsion	اشمئزاز	anger	0.773
madder	الفوة نبات صبغي	anger	0.773
horrific	مرعب	anger	0.773
scorn	سخرية	anger	0.769
deplorable	بائس	anger	0.766
bomb	قنبلة	anger	0.766
anarchist	فوضوي	anger	0.765
devastation	دمار	anger	0.765
resent	استاء	anger	0.765
firestorm	عاصفة	anger	0.765
contemptible	خسيس	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	قاسي	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	مميت	anger	0.758
smash	تحطيم	anger	0.758
rant	تبجح	anger	0.758
outburst	فورة	anger	0.757
snarl	تشابك	anger	0.754
profane	دنس	anger	0.750
offend	الإساءة	anger	0.750
douchebags	douchebags	anger	0.750
growling	الهدر	anger	0.750
stfu	عضويه	anger	0.750
vulgarity	عامية	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	مخبول	anger	0.750
despise	احتقر	anger	0.750
horror	رعب	anger	0.750
aggravating	مزعج	anger	0.750
revolting	اشمئزاز	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	التهديد	anger	0.742
erupt	أطلق	anger	0.742
screaming	صراخ	anger	0.742
violence	عنف	anger	0.742
horrible	رهيب	anger	0.742
molestation	مضايقة	anger	0.742
bastards	الأوغاد	anger	0.741
revenge	انتقام	anger	0.738
catastrophe	كارثة	anger	0.735
menacing	متوعد	anger	0.735
demon	شيطان	anger	0.735
crushing	الساحق	anger	0.735
damn	اللعنة	anger	0.735
persecute	اضطهد	anger	0.734
argue	تجادل	anger	0.734
flog	جلد	anger	0.734
revolt	تمرد	anger	0.734
thrash	جلد	anger	0.734
deplore	نشجب	anger	0.734
warfare	حرب	anger	0.734
fedup	طفح الكيل	anger	0.734
vehement	عنيف	anger	0.734
riotous	عربيد	anger	0.734
altercation	مشادة	anger	0.729
warlike	مولع بالحرب	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	تمرد	anger	0.727
castrate	خصى	anger	0.727
sabotage	تخريب	anger	0.727
malevolent	حاقد	anger	0.721
strike	إضراب	anger	0.721
disaster	كارثة	anger	0.721
disastrous	كارثي	anger	0.720
tumult	شغب	anger	0.719
madden	خبل	anger	0.719
devil	إبليس	anger	0.719
scream	صرخة	anger	0.719
brutal	وحشي	anger	0.719
treachery	خيانة	anger	0.719
scorching	حارق	anger	0.719
vermin	الهوام	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	يفاقم	anger	0.719
spiteful	حاقد	anger	0.719
slay	ذبح	anger	0.719
disdain	ازدراء	anger	0.719
choke	خنق	anger	0.719
bastarding	bastarding	anger	0.719
mangle	فسد	anger	0.714
anarchism	فوضوية	anger	0.714
mutilation	بتر	anger	0.714
criminal	مجرم	anger	0.714
denunciation	استنكار	anger	0.713
punch	لكمة	anger	0.713
crucifixion	صلب	anger	0.712
virulence	خبث	anger	0.712
battled	اشتبكت	anger	0.712
fatal	قاتلة - مهلك	anger	0.712
holocaust	محرقة	anger	0.712
blasphemous	تجديف	anger	0.712
hurting	مؤلم	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	مختل	anger	0.706
atrocious	فظيع	anger	0.706
evil	شر	anger	0.706
irritated	منزعج	anger	0.706
assassin	قاتل	anger	0.703
dicks	ديكس	anger	0.703
persecution	اضطهاد	anger	0.703
slayer	القاتل	anger	0.703
kidnap	خطف	anger	0.703
scolding	توبيخ	anger	0.703
intimidation	تخويف	anger	0.703
aggravated	تتفاقم	anger	0.703
aggression	عدوان	anger	0.702
armed	مسلح	anger	0.700
poison	سم	anger	0.697
snarling	الزمجرة	anger	0.697
venom	سم	anger	0.697
battle	معركة	anger	0.697
disgruntled	ناقم	anger	0.693
insidious	أخبث	anger	0.691
assailant	مهاجم	anger	0.691
resentment	استياء	anger	0.691
lynch	أعدم من غير محاكمة	anger	0.690
contemptuous	مزدر	anger	0.690
temper	لين، لطف، هدأ	anger	0.688
imprisonment	سجن	anger	0.688
disparage	انتقص	anger	0.688
bully	بلطجي	anger	0.688
terrible	رهيب	anger	0.688
lunatic	جنوني	anger	0.688
curse	لعنة	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	منزعج	anger	0.688
domination	هيمنة	anger	0.688
mad	مجنون	anger	0.688
infanticide	وأد	anger	0.688
volatility	التقلب	anger	0.687
eradication	استئصال	anger	0.685
tantrum	نوبة غضب	anger	0.682
devastate	دمر	anger	0.682
eradicate	القضاء	anger	0.682
scoundrel	الوغد	anger	0.682
aggressively	بقوة	anger	0.680
agitation	الإثارة	anger	0.680
dictatorship	الدكتاتورية	anger	0.676
irritates	يزعج	anger	0.676
profanity	شتم	anger	0.673
egregious	فاضح	anger	0.672
expletive	حشوي	anger	0.672
nasty	مقرف	anger	0.672
shove	غرز	anger	0.672
shot	اطلاق النار	anger	0.672
harmful	مضر	anger	0.672
aggravation	التفاقم	anger	0.672
contempt	ازدراء	anger	0.672
poisonous	سام	anger	0.672
dastardly	خسيس	anger	0.672
shoot	أطلق النار	anger	0.672
corrupting	إفساد	anger	0.672
condemnation	إدانة	anger	0.672
wreak	انتقم	anger	0.672
crushed	مهروس	anger	0.672
cruelly	بوحشية	anger	0.672
crime	جريمة	anger	0.672
maniac	معتوه	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	انفجار	anger	0.667
odious	بغيض	anger	0.667
shooting	اطلاق الرصاص	anger	0.667
kick	ركلة	anger	0.667
aggressive	العدواني	anger	0.667
combat	قتال	anger	0.667
shout	يصيح، يصرخ، صيحة	anger	0.667
hit	نجاح	anger	0.667
fight	يقاتل	anger	0.667
cutthroat	سفاح	anger	0.667
enemy	العدو	anger	0.667
irritable	سريع الغضب	anger	0.667
punished	يعاقب	anger	0.662
ambush	كمين	anger	0.661
yell	قال بصوت عال	anger	0.661
harass	مضايقة	anger	0.659
malignant	خبيث	anger	0.656
aggressor	معتدي	anger	0.656
antichrist	عدو للمسيح	anger	0.656
gore	نطح	anger	0.656
incense	عطور	anger	0.656
expel	يطرد	anger	0.656
destruction	تدمير	anger	0.656
grudge	ضغينة	anger	0.656
cranky	غريب الأطوار	anger	0.653
offended	بالاهانة	anger	0.652
spank	صفعة على الكفل	anger	0.652
growl	تذمر	anger	0.652
insurrection	تمرد	anger	0.652
reprisal	انتقام	anger	0.652
slave	شريحة	anger	0.652
denounce	التنديد	anger	0.652
animosity	عداء	anger	0.652
insulting	مهين	anger	0.652
clashing	تشتبك	anger	0.652
growls	الهدير	anger	0.649
executioner	جلاد	anger	0.644
twat	twat	anger	0.644
doomsday	يوم القيامة	anger	0.643
daemon	الخفي	anger	0.641
obscenity	فحش	anger	0.641
bombard	قصف	anger	0.641
spat	مشاحنة	anger	0.641
havoc	خراب	anger	0.641
feud	عداء	anger	0.641
grr	GRR	anger	0.641
arson	حريق متعمد	anger	0.641
reprimand	توبيخ	anger	0.641
expulsion	طرد	anger	0.641
inexcusable	لا يصفح عنه	anger	0.641
accused	المتهم	anger	0.641
indignant	ساخط	anger	0.641
shackle	قيد	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	جرح	anger	0.636
suicidal	انتحاري	anger	0.636
poisoned	مسمم	anger	0.636
batter	خليط	anger	0.636
kicking	الركل	anger	0.636
hanging	معلق	anger	0.636
spanking	ضربة على الردف	anger	0.636
disgusting	مقزز	anger	0.636
combatant	مقاتل	anger	0.636
frustrated	محبط	anger	0.636
anarchy	فوضى سياسية	anger	0.636
glaring	باهي	anger	0.636
inflict	إلحاق	anger	0.633
wrecked	المحطمة	anger	0.633
grievous	مؤلم	anger	0.632
prosecute	محاكمة	anger	0.630
agitated	هائج	anger	0.630
cheat	خداع	anger	0.630
swastika	الصليب المعقوف	anger	0.627
defamatory	افترائي	anger	0.625
suffocation	اختناق	anger	0.625
strife	صراع	anger	0.625
provocation	إثارة	anger	0.625
injure	جرح	anger	0.625
harassing	مضايقة	anger	0.625
scourge	كارثة	anger	0.625
cursing	اللعن	anger	0.625
betray	أفشى سرا	anger	0.625
indict	توجيه الاتهام	anger	0.625
raid	غارة	anger	0.625
thundering	مدو	anger	0.625
enslaved	مستعبد	anger	0.625
arsehole	الشرج	anger	0.624
insane	مجنون	anger	0.621
fiend	شيطان	anger	0.621
irritate	يزعج	anger	0.621
convict	المحكوم	anger	0.621
jerk	أحمق	anger	0.621
theft	سرقة	anger	0.621
retaliation	انتقام	anger	0.621
deprivation	حرمان	anger	0.621
cussed	العناد	anger	0.619
turmoil	اضطراب	anger	0.618
smack	صفعة	anger	0.615
retribution	عقاب	anger	0.614
twats	twats	anger	0.609
intolerable	لا يطاق	anger	0.609
rebellion	تمرد	anger	0.609
injurious	ضار	anger	0.609
oppressor	ظالم	anger	0.609
slavery	عبودية	anger	0.609
irritability	التهيج	anger	0.609
collision	تصادم	anger	0.609
bitterly	مرير	anger	0.609
gang	عصابة	anger	0.609
antagonism	عداوة	anger	0.609
battery	البطارية	anger	0.609
adverse	معاكس	anger	0.609
disgraced	موصوم	anger	0.608
irritating	مزعج	anger	0.606
revolution	ثورة	anger	0.606
thug	سفاح	anger	0.606
diatribe	خطبة لاذعة	anger	0.606
bombardment	قصف	anger	0.606
blast	انفجار	anger	0.606
irks	يؤرق	anger	0.606
sickening	مقرف	anger	0.606
discrimination	تمييز	anger	0.606
antagonistic	معاد	anger	0.606
ranting	صراخ	anger	0.606
asshole	الأحمق	anger	0.606
frustrate	أحبط	anger	0.604
manipulation	بمعالجة	anger	0.603
tension	توتر	anger	0.603
insult	إهانة	anger	0.603
bigot	متعصب	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	مؤذ	anger	0.603
oppression	ظلم	anger	0.603
disgust	قرف	anger	0.602
spite	رغم	anger	0.600
intrusive	تطفلي	anger	0.598
harshness	قسوة	anger	0.597
slur	افتراء	anger	0.596
wretch	البائس	anger	0.594
inferno	جحيم	anger	0.594
invasion	غزو	anger	0.594
puncture	ثقب	anger	0.594
miserable	تعيس	anger	0.594
assail	هاجم بعنف	anger	0.594
storming	اقتحام	anger	0.594
casualty	مصاب	anger	0.594
bitterness	مرارة	anger	0.594
morbidity	مرضية	anger	0.594
tempest	عاصفة	anger	0.594
consternation	ذعر	anger	0.592
depraved	لئيم	anger	0.591
raving	هذيان	anger	0.591
guillotine	مقصلة	anger	0.591
guilty	مذنب	anger	0.591
immoral	عديم الاخلاق	anger	0.591
forcibly	غصبا	anger	0.591
overpowering	ساحق	anger	0.591
accursed	ملعون	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	متمرد	anger	0.588
invader	غاز	anger	0.588
scare	فزع	anger	0.588
screwed	ثمل	anger	0.588
indignation	سخط	anger	0.587
jealousy	الغيرة	anger	0.587
vexed	مغيظ	anger	0.586
confront	مواجهة	anger	0.582
brute	حيوان	anger	0.581
throttle	خنق	anger	0.579
wreck	حطام سفينة	anger	0.578
revolver	مسدس	anger	0.578
slut	وقحة	anger	0.578
yousuck	أنت تمتص	anger	0.578
damage	ضرر	anger	0.578
butcher	جزار	anger	0.578
conflict	نزاع	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	جريمة	anger	0.578
bickering	المشاحنات	anger	0.578
pillage	نهب	anger	0.578
blaze	حريق	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	انقلاب	anger	0.578
contentious	إثارة للخلاف	anger	0.578
incarceration	سجن	anger	0.578
defiant	غير هياب	anger	0.578
provoking	مثير	anger	0.578
lash	جلد	anger	0.578
cancer	سرطان	anger	0.577
frustration	إحباط	anger	0.576
gory	ملطخ بالدم	anger	0.576
alienation	عزلة	anger	0.576
discord	خلاف	anger	0.576
disturbance	إزعاج	anger	0.576
grope	تلمس	anger	0.576
condescension	الهبوط بالمستوى	anger	0.576
pernicious	خبيث	anger	0.576
blasphemy	تجديف	anger	0.576
discriminate	تميز	anger	0.576
chaotic	فوضوي	anger	0.576
gun	بندقية	anger	0.576
standoff	المواجهة	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	سخرية	anger	0.574
lunacy	جنون	anger	0.574
oppressive	ظالم	anger	0.574
death	الموت	anger	0.574
jab	ضربة بالكوع	anger	0.574
cursed	ملعون	anger	0.574
scandalous	فاضح	anger	0.574
monstrosity	بشاعة	anger	0.574
shit	القرف	anger	0.573
disparaging	مذم	anger	0.571
slash	خفض	anger	0.571
unfair	غير منصف	anger	0.571
gallows	مشنقة	anger	0.570
escalate	يتصعد	anger	0.569
intolerant	غير متسامح	anger	0.564
lawlessness	فوضى	anger	0.563
bluddy	bluddy	anger	0.562
perdition	هلاك	anger	0.562
taunt	تهكم	anger	0.562
grouchy	عابس	anger	0.562
torpedo	نسف	anger	0.562
deceived	خدع	anger	0.562
slander	افتراء	anger	0.562
retards	يؤخر	anger	0.562
bearish	سبحة	anger	0.562
invade	غزا	anger	0.562
bellows	منفاخ	anger	0.562
beast	وحش	anger	0.562
frightful	مخيف	anger	0.562
derogatory	ازدرائي	anger	0.562
glare	وهج	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	مروع	anger	0.562
traitor	خائن	anger	0.562
malign	مؤذ	anger	0.562
wrangling	الجدل	anger	0.562
dissension	خلاف	anger	0.561
banshee	الشؤم	anger	0.561
shatter	تحطيم	anger	0.561
conflagration	حريق	anger	0.561
jeopardize	يعرض للخطر	anger	0.561
thief	السارق	anger	0.561
rave	الهذيان	anger	0.561
grating	حاجز مشبك	anger	0.561
devastating	مدمر	anger	0.561
idiots	البلهاء	anger	0.561
betrayal	خيانة	anger	0.561
uncontrollable	متعذر ضبطه	anger	0.561
fits	تناسبها	anger	0.561
cross	تعبر	anger	0.561
hurt	جرح	anger	0.561
disturbed	مختل	anger	0.559
subjugation	إخضاع	anger	0.559
stomped	داس	anger	0.557
grab	إختطاف	anger	0.557
ticked	تكتك	anger	0.556
masochism	ماسوشية تلذذ بالإضهاد	anger	0.556
grievance	شكوى	anger	0.556
defiance	تحد	anger	0.552
blackmail	ابتزاز	anger	0.550
offensive	هجومي	anger	0.549
decry	شجب	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	عنيف	anger	0.547
punishment	عقاب	anger	0.547
shrill	شديد	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	الجانب المظلم	anger	0.547
misery	بؤس	anger	0.547
frustrates	يحبط	anger	0.547
disgraceful	مخز	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	متعجرف	anger	0.547
disparity	تفاوت	anger	0.547
confine	حجز	anger	0.547
firearms	الأسلحة النارية	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	مناف للعقل	anger	0.547
rebel	متمرد	anger	0.547
deceive	يخدع	anger	0.547
stolen	مسروق	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	مسخن	anger	0.545
ruined	خرب	anger	0.545
menace	تهديد	anger	0.545
humiliate	إذلال	anger	0.545
tackle	يعالج	anger	0.545
conspirator	متآمر	anger	0.545
foul	خطأ	anger	0.545
antagonist	خصم	anger	0.545
resentful	امتعاضي	anger	0.545
prejudice	تعصب	anger	0.545
adversary	خصم	anger	0.545
argument	جدال	anger	0.545
skirmish	مناوشة	anger	0.545
callous	قاسي القلب	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	متورط	anger	0.544
robbery	سرقة	anger	0.544
sting	العقرب	anger	0.544
outcry	احتجاج	anger	0.544
grumble	تذمر	anger	0.544
irreconcilable	لا يقبل المساومة	anger	0.543
resistance	مقاومة	anger	0.543
obstructive	المعوق	anger	0.542
dismay	فزع	anger	0.540
mob	تجمهر	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	خبث	anger	0.536
ridicule	سخرية	anger	0.534
incendiary	حارق	anger	0.533
flares	مشاعل	anger	0.532
degeneracy	انحلال	anger	0.531
confinement	حبس	anger	0.531
exacerbation	مفاقمة	anger	0.531
prejudicial	ضار	anger	0.531
uprising	الانتفاضة	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	متهور	anger	0.531
unbridled	غير ملجم	anger	0.531
allegation	ادعاء	anger	0.531
communism	شيوعية	anger	0.531
whip	سوط	anger	0.531
intruder	المتطفل	anger	0.531
dispute	خلاف	anger	0.531
belittle	استخف	anger	0.531
bigoted	متعصب	anger	0.530
offender	المذنب	anger	0.530
hassle	مشاحنة	anger	0.530
dissonance	تنافر	anger	0.530
unjust	ظالم	anger	0.530
dictatorial	دكتاتوري	anger	0.530
unjustifiable	غير عادل	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	الانحراف	anger	0.530
tackled	تناولت	anger	0.530
renegade	مرتد	anger	0.529
hot	الحار	anger	0.529
prison	السجن	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	تعدي	anger	0.529
suicide	انتحار	anger	0.521
annoy	تزعج	anger	0.520
leavemealone	اتركني وحدي	anger	0.517
idiotic	أحمق	anger	0.516
distrust	عدم الثقة	anger	0.516
depravity	فساد	anger	0.516
cretins	المشوهون	anger	0.516
divorce	طلاق	anger	0.516
broil	شواء	anger	0.516
grrr	grrr	anger	0.516
venting	التنفيس	anger	0.516
inimical	معاد	anger	0.516
duress	إكراه	anger	0.516
disrespectful	قليل الاحترام للآخرين	anger	0.516
tortious	التقصيرية	anger	0.516
criticize	ينتقد	anger	0.516
prisoner	أسير	anger	0.516
dishonest	غير أمين	anger	0.516
treason	خيانة	anger	0.516
victimized	ضحية	anger	0.515
bile	النكد	anger	0.515
unkind	غير لطيف	anger	0.515
unforgiving	لا ترحم	anger	0.515
unleash	إطلاق العنان	anger	0.515
coercion	إكراه	anger	0.515
scold	أنب	anger	0.515
chaos	فوضى	anger	0.515
grump	grump	anger	0.515
roar	هدير	anger	0.515
jerks	الحمقى	anger	0.515
poaching	الصيد غير المشروع	anger	0.515
hangry	hangry	anger	0.515
pow	الأسرى	anger	0.515
poachers	الصيادين	anger	0.515
argumentation	الحجج	anger	0.515
frustrating	محبط	anger	0.515
tussle	صراع	anger	0.514
bane	هلاك	anger	0.511
accusation	اتهام	anger	0.510
repudiation	رفض	anger	0.510
enmity	عداوة	anger	0.510
banish	إبعاد	anger	0.509
disfigured	مشوه	anger	0.508
storm	عاصفة	anger	0.507
shun	اجتنب	anger	0.500
suppression	إخماد	anger	0.500
unruly	جامح	anger	0.500
intractable	صعب المراس	anger	0.500
ordeal	محنة	anger	0.500
obstruct	منع	anger	0.500
derogation	انتقاص	anger	0.500
fervor	حماسة	anger	0.500
foaming	رغوة	anger	0.500
derision	سخرية	anger	0.500
animus	العداء	anger	0.500
rejects	يرفض	anger	0.500
bout	نوبة	anger	0.500
spear	رمح	anger	0.500
crazy	مجنون	anger	0.500
brazen	وقح	anger	0.500
antithesis	نقيض	anger	0.500
injustice	ظلم	anger	0.500
banished	نفي	anger	0.500
confined	حبيس	anger	0.500
frenzied	مسعور	anger	0.500
dominate	تسيطر	anger	0.500
disrupting	وتعطيل	anger	0.500
hammering	يدق	anger	0.500
fear	خوف	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	كرب	anger	0.500
brunt	الوطأة العظمى	anger	0.500
possessed	امتلك	anger	0.500
defy	تحدى	anger	0.500
scoff	هزأ	anger	0.500
patronising	رعايته	anger	0.500
delusional	الوهمية	anger	0.500
malpractice	سوء التصرف	anger	0.500
reject	رفض	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	صلابة	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	جنون	anger	0.491
sinful	مذنب	anger	0.491
avarice	جشع	anger	0.490
oppress	ظلم	anger	0.490
disapproved	مرفوض	anger	0.485
inhuman	غير إنساني	anger	0.485
demand	الطلب	anger	0.485
abolish	إلغاء	anger	0.485
anathema	لعنة	anger	0.485
fricking	fricking	anger	0.485
complaint	شكوى	anger	0.485
disservice	خدمة سيئة	anger	0.485
smuggler	المهرب	anger	0.485
revoke	سحب	anger	0.485
infraction	مخالفة	anger	0.485
claw	مخلب	anger	0.485
dissident	منشق	anger	0.485
pervert	انحرف	anger	0.485
incest	سفاح القربى	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	عاص	anger	0.485
usurp	انتزاع	anger	0.485
alienate	ينفر	anger	0.485
avenger	منتقم	anger	0.485
annoyed	منزعج	anger	0.485
cutting	قطع	anger	0.485
disgrace	عار	anger	0.484
deceit	خداع	anger	0.484
suspicious	مشبوه	anger	0.484
thresh	درس الحنطة	anger	0.484
sucker	إبله	anger	0.484
strained	متكلف	anger	0.484
blame	لوم	anger	0.484
upheaval	ثورة	anger	0.484
renounce	تنازل	anger	0.484
obnoxious	بغيض	anger	0.484
restrain	كبح	anger	0.484
oust	طرد	anger	0.484
litigious	التقاضي	anger	0.484
rivalry	منافسة	anger	0.484
penalty	ضربة جزاء	anger	0.484
imprisoned	مسجون	anger	0.484
mocking	السخرية	anger	0.484
opposed	معارض	anger	0.484
turbulence	اضطراب	anger	0.483
pound	جنيه	anger	0.481
coldness	برودة	anger	0.477
ungrateful	جاحد	anger	0.472
battalion	كتيبة	anger	0.471
stoopid	stoopid	anger	0.471
hostage	رهينة	anger	0.470
infidel	كافر	anger	0.470
ram	الرامات " الذاكرة العشوائية في الهواتف والحواسيب	anger	0.470
accuser	المتهم	anger	0.470
gall	مرارة	anger	0.470
subversion	تخريب	anger	0.470
annoying	مزعج	anger	0.470
adversity	محنة	anger	0.470
dispossessed	جردوا	anger	0.470
friction	احتكاك	anger	0.470
jealous	غيور	anger	0.470
feudalism	إقطاعية	anger	0.470
armament	تسلح	anger	0.470
thump	رطم	anger	0.469
complain	تذمر	anger	0.469
incite	حرض	anger	0.469
steal	سرقة	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	عصى	anger	0.469
injury	إصابه	anger	0.469
simmer	طبخ بنار هادئة	anger	0.469
