word	Chinese (Simplified)-zh-CN	emotion	emotion-intensity-score
explode	爆炸	anger	0.859
assassination	暗杀	anger	0.859
hostility	敌意	anger	0.859
loathsome	讨厌的	anger	0.857
hell	地狱	anger	0.853
murderous	杀	anger	0.853
attack	攻击	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	恐怖主义	anger	0.851
beating	跳动	anger	0.849
desecration	亵渎	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	暴行	anger	0.848
stab	刺	anger	0.844
slaughter	屠宰	anger	0.844
violent	暴力	anger	0.844
destroying	销毁	anger	0.844
abomination	厌恶	anger	0.844
tumultuous	汹	anger	0.844
irate	发怒的	anger	0.844
infuriate	激怒	anger	0.844
obliterate	泯	anger	0.843
belligerent	交战的	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	憎恨	anger	0.838
hostilities	敌对行动	anger	0.837
prick	刺	anger	0.835
torture	拷打	anger	0.833
rabid	疯狂的	anger	0.833
horrid	可怕的	anger	0.833
rampage	乱闹	anger	0.833
cruelty	残酷	anger	0.833
hate	讨厌	anger	0.828
demonic	恶魔的	anger	0.828
hating	恨	anger	0.828
satanic	撒旦	anger	0.828
tyrannical	强横	anger	0.828
ragemode	ragemode	anger	0.828
despicable	卑鄙	anger	0.828
ruinous	毁灭性的	anger	0.825
condemn	谴责	anger	0.825
riots	暴动	anger	0.824
demolish	拆除	anger	0.824
angry	愤怒	anger	0.824
extermination	灭绝	anger	0.824
dickhead	dickhead	anger	0.824
livid	铁青	anger	0.821
madman	狂人	anger	0.820
vindictive	斗气	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	恶	anger	0.818
venomous	有毒	anger	0.818
threaten	威胁	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	恐怖分子	anger	0.818
abhor	痛恨	anger	0.816
savage	野蛮人	anger	0.814
atrocity	暴行	anger	0.814
carnage	大屠杀	anger	0.814
berserk	发狂的	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	滥用	anger	0.812
tyrant	暴君	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	惹恼了	anger	0.812
vendetta	仇杀	anger	0.812
fierce	激烈	anger	0.812
destroyer	驱逐舰	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	发烟	anger	0.812
barbaric	野蛮	anger	0.812
anger	愤怒	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	猛撞	anger	0.803
fights	打架	anger	0.803
punched	冲	anger	0.803
bitch	婊子	anger	0.803
punching	冲孔	anger	0.803
homicide	杀人	anger	0.803
destructive	有害	anger	0.797
ruthless	无情	anger	0.797
villainous	流氓	anger	0.797
slap	拍击	anger	0.791
slaughterhouse	屠宰场	anger	0.788
punishing	惩罚	anger	0.788
destroyed	销毁	anger	0.788
retaliatory	报复性	anger	0.788
riot	暴动	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	大呼小叫	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	毒辣	anger	0.788
manslaughter	误杀	anger	0.783
clash	冲突	anger	0.783
bloody	血腥	anger	0.781
hellish	地狱般	anger	0.781
loath	厌恶	anger	0.781
detonation	引爆	anger	0.781
quarrel	吵架	anger	0.781
sinister	险恶	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	指责	anger	0.779
treacherous	奸诈	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	报复	anger	0.773
revulsion	厌恶	anger	0.773
madder	藘	anger	0.773
horrific	可怕的	anger	0.773
scorn	轻蔑	anger	0.769
deplorable	可悲	anger	0.766
bomb	炸弹	anger	0.766
anarchist	无政府主义者	anger	0.765
devastation	毁坏	anger	0.765
resent	愤恨	anger	0.765
firestorm	风暴	anger	0.765
contemptible	可鄙	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	残忍	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	致命	anger	0.758
smash	粉碎	anger	0.758
rant	胡言乱语	anger	0.758
outburst	突发	anger	0.757
snarl	搞乱	anger	0.754
profane	粗俗	anger	0.750
offend	得罪	anger	0.750
douchebags	douchebags	anger	0.750
growling	咆哮	anger	0.750
stfu	STFU	anger	0.750
vulgarity	俗气	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	疯狂	anger	0.750
despise	讨厌	anger	0.750
horror	恐怖	anger	0.750
aggravating	恼人的	anger	0.750
revolting	令人作呕	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	威胁	anger	0.742
erupt	爆发	anger	0.742
screaming	尖叫	anger	0.742
violence	暴力	anger	0.742
horrible	可怕	anger	0.742
molestation	性骚扰	anger	0.742
bastards	混蛋	anger	0.741
revenge	复仇	anger	0.738
catastrophe	灾难	anger	0.735
menacing	来势汹汹	anger	0.735
demon	恶魔	anger	0.735
crushing	破碎	anger	0.735
damn	该死的	anger	0.735
persecute	迫害	anger	0.734
argue	争论	anger	0.734
flog	鞭打	anger	0.734
revolt	反叛	anger	0.734
thrash	鞭打	anger	0.734
deplore	痛惜	anger	0.734
warfare	战	anger	0.734
fedup	受够了	anger	0.734
vehement	慷慨	anger	0.734
riotous	放荡的	anger	0.734
altercation	争吵	anger	0.729
warlike	好战	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	兵变	anger	0.727
castrate	阉割	anger	0.727
sabotage	破坏	anger	0.727
malevolent	坏心肠的	anger	0.721
strike	罢工	anger	0.721
disaster	灾害	anger	0.721
disastrous	惨重	anger	0.720
tumult	骚动	anger	0.719
madden	发怒	anger	0.719
devil	魔鬼	anger	0.719
scream	惊叫	anger	0.719
brutal	野蛮	anger	0.719
treachery	背信弃义	anger	0.719
scorching	酷热	anger	0.719
vermin	害虫	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	胡说	anger	0.719
aggravates	加重	anger	0.719
spiteful	刻毒	anger	0.719
slay	诛戮	anger	0.719
disdain	蔑视	anger	0.719
choke	呛	anger	0.719
bastarding	bastarding	anger	0.719
mangle	撕裂	anger	0.714
anarchism	无政府主义	anger	0.714
mutilation	断肢	anger	0.714
criminal	刑事	anger	0.714
denunciation	解约	anger	0.713
punch	冲床	anger	0.713
crucifixion	受难	anger	0.712
virulence	毒力	anger	0.712
battled	作战	anger	0.712
fatal	致命	anger	0.712
holocaust	大屠杀	anger	0.712
blasphemous	亵渎神明	anger	0.712
hurting	伤害	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	发疯	anger	0.706
atrocious	穷凶极恶	anger	0.706
evil	邪恶	anger	0.706
irritated	恼怒的	anger	0.706
assassin	刺客	anger	0.703
dicks	迪克斯	anger	0.703
persecution	迫害	anger	0.703
slayer	杀手	anger	0.703
kidnap	绑架	anger	0.703
scolding	痛骂	anger	0.703
intimidation	恐吓	anger	0.703
aggravated	加重	anger	0.703
aggression	侵略	anger	0.702
armed	武装	anger	0.700
poison	毒	anger	0.697
snarling	狺	anger	0.697
venom	毒液	anger	0.697
battle	战斗	anger	0.697
disgruntled	不满	anger	0.693
insidious	阴险	anger	0.691
assailant	攻击者	anger	0.691
resentment	怨恨	anger	0.691
lynch	林奇	anger	0.690
contemptuous	轻视	anger	0.690
temper	脾气	anger	0.688
imprisonment	徒刑	anger	0.688
disparage	贬损	anger	0.688
bully	欺负	anger	0.688
terrible	可怕	anger	0.688
lunatic	疯子	anger	0.688
curse	诅咒	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	忿怒的	anger	0.688
domination	统治	anger	0.688
mad	狂	anger	0.688
infanticide	女婴	anger	0.688
volatility	挥发性	anger	0.687
eradication	根除	anger	0.685
tantrum	发脾气	anger	0.682
devastate	蹂躏	anger	0.682
eradicate	根除	anger	0.682
scoundrel	恶棍	anger	0.682
aggressively	积极	anger	0.680
agitation	搅动	anger	0.680
dictatorship	专政	anger	0.676
irritates	刺激	anger	0.676
profanity	亵渎	anger	0.673
egregious	过分的	anger	0.672
expletive	脏话	anger	0.672
nasty	讨厌	anger	0.672
shove	推	anger	0.672
shot	射击	anger	0.672
harmful	有害	anger	0.672
aggravation	加重	anger	0.672
contempt	鄙视	anger	0.672
poisonous	有毒	anger	0.672
dastardly	卑鄙	anger	0.672
shoot	射击	anger	0.672
corrupting	腐败	anger	0.672
condemnation	非难	anger	0.672
wreak	发泄	anger	0.672
crushed	碎	anger	0.672
cruelly	残酷	anger	0.672
crime	犯罪	anger	0.672
maniac	疯子	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	喷发	anger	0.667
odious	可恶	anger	0.667
shooting	射击	anger	0.667
kick	踢	anger	0.667
aggressive	侵略性	anger	0.667
combat	战斗	anger	0.667
shout	喊	anger	0.667
hit	击中	anger	0.667
fight	斗争	anger	0.667
cutthroat	杀手	anger	0.667
enemy	敌人	anger	0.667
irritable	急躁	anger	0.667
punished	处罚	anger	0.662
ambush	伏击	anger	0.661
yell	叫喊	anger	0.661
harass	骚扰	anger	0.659
malignant	恶性	anger	0.656
aggressor	侵略者	anger	0.656
antichrist	敌基督	anger	0.656
gore	血块	anger	0.656
incense	香	anger	0.656
expel	驱逐	anger	0.656
destruction	毁坏	anger	0.656
grudge	怨恨	anger	0.656
cranky	胡思乱想的	anger	0.653
offended	生气	anger	0.652
spank	一巴掌	anger	0.652
growl	吠声	anger	0.652
insurrection	起义	anger	0.652
reprisal	报复	anger	0.652
slave	奴隶	anger	0.652
denounce	声讨	anger	0.652
animosity	敌意	anger	0.652
insulting	侮辱	anger	0.652
clashing	冲突	anger	0.652
growls	咆哮	anger	0.649
executioner	刽子手	anger	0.644
twat	娘们	anger	0.644
doomsday	末日	anger	0.643
daemon	守护进程	anger	0.641
obscenity	意淫	anger	0.641
bombard	轰击	anger	0.641
spat	争吵	anger	0.641
havoc	浩劫	anger	0.641
feud	世仇	anger	0.641
grr	GRR	anger	0.641
arson	纵火	anger	0.641
reprimand	惩戒	anger	0.641
expulsion	开除	anger	0.641
inexcusable	不可原谅	anger	0.641
accused	被告	anger	0.641
indignant	愤怒	anger	0.641
shackle	铁链	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	伤口	anger	0.636
suicidal	自杀	anger	0.636
poisoned	中毒	anger	0.636
batter	面糊	anger	0.636
kicking	踢	anger	0.636
hanging	挂	anger	0.636
spanking	拍击	anger	0.636
disgusting	讨厌	anger	0.636
combatant	战斗	anger	0.636
frustrated	受挫	anger	0.636
anarchy	无政府状态	anger	0.636
glaring	刺眼	anger	0.636
inflict	造成	anger	0.633
wrecked	失事	anger	0.633
grievous	惨重	anger	0.632
prosecute	起诉	anger	0.630
agitated	激动	anger	0.630
cheat	作弊	anger	0.630
swastika	卍	anger	0.627
defamatory	诽谤的	anger	0.625
suffocation	窒息	anger	0.625
strife	争吵	anger	0.625
provocation	挑衅	anger	0.625
injure	损伤	anger	0.625
harassing	骚扰	anger	0.625
scourge	灾害	anger	0.625
cursing	咒骂	anger	0.625
betray	背叛	anger	0.625
indict	起诉	anger	0.625
raid	袭击	anger	0.625
thundering	雷鸣的	anger	0.625
enslaved	奴役	anger	0.625
arsehole	混蛋	anger	0.624
insane	疯	anger	0.621
fiend	恶魔	anger	0.621
irritate	刺激	anger	0.621
convict	定罪	anger	0.621
jerk	混蛋	anger	0.621
theft	盗窃	anger	0.621
retaliation	报复	anger	0.621
deprivation	剥夺	anger	0.621
cussed	倔强	anger	0.619
turmoil	动荡	anger	0.618
smack	拍击	anger	0.615
retribution	报应	anger	0.614
twats	twats	anger	0.609
intolerable	无法忍受	anger	0.609
rebellion	暴动	anger	0.609
injurious	害	anger	0.609
oppressor	暴君	anger	0.609
slavery	奴隶制度	anger	0.609
irritability	易怒	anger	0.609
collision	碰撞	anger	0.609
bitterly	痛	anger	0.609
gang	结伙	anger	0.609
antagonism	对抗	anger	0.609
battery	电池	anger	0.609
adverse	不利的	anger	0.609
disgraced	灰头土脸	anger	0.608
irritating	刺激性	anger	0.606
revolution	革命	anger	0.606
thug	暴徒	anger	0.606
diatribe	诽谤	anger	0.606
bombardment	轰击	anger	0.606
blast	爆破	anger	0.606
irks	很厌烦	anger	0.606
sickening	令人作呕	anger	0.606
discrimination	区别	anger	0.606
antagonistic	对抗性的	anger	0.606
ranting	咆哮	anger	0.606
asshole	混蛋	anger	0.606
frustrate	阻挠	anger	0.604
manipulation	操作	anger	0.603
tension	张力	anger	0.603
insult	侮辱	anger	0.603
bigot	独断论者	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	伤人	anger	0.603
oppression	压迫	anger	0.603
disgust	厌恶	anger	0.602
spite	尽管	anger	0.600
intrusive	侵入	anger	0.598
harshness	苛刻	anger	0.597
slur	诽谤	anger	0.596
wretch	不幸的人	anger	0.594
inferno	地狱	anger	0.594
invasion	侵入	anger	0.594
puncture	刺	anger	0.594
miserable	惨	anger	0.594
assail	攻击	anger	0.594
storming	风暴	anger	0.594
casualty	受害者	anger	0.594
bitterness	苦味	anger	0.594
morbidity	发病率	anger	0.594
tempest	暴风雨	anger	0.594
consternation	惊愕	anger	0.592
depraved	堕落	anger	0.591
raving	狂言	anger	0.591
guillotine	断头台	anger	0.591
guilty	有罪	anger	0.591
immoral	不道德	anger	0.591
forcibly	强制	anger	0.591
overpowering	压倒性	anger	0.591
accursed	诅咒	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	婼	anger	0.588
invader	侵略者	anger	0.588
scare	吓	anger	0.588
screwed	拧	anger	0.588
indignation	愤慨	anger	0.587
jealousy	妒忌	anger	0.587
vexed	烦恼	anger	0.586
confront	面对	anger	0.582
brute	畜生	anger	0.581
throttle	风门	anger	0.579
wreck	破坏	anger	0.578
revolver	左轮手枪	anger	0.578
slut	懒妇	anger	0.578
yousuck	你好烂	anger	0.578
damage	损伤	anger	0.578
butcher	屠夫	anger	0.578
conflict	冲突	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	犯罪	anger	0.578
bickering	争吵	anger	0.578
pillage	掠	anger	0.578
blaze	火焰	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	政变	anger	0.578
contentious	争议	anger	0.578
incarceration	监禁	anger	0.578
defiant	目中无人	anger	0.578
provoking	发人深省	anger	0.578
lash	睫毛	anger	0.578
cancer	癌症	anger	0.577
frustration	挫折	anger	0.576
gory	血腥	anger	0.576
alienation	异化	anger	0.576
discord	不和	anger	0.576
disturbance	骚乱	anger	0.576
grope	摸索	anger	0.576
condescension	屈尊	anger	0.576
pernicious	有害	anger	0.576
blasphemy	亵渎的话	anger	0.576
discriminate	辨析	anger	0.576
chaotic	混乱的	anger	0.576
gun	枪	anger	0.576
standoff	对峙	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	冷笑	anger	0.574
lunacy	疯狂行为	anger	0.574
oppressive	压抑	anger	0.574
death	死亡	anger	0.574
jab	戳	anger	0.574
cursed	诅咒	anger	0.574
scandalous	诽谤性的	anger	0.574
monstrosity	怪物	anger	0.574
shit	拉屎	anger	0.573
disparaging	蔑视	anger	0.571
slash	削减	anger	0.571
unfair	不公平	anger	0.571
gallows	绞架	anger	0.570
escalate	升级	anger	0.569
intolerant	不可忍耐	anger	0.564
lawlessness	无法无天	anger	0.563
bluddy	bluddy	anger	0.562
perdition	殒命	anger	0.562
taunt	嘲讽	anger	0.562
grouchy	过敏的	anger	0.562
torpedo	鱼雷	anger	0.562
deceived	被骗	anger	0.562
slander	诽谤	anger	0.562
retards	延缓	anger	0.562
bearish	看空	anger	0.562
invade	入侵	anger	0.562
bellows	风箱	anger	0.562
beast	兽	anger	0.562
frightful	可怕	anger	0.562
derogatory	贬	anger	0.562
glare	强光	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	可怕	anger	0.562
traitor	叛徒	anger	0.562
malign	诽谤	anger	0.562
wrangling	扯皮	anger	0.562
dissension	纠纷	anger	0.561
banshee	女妖	anger	0.561
shatter	打碎	anger	0.561
conflagration	燹	anger	0.561
jeopardize	危害	anger	0.561
thief	贼	anger	0.561
rave	狂欢	anger	0.561
grating	光栅	anger	0.561
devastating	破坏性的	anger	0.561
idiots	白痴	anger	0.561
betrayal	辜负	anger	0.561
uncontrollable	不可控	anger	0.561
fits	适合	anger	0.561
cross	交叉	anger	0.561
hurt	伤害	anger	0.561
disturbed	不安	anger	0.559
subjugation	征服	anger	0.559
stomped	跺着脚	anger	0.557
grab	抓	anger	0.557
ticked	勾选	anger	0.556
masochism	受虐狂	anger	0.556
grievance	不平	anger	0.556
defiance	蔑视	anger	0.552
blackmail	勒索	anger	0.550
offensive	进攻	anger	0.549
decry	诽谤	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	违反	anger	0.547
punishment	惩罚	anger	0.547
shrill	尖锐	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	暗面	anger	0.547
misery	苦难	anger	0.547
frustrates	挫败	anger	0.547
disgraceful	可耻	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	霸道	anger	0.547
disparity	差距	anger	0.547
confine	局限	anger	0.547
firearms	枪支	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	荒谬	anger	0.547
rebel	反叛	anger	0.547
deceive	欺骗	anger	0.547
stolen	被盗	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	加热	anger	0.545
ruined	毁了	anger	0.545
menace	威胁	anger	0.545
humiliate	羞辱	anger	0.545
tackle	滑车	anger	0.545
conspirator	同谋	anger	0.545
foul	犯规	anger	0.545
antagonist	对手	anger	0.545
resentful	不满	anger	0.545
prejudice	偏见	anger	0.545
adversary	对手	anger	0.545
argument	论据	anger	0.545
skirmish	前哨战	anger	0.545
callous	冷酷	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	纠缠	anger	0.544
robbery	抢劫	anger	0.544
sting	刺	anger	0.544
outcry	喊叫	anger	0.544
grumble	叽	anger	0.544
irreconcilable	不可调和	anger	0.543
resistance	抵抗性	anger	0.543
obstructive	阻碍	anger	0.542
dismay	沮丧	anger	0.540
mob	暴民	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	恶	anger	0.536
ridicule	嘲笑	anger	0.534
incendiary	放火的	anger	0.533
flares	喇叭裤	anger	0.532
degeneracy	简	anger	0.531
confinement	坐月子	anger	0.531
exacerbation	恶化	anger	0.531
prejudicial	偏见	anger	0.531
uprising	起义	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	鲁莽	anger	0.531
unbridled	恣意	anger	0.531
allegation	断言	anger	0.531
communism	共产主义	anger	0.531
whip	鞭子	anger	0.531
intruder	侵入者	anger	0.531
dispute	争议	anger	0.531
belittle	贬低	anger	0.531
bigoted	拘泥	anger	0.530
offender	犯罪分子	anger	0.530
hassle	争论	anger	0.530
dissonance	不和谐	anger	0.530
unjust	不公	anger	0.530
dictatorial	独裁的	anger	0.530
unjustifiable	无理	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	变态	anger	0.530
tackled	解决	anger	0.530
renegade	叛变	anger	0.529
hot	热	anger	0.529
prison	监狱	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	侵入	anger	0.529
suicide	自杀	anger	0.521
annoy	搅扰	anger	0.520
leavemealone	请别打扰我	anger	0.517
idiotic	痴	anger	0.516
distrust	怀疑	anger	0.516
depravity	腐败	anger	0.516
cretins	白痴	anger	0.516
divorce	离婚	anger	0.516
broil	烤	anger	0.516
grrr	哎呀	anger	0.516
venting	通风	anger	0.516
inimical	抵触的	anger	0.516
duress	胁迫	anger	0.516
disrespectful	不恭	anger	0.516
tortious	侵权	anger	0.516
criticize	批评	anger	0.516
prisoner	囚犯	anger	0.516
dishonest	不诚实	anger	0.516
treason	叛逆	anger	0.516
victimized	受害	anger	0.515
bile	胆汁	anger	0.515
unkind	刻薄	anger	0.515
unforgiving	无情	anger	0.515
unleash	发挥	anger	0.515
coercion	强迫	anger	0.515
scold	骂	anger	0.515
chaos	混沌	anger	0.515
grump	脾气坏	anger	0.515
roar	怒吼	anger	0.515
jerks	抽搐	anger	0.515
poaching	偷猎	anger	0.515
hangry	HANGRY	anger	0.515
pow	POW	anger	0.515
poachers	偷猎者	anger	0.515
argumentation	论证	anger	0.515
frustrating	泄气	anger	0.515
tussle	争论	anger	0.514
bane	诛戮	anger	0.511
accusation	指控	anger	0.510
repudiation	拒绝	anger	0.510
enmity	敌意	anger	0.510
banish	放逐	anger	0.509
disfigured	毁容	anger	0.508
storm	风暴	anger	0.507
shun	顺	anger	0.500
suppression	抑制	anger	0.500
unruly	不羁	anger	0.500
intractable	棘手	anger	0.500
ordeal	考验	anger	0.500
obstruct	阻碍	anger	0.500
derogation	减损	anger	0.500
fervor	热情	anger	0.500
foaming	发泡	anger	0.500
derision	愚弄	anger	0.500
animus	阿尼姆斯	anger	0.500
rejects	拒绝	anger	0.500
bout	回合	anger	0.500
spear	矛	anger	0.500
crazy	疯	anger	0.500
brazen	厚颜无耻	anger	0.500
antithesis	对立	anger	0.500
injustice	不公正	anger	0.500
banished	放逐	anger	0.500
confined	受限	anger	0.500
frenzied	丧心病狂	anger	0.500
dominate	支配	anger	0.500
disrupting	妨害	anger	0.500
hammering	锻造	anger	0.500
fear	恐惧	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	痛苦	anger	0.500
brunt	首当其冲	anger	0.500
possessed	拥有	anger	0.500
defy	违抗	anger	0.500
scoff	嘲笑	anger	0.500
patronising	光顾	anger	0.500
delusional	妄想	anger	0.500
malpractice	弊端	anger	0.500
reject	拒绝	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	韧性	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	疯狂	anger	0.491
sinful	有罪	anger	0.491
avarice	贪婪	anger	0.490
oppress	压迫	anger	0.490
disapproved	不赞成	anger	0.485
inhuman	不人道	anger	0.485
demand	需求	anger	0.485
abolish	废除	anger	0.485
anathema	诅咒	anger	0.485
fricking	fricking	anger	0.485
complaint	抱怨	anger	0.485
disservice	帮倒忙	anger	0.485
smuggler	走私者	anger	0.485
revoke	撤消	anger	0.485
infraction	侵害	anger	0.485
claw	爪	anger	0.485
dissident	持不同政见	anger	0.485
pervert	反常	anger	0.485
incest	乱伦	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	忤	anger	0.485
usurp	篡	anger	0.485
alienate	离间	anger	0.485
avenger	复仇者	anger	0.485
annoyed	懊恼	anger	0.485
cutting	切割	anger	0.485
disgrace	耻辱	anger	0.484
deceit	谎言	anger	0.484
suspicious	可疑	anger	0.484
thresh	脱粒	anger	0.484
sucker	吸盘	anger	0.484
strained	紧张	anger	0.484
blame	怪	anger	0.484
upheaval	动荡	anger	0.484
renounce	放弃	anger	0.484
obnoxious	厌恶	anger	0.484
restrain	抑制	anger	0.484
oust	逐出	anger	0.484
litigious	诉讼	anger	0.484
rivalry	对抗	anger	0.484
penalty	罚款	anger	0.484
imprisoned	囚禁	anger	0.484
mocking	嘲讽	anger	0.484
opposed	反对	anger	0.484
turbulence	动乱	anger	0.483
pound	磅	anger	0.481
coldness	寒冷	anger	0.477
ungrateful	忘恩负义	anger	0.472
battalion	营	anger	0.471
stoopid	stoopid	anger	0.471
hostage	人质	anger	0.470
infidel	异教徒	anger	0.470
ram	内存	anger	0.470
accuser	原告	anger	0.470
gall	瘿	anger	0.470
subversion	颠覆	anger	0.470
annoying	恼人的	anger	0.470
adversity	逆境	anger	0.470
dispossessed	一无所有	anger	0.470
friction	摩擦	anger	0.470
jealous	妒	anger	0.470
feudalism	封建	anger	0.470
armament	武器	anger	0.470
thump	扑通	anger	0.469
complain	抱怨	anger	0.469
incite	煽动	anger	0.469
steal	偷	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	违	anger	0.469
injury	伤	anger	0.469
simmer	煨	anger	0.469
distress	苦难	anger	0.469
insanity	疯狂	anger	0.469
selfish	自私	anger	0.469
huff	愤怒	anger	0.469
selfishness	自私	anger	0.469
backoff	退避	anger	0.469
plunder	掠夺	anger	0.469
stifled	堵	anger	0.469
subversive	颠覆	anger	0.469
exile	流亡	anger	0.469
offense	罪行	anger	0.469
objection	异议	anger	0.469
recidivism	累犯	anger	0.469
smother	扼杀	anger	0.469
perpetrator	肇事者	anger	0.469
dislike	反感	anger	0.469
disruption	瓦解	anger	0.469
intolerance	不耐症	anger	0.469
opposition	反对	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	杯	anger	0.467
agony	痛苦	anger	0.465
arrogant	傲慢	anger	0.461
sux	SUX	anger	0.456
vent	发泄	anger	0.456
elimination	消除	anger	0.456
picketing	纠察	anger	0.456
haughty	傲慢	anger	0.456
troublesome	麻烦	anger	0.455
clamor	叫嚣	anger	0.455
busted	破获	anger	0.455
constraint	约束	anger	0.455
crabby	倔	anger	0.455
veto	否决	anger	0.455
stubbed	存根	anger	0.455
mislead	误导	anger	0.455
illicit	非法的	anger	0.455
dying	垂死	anger	0.455
grated	磨碎	anger	0.455
idiocy	白痴	anger	0.455
illegality	违法	anger	0.455
flagrant	明目张胆	anger	0.455
impermeable	不透水	anger	0.455
bad	坏	anger	0.453
despotism	独裁	anger	0.453
usurped	篡夺	anger	0.453
godless	无神	anger	0.453
disagreeing	不同意	anger	0.453
intense	激烈	anger	0.453
struggle	斗争	anger	0.453
suppress	压制	anger	0.453
disapproving	不赞成	anger	0.453
desist	断念	anger	0.453
bayonet	刺刀	anger	0.453
displeased	不快	anger	0.453
hysterical	歇斯底里	anger	0.453
unlawful	非法的	anger	0.451
