word	Shona-sn	emotion	emotion-intensity-score
brawl	kurwisana	anger	0.861
assault	kurwisa	anger	0.859
malicious	tsvina	anger	0.859
strangle	strangle	anger	0.859
tirade	tirade	anger	0.859
explode	kuputika	anger	0.859
assassination	kuurayiwa	anger	0.859
hostility	utsinye	anger	0.859
loathsome	loathsome	anger	0.857
hell	gehena	anger	0.853
murderous	kuuraya	anger	0.853
attack	kurwisa	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ugandanga	anger	0.851
beating	kurova	anger	0.849
desecration	kudzvinyirira	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	kutsamwa	anger	0.848
stab	stab	anger	0.844
slaughter	kuurawa	anger	0.844
violent	chisimba	anger	0.844
destroying	kuparadza	anger	0.844
abomination	zvinonyangadza	anger	0.844
tumultuous	kuvhiringidzika	anger	0.844
irate	kutsamwa	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	kubvisa	anger	0.843
belligerent	gakava	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	kuvenga	anger	0.838
hostilities	utsinye	anger	0.837
prick	prick	anger	0.835
torture	kutambudzwa	anger	0.833
rabid	rabid	anger	0.833
horrid	kushata	anger	0.833
rampage	rampage	anger	0.833
cruelty	utsinye	anger	0.833
hate	kuvenga	anger	0.828
demonic	dhimoni	anger	0.828
hating	kuvenga	anger	0.828
satanic	satani	anger	0.828
tyrannical	tyrannical	anger	0.828
ragemode	ragemode	anger	0.828
despicable	kuzvidza	anger	0.828
ruinous	zvinoparadza	anger	0.825
condemn	rinoshora	anger	0.825
riots	mhirizhonga	anger	0.824
demolish	kuparadza	anger	0.824
angry	kutsamwa	anger	0.824
extermination	kuparadzwa	anger	0.824
dickhead	dickhead	anger	0.824
livid	zvakajeka	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	dambudziko	anger	0.818
threaten	kutya	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	magandanga	anger	0.818
abhor	kuvenga	anger	0.816
savage	savage	anger	0.814
atrocity	atrocity	anger	0.814
carnage	kuuraya	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	kushungurudza	anger	0.812
tyrant	tyrant	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	kugumbuka	anger	0.812
vendetta	vendetta	anger	0.812
fierce	anotyisa	anger	0.812
destroyer	muparadzi	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaric	anger	0.812
anger	hasha	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	kurwisana	anger	0.803
punched	punched	anger	0.803
bitch	bitch	anger	0.803
punching	punching	anger	0.803
homicide	kuuraya	anger	0.803
destructive	kuparadza	anger	0.797
ruthless	utsinye	anger	0.797
villainous	inopisa	anger	0.797
slap	slap	anger	0.791
slaughterhouse	slaughterhouse	anger	0.788
punishing	kuranga	anger	0.788
destroyed	kuparadzwa	anger	0.788
retaliatory	kutsiva	anger	0.788
riot	riot	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	kuuraya	anger	0.783
clash	kupesana	anger	0.783
bloody	ropa	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	detonation	anger	0.781
quarrel	kukakavara	anger	0.781
sinister	mutadzi	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	kupomera	anger	0.779
treacherous	vanonyengera	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	dzoserera	anger	0.773
revulsion	revulsion	anger	0.773
madder	madder	anger	0.773
horrific	zvinotyisa	anger	0.773
scorn	kusekwa	anger	0.769
deplorable	zvinorwadza	anger	0.766
bomb	bhomba	anger	0.766
anarchist	anarchist	anger	0.765
devastation	kuparadzwa	anger	0.765
resent	kutsamwa	anger	0.765
firestorm	moto	anger	0.765
contemptible	kunyangadza	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	utsinye	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	kufa	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	kuputika	anger	0.757
snarl	shingaira	anger	0.754
profane	tsvina	anger	0.750
offend	zvinogumbura	anger	0.750
douchebags	douchebags	anger	0.750
growling	growling	anger	0.750
stfu	stfu	anger	0.750
vulgarity	kuora	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	kuzvidza	anger	0.750
horror	kutya	anger	0.750
aggravating	kuwedzera	anger	0.750
revolting	revolting	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	kutya	anger	0.742
erupt	ruka	anger	0.742
screaming	kudanidzira	anger	0.742
violence	chisimba	anger	0.742
horrible	zvinotyisa	anger	0.742
molestation	kushungurudzwa	anger	0.742
bastards	bastards	anger	0.741
revenge	kutsiva	anger	0.738
catastrophe	catastrophe	anger	0.735
menacing	menacing	anger	0.735
demon	dhimoni	anger	0.735
crushing	crushing	anger	0.735
damn	damn	anger	0.735
persecute	vanotambudza	anger	0.734
argue	kupopotedzana	anger	0.734
flog	flog	anger	0.734
revolt	kumukira	anger	0.734
thrash	thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	warfare	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehement	anger	0.734
riotous	riotous	anger	0.734
altercation	kushanduka	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	kusvibiswa	anger	0.721
strike	tsanga	anger	0.721
disaster	njodzi	anger	0.721
disastrous	njodzi	anger	0.720
tumult	mhirizhonga	anger	0.719
madden	madden	anger	0.719
devil	dhimoni	anger	0.719
scream	kuchema	anger	0.719
brutal	utsinye	anger	0.719
treachery	kunyengera	anger	0.719
scorching	kupisa	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	mabhiza	anger	0.719
aggravates	inowedzera	anger	0.719
spiteful	kupenga	anger	0.719
slay	slay	anger	0.719
disdain	kuzvidza	anger	0.719
choke	choke	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	kumiswa	anger	0.714
criminal	mhosva	anger	0.714
denunciation	kutsamwa	anger	0.713
punch	punch	anger	0.713
crucifixion	kurovererwa	anger	0.712
virulence	hukama	anger	0.712
battled	kurwisana	anger	0.712
fatal	fatal	anger	0.712
holocaust	chibayiro	anger	0.712
blasphemous	anonyomba	anger	0.712
hurting	kuvhiringidza	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atrocious	anger	0.706
evil	zvakaipa	anger	0.706
irritated	akatsamwa	anger	0.706
assassin	muurayi	anger	0.703
dicks	dicks	anger	0.703
persecution	kutambudzwa	anger	0.703
slayer	muurayi	anger	0.703
kidnap	kidnap	anger	0.703
scolding	kupopota	anger	0.703
intimidation	kutyisidzirwa	anger	0.703
aggravated	yakawedzera	anger	0.703
aggression	utsinye	anger	0.702
armed	akazvigadzirira	anger	0.700
poison	chepfu	anger	0.697
snarling	kushamwaridzana	anger	0.697
venom	uturu	anger	0.697
battle	hondo	anger	0.697
disgruntled	kunyadziswa	anger	0.693
insidious	insidious	anger	0.691
assailant	kurwisa	anger	0.691
resentment	hasha	anger	0.691
lynch	lynch	anger	0.690
contemptuous	kunyengera	anger	0.690
temper	kutsamwa	anger	0.688
imprisonment	kuiswa mujeri	anger	0.688
disparage	kuzvidza	anger	0.688
bully	bully	anger	0.688
terrible	anotyisa	anger	0.688
lunatic	lunatic	anger	0.688
curse	kutukwa	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	kutonga	anger	0.688
mad	madzimu	anger	0.688
infanticide	infanticide	anger	0.688
volatility	kukanganisa	anger	0.687
eradication	kuparadzwa	anger	0.685
tantrum	kunetseka	anger	0.682
devastate	kuparadza	anger	0.682
eradicate	kuparadza	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	kurwisa	anger	0.680
agitation	kushungurudzika	anger	0.680
dictatorship	kudzvinyirira	anger	0.676
irritates	inotsamwisa	anger	0.676
profanity	tsvina	anger	0.673
egregious	zvinoshamisa	anger	0.672
expletive	expletive	anger	0.672
nasty	nasty	anger	0.672
shove	shove	anger	0.672
shot	kupfura	anger	0.672
harmful	zvinokuvadza	anger	0.672
aggravation	aggravation	anger	0.672
contempt	kunyadziswa	anger	0.672
poisonous	chepfuous	anger	0.672
dastardly	dastardly	anger	0.672
shoot	kupfura	anger	0.672
corrupting	kuodza	anger	0.672
condemnation	kupiwa mhosva	anger	0.672
wreak	wreak	anger	0.672
crushed	kupwanyika	anger	0.672
cruelly	utsinye	anger	0.672
crime	utsotsi	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	eruption	anger	0.667
odious	odious	anger	0.667
shooting	kupfura	anger	0.667
kick	kick kick	anger	0.667
aggressive	utsinye	anger	0.667
combat	kurwisana	anger	0.667
shout	shout	anger	0.667
hit	hit	anger	0.667
fight	kurwisa	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	muvengi	anger	0.667
irritable	zvinogumbura	anger	0.667
punished	kurangwa	anger	0.662
ambush	ambush	anger	0.661
yell	yell	anger	0.661
harass	kushungurudza	anger	0.659
malignant	zvakaipa	anger	0.656
aggressor	aggressor	anger	0.656
antichrist	antichrist	anger	0.656
gore	Gore	anger	0.656
incense	rusenzi	anger	0.656
expel	tsvaga	anger	0.656
destruction	kuparadzwa	anger	0.656
grudge	kugomera	anger	0.656
cranky	cranky	anger	0.653
offended	akakanganiswa	anger	0.652
spank	spank	anger	0.652
growl	growl	anger	0.652
insurrection	insurrection	anger	0.652
reprisal	kuzvidza	anger	0.652
slave	muranda	anger	0.652
denounce	tsiura	anger	0.652
animosity	kuvenga	anger	0.652
insulting	kunyomba	anger	0.652
clashing	clashing	anger	0.652
growls	growls	anger	0.649
executioner	executioner	anger	0.644
twat	twat	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	kunyadzisa	anger	0.641
bombard	bhomba	anger	0.641
spat	spat	anger	0.641
havoc	kuparadza	anger	0.641
feud	kunyengera	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	tsiura	anger	0.641
expulsion	kudzingwa	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	akapomerwa	anger	0.641
indignant	angry	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ronda	anger	0.636
suicidal	kuzviuraya	anger	0.636
poisoned	chepfu	anger	0.636
batter	batter	anger	0.636
kicking	kicking	anger	0.636
hanging	hanging	anger	0.636
spanking	spanking	anger	0.636
disgusting	zvinonyangadza	anger	0.636
combatant	murwi	anger	0.636
frustrated	kuora mwoyo	anger	0.636
anarchy	hutsinye	anger	0.636
glaring	glaring	anger	0.636
inflict	zvinokonzera	anger	0.633
wrecked	wrecked	anger	0.633
grievous	zvinosuruvarisa	anger	0.632
prosecute	kupomera	anger	0.630
agitated	agitated	anger	0.630
cheat	cheat	anger	0.630
swastika	swastika	anger	0.627
defamatory	defamatory	anger	0.625
suffocation	kutsamwa	anger	0.625
strife	kukakavara	anger	0.625
provocation	kutsamwa	anger	0.625
injure	kukuvadza	anger	0.625
harassing	kushungurudza	anger	0.625
scourge	denda	anger	0.625
cursing	kutuka	anger	0.625
betray	betha	anger	0.625
indict	kunyatsopomerwa	anger	0.625
raid	raid	anger	0.625
thundering	kutinhira	anger	0.625
enslaved	varanda	anger	0.625
arsehole	arsehole	anger	0.624
insane	kupenga	anger	0.621
fiend	fiend	anger	0.621
irritate	zvinogumbura	anger	0.621
convict	anopomera	anger	0.621
jerk	jerk	anger	0.621
theft	kuba	anger	0.621
retaliation	kutsiva	anger	0.621
deprivation	kurasa	anger	0.621
cussed	cussed	anger	0.619
turmoil	kukakavara	anger	0.618
smack	smack	anger	0.615
retribution	retribution	anger	0.614
twats	twats	anger	0.609
intolerable	kusingagumiki	anger	0.609
rebellion	kupandukira	anger	0.609
injurious	zvinokuvadza	anger	0.609
oppressor	vadzvinyiriri	anger	0.609
slavery	varanda	anger	0.609
irritability	kutsamwa	anger	0.609
collision	kupesana	anger	0.609
bitterly	zvinorwadza	anger	0.609
gang	chikwata	anger	0.609
antagonism	kupesana	anger	0.609
battery	bateri	anger	0.609
adverse	zvakaipa	anger	0.609
disgraced	kunyadziswa	anger	0.608
irritating	inogumbura	anger	0.606
revolution	revolution	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	kubhomba	anger	0.606
blast	blast	anger	0.606
irks	irks	anger	0.606
sickening	sickening	anger	0.606
discrimination	kusarura	anger	0.606
antagonistic	zvinopesana	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole	anger	0.606
frustrate	kuora mwoyo	anger	0.604
manipulation	kunyengera	anger	0.603
tension	kukakavara	anger	0.603
insult	kuseka	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	zvinokuvadza	anger	0.603
oppression	kudzvinyirirwa	anger	0.603
disgust	kunyangadza	anger	0.602
spite	spite	anger	0.600
intrusive	intrusive	anger	0.598
harshness	utsinye	anger	0.597
slur	slur	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	kupinda	anger	0.594
puncture	puncture	anger	0.594
miserable	miserable	anger	0.594
assail	assail	anger	0.594
storming	storming	anger	0.594
casualty	kuurayiwa	anger	0.594
bitterness	hasha	anger	0.594
morbidity	morbidity	anger	0.594
tempest	dutu remhepo	anger	0.594
consternation	consternation	anger	0.592
depraved	zvinonyangadza	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	ane mhosva	anger	0.591
immoral	unzenza	anger	0.591
forcibly	kukanganisa	anger	0.591
overpowering	kukunda	anger	0.591
accursed	rakatukwa	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	muvengi	anger	0.588
scare	kutyisa	anger	0.588
screwed	screwed	anger	0.588
indignation	hasha	anger	0.587
jealousy	godo	anger	0.587
vexed	kunetseka	anger	0.586
confront	kurwisa	anger	0.582
brute	brute	anger	0.581
throttle	pfugama	anger	0.579
wreck	wreck	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	unobhowa	anger	0.578
damage	kukanganisa	anger	0.578
butcher	butcher	anger	0.578
conflict	kukakavara	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	upombwe	anger	0.578
bickering	kukakavara	anger	0.578
pillage	kupamba	anger	0.578
blaze	kupisa	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	coup	anger	0.578
contentious	kukakavara	anger	0.578
incarceration	kuiswa mujeri	anger	0.578
defiant	kusvibisa	anger	0.578
provoking	kukanganisa	anger	0.578
lash	lash	anger	0.578
cancer	kenza	anger	0.577
frustration	kuora mwoyo	anger	0.576
gory	gory	anger	0.576
alienation	kuparadzana	anger	0.576
discord	kupesana	anger	0.576
disturbance	kushungurudza	anger	0.576
grope	kupembera	anger	0.576
condescension	condescension	anger	0.576
pernicious	pernicious	anger	0.576
blasphemy	kunyomba	anger	0.576
discriminate	vanosarudza	anger	0.576
chaotic	chaotic	anger	0.576
gun	pfuti	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	kudzvinyirira	anger	0.574
death	rufu	anger	0.574
jab	jab	anger	0.574
cursed	kutukwa	anger	0.574
scandalous	kunyadzisa	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	shit	anger	0.573
disparaging	kunyadzisa	anger	0.571
slash	slash	anger	0.571
unfair	kusaruramisira	anger	0.571
gallows	gallows	anger	0.570
escalate	kuwedzera	anger	0.569
intolerant	kusagutsikana	anger	0.564
lawlessness	kusateerera mutemo	anger	0.563
bluddy	bluddy	anger	0.562
perdition	kuparadzwa	anger	0.562
taunt	kuseka	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	kunyengerwa	anger	0.562
slander	kuchera	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	inopinda	anger	0.562
bellows	dumbu	anger	0.562
beast	chikara	anger	0.562
frightful	inotyisa	anger	0.562
derogatory	kuzvidza	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	anotyisa	anger	0.562
traitor	mutengesi	anger	0.562
malign	kunyomba	anger	0.562
wrangling	wrangling	anger	0.562
dissension	kupesana	anger	0.561
banshee	banshee	anger	0.561
shatter	shatter	anger	0.561
conflagration	kupisa	anger	0.561
jeopardize	kuisa pangozi	anger	0.561
thief	mbavha	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	kuparadza	anger	0.561
idiots	idiots	anger	0.561
betrayal	kutengesa	anger	0.561
uncontrollable	kusadzora	anger	0.561
fits	fits	anger	0.561
cross	muchinjikwa	anger	0.561
hurt	zvinokuvadza	anger	0.561
disturbed	kunetseka	anger	0.559
subjugation	kuzviisa pasi	anger	0.559
stomped	stomped	anger	0.557
grab	tora	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	kunyunyuta	anger	0.556
defiance	kuzvidza	anger	0.552
blackmail	kushata	anger	0.550
offensive	zvinogumbura	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	kuputsa	anger	0.547
punishment	kurangwa	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	divi rakasviba	anger	0.547
misery	nhamo	anger	0.547
frustrates	zvinokanganisa	anger	0.547
disgraceful	zvinonyadzisa	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	kudzvinyirira	anger	0.547
disparity	kusawirirana	anger	0.547
confine	confine	anger	0.547
firearms	mabhururu	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	rebel	anger	0.547
deceive	kunyengera	anger	0.547
stolen	kuba	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	hasha	anger	0.545
ruined	zvakaparadzwa	anger	0.545
menace	dambudziko	anger	0.545
humiliate	kunyadzisa	anger	0.545
tackle	tackle	anger	0.545
conspirator	conspirator	anger	0.545
foul	zvakaipa	anger	0.545
antagonist	mushori	anger	0.545
resentful	kutsamwa	anger	0.545
prejudice	kusarura	anger	0.545
adversary	muvengi	anger	0.545
argument	kukakavara	anger	0.545
skirmish	skirmish	anger	0.545
callous	inotyisa	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	chinopinda	anger	0.544
robbery	kupamba	anger	0.544
sting	sting	anger	0.544
outcry	kurira	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	kusagadzikana	anger	0.543
resistance	kushorwa	anger	0.543
obstructive	kuvhiringidzika	anger	0.542
dismay	dismay	anger	0.540
mob	mhomho	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	uipi	anger	0.536
ridicule	kuseka	anger	0.534
incendiary	incendiary	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	kuvharirwa	anger	0.531
exacerbation	kuwedzera	anger	0.531
prejudicial	kusarura	anger	0.531
uprising	kumukira	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	reckless	anger	0.531
unbridled	asina kukodzera	anger	0.531
allegation	mhaka	anger	0.531
communism	communism	anger	0.531
whip	whip	anger	0.531
intruder	intruder	anger	0.531
dispute	kukakavara	anger	0.531
belittle	belittle	anger	0.531
bigoted	bigoted	anger	0.530
offender	anokanganisa	anger	0.530
hassle	hassle	anger	0.530
dissonance	dissonance	anger	0.530
unjust	kusaruramisira	anger	0.530
dictatorial	kudzvinyirira	anger	0.530
unjustifiable	zvisina kukodzera	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	kupotsa	anger	0.530
tackled	tackled	anger	0.530
renegade	renegade	anger	0.529
hot	hot	anger	0.529
prison	jeri	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	kudarika	anger	0.529
suicide	kuzviuraya	anger	0.521
annoy	kuvhiringidza	anger	0.520
leavemealone	ndisiye ndega	anger	0.517
idiotic	idiotic	anger	0.516
distrust	kusavimba	anger	0.516
depravity	kuora	anger	0.516
cretins	cretins	anger	0.516
divorce	kurambana	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	inimical	anger	0.516
duress	kunetseka	anger	0.516
disrespectful	kusaremekedza	anger	0.516
tortious	zvinotambudza	anger	0.516
criticize	vanotsoropodza	anger	0.516
prisoner	musungwa	anger	0.516
dishonest	kusatendeseka	anger	0.516
treason	kupandukira	anger	0.516
victimized	vanotambudzwa	anger	0.515
bile	bile	anger	0.515
unkind	unkind	anger	0.515
unforgiving	kusakanganwira	anger	0.515
unleash	unleash	anger	0.515
coercion	kumanikidza	anger	0.515
scold	fungidzira	anger	0.515
chaos	chaos	anger	0.515
grump	grump	anger	0.515
roar	bopha	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	vaparidzi	anger	0.515
argumentation	kukakavara	anger	0.515
frustrating	zvinokanganisa	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	mhosva	anger	0.510
repudiation	kuramba	anger	0.510
enmity	kuvenga	anger	0.510
banish	banish	anger	0.509
disfigured	isina kusimba	anger	0.508
storm	dutu	anger	0.507
shun	shun	anger	0.500
suppression	kuderedza	anger	0.500
unruly	asingateereri	anger	0.500
intractable	zvisingaiti	anger	0.500
ordeal	njodzi	anger	0.500
obstruct	zvinodzivisa	anger	0.500
derogation	kuzvidza	anger	0.500
fervor	fervor	anger	0.500
foaming	kupupuma	anger	0.500
derision	kuseka	anger	0.500
animus	animus	anger	0.500
rejects	rinoramba	anger	0.500
bout	bout	anger	0.500
spear	pfumo	anger	0.500
crazy	crazy	anger	0.500
brazen	bhuru	anger	0.500
antithesis	kushandiswa	anger	0.500
injustice	kusaruramisira	anger	0.500
banished	banished	anger	0.500
confined	akavharirwa	anger	0.500
frenzied	frenzied	anger	0.500
dominate	dominate	anger	0.500
disrupting	kuvhiringidza	anger	0.500
hammering	hammering	anger	0.500
fear	kutya	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	kurwadziwa	anger	0.500
brunt	brunt	anger	0.500
possessed	vane nhaka	anger	0.500
defy	defy	anger	0.500
scoff	kuseka	anger	0.500
patronising	patronizing	anger	0.500
delusional	delusional	anger	0.500
malpractice	kusaruramisira	anger	0.500
reject	rega	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	kuoma	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	upenzi	anger	0.491
sinful	chivi	anger	0.491
avarice	avarice	anger	0.490
oppress	kudzvinyirira	anger	0.490
disapproved	asingabvumirwi	anger	0.485
inhuman	inhuman	anger	0.485
demand	zvinoda	anger	0.485
abolish	kubvisa	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	kunyunyuta	anger	0.485
disservice	disservice	anger	0.485
smuggler	smuggler	anger	0.485
revoke	dzosa	anger	0.485
infraction	mhosva	anger	0.485
claw	claw	anger	0.485
dissident	kuramba	anger	0.485
pervert	kupotsa	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	vasingateereri	anger	0.485
usurp	usurp	anger	0.485
alienate	alienate	anger	0.485
avenger	mutsivi	anger	0.485
annoyed	akagumbura	anger	0.485
cutting	kudonha	anger	0.485
disgrace	kunyadziswa	anger	0.484
deceit	kunyengera	anger	0.484
suspicious	kunyunyuta	anger	0.484
thresh	thresh	anger	0.484
sucker	sucker	anger	0.484
strained	kushungurudzika	anger	0.484
blame	mhosva	anger	0.484
upheaval	upheaval	anger	0.484
renounce	renounce	anger	0.484
obnoxious	obnoxious	anger	0.484
restrain	kudzivisa	anger	0.484
oust	oust	anger	0.484
litigious	chinotyisa	anger	0.484
rivalry	rivalry	anger	0.484
penalty	penalty	anger	0.484
imprisoned	ari mujeri	anger	0.484
mocking	kuseka	anger	0.484
opposed	zvinopesana	anger	0.484
turbulence	kushungurudzika	anger	0.483
pound	pound	anger	0.481
coldness	coldness	anger	0.477
ungrateful	vasingatendi	anger	0.472
battalion	battalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	hostage	anger	0.470
infidel	infidel	anger	0.470
ram	gondohwe	anger	0.470
accuser	mupomera	anger	0.470
gall	nduru	anger	0.470
subversion	kupesana	anger	0.470
annoying	zvinoshungurudza	anger	0.470
adversity	dambudziko	anger	0.470
dispossessed	inodzingwa	anger	0.470
friction	kukakavara	anger	0.470
jealous	godo	anger	0.470
feudalism	hunyengeri	anger	0.470
armament	zvombo	anger	0.470
thump	thump	anger	0.469
complain	kunyunyuta	anger	0.469
incite	kurudzira	anger	0.469
steal	kuba	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	kusateerera	anger	0.469
