word	Bulgarian-bg	emotion	emotion-intensity-score
irritated	раздразнен	anger	0.706
assassin	наемен убиец	anger	0.703
dicks	пишки	anger	0.703
persecution	преследване	anger	0.703
slayer	убиец	anger	0.703
kidnap	отвличам	anger	0.703
scolding	мъмрене	anger	0.703
intimidation	сплашване	anger	0.703
aggravated	утежнени	anger	0.703
aggression	агресия	anger	0.702
armed	въоръжен	anger	0.700
poison	отрова	anger	0.697
snarling	ръмжащ	anger	0.697
venom	отрова	anger	0.697
battle	битка	anger	0.697
disgruntled	недоволен	anger	0.693
insidious	коварен	anger	0.691
assailant	нападател	anger	0.691
resentment	възмущение	anger	0.691
lynch	линчуване	anger	0.690
contemptuous	презрителен	anger	0.690
temper	нрав	anger	0.688
imprisonment	затваряне	anger	0.688
disparage	омаловажавам	anger	0.688
bully	побойник	anger	0.688
terrible	ужасен	anger	0.688
lunatic	лунатик	anger	0.688
curse	проклятие	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	раздразнен	anger	0.688
domination	господство	anger	0.688
mad	луд	anger	0.688
infanticide	детеубиец	anger	0.688
volatility	летливост	anger	0.687
eradication	изкореняване	anger	0.685
tantrum	гневно избухване	anger	0.682
devastate	опропастявам	anger	0.682
eradicate	изкорени	anger	0.682
scoundrel	мошеник	anger	0.682
aggressively	агресивно	anger	0.680
agitation	възбуда	anger	0.680
dictatorship	диктатура	anger	0.676
irritates	възпалява	anger	0.676
profanity	ругатни	anger	0.673
egregious	нечуван	anger	0.672
expletive	ругатня	anger	0.672
nasty	гаден	anger	0.672
shove	тласък	anger	0.672
shot	изстрел	anger	0.672
harmful	вреден	anger	0.672
aggravation	влошаване	anger	0.672
contempt	презрение	anger	0.672
poisonous	отровен	anger	0.672
dastardly	подъл	anger	0.672
shoot	стрелям	anger	0.672
corrupting	корумпиране	anger	0.672
condemnation	осъждане	anger	0.672
wreak	отмъщавам	anger	0.672
crushed	смачкан	anger	0.672
cruelly	ужасно	anger	0.672
crime	престъпление	anger	0.672
maniac	маниак	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	изригване	anger	0.667
odious	омразен	anger	0.667
shooting	стрелба	anger	0.667
kick	удар	anger	0.667
aggressive	агресивен	anger	0.667
combat	битка	anger	0.667
shout	вик	anger	0.667
hit	удар	anger	0.667
fight	битка	anger	0.667
cutthroat	убийствен	anger	0.667
enemy	враг	anger	0.667
irritable	раздразнителен	anger	0.667
punished	наказани	anger	0.662
ambush	засада	anger	0.661
yell	крещя	anger	0.661
harass	тормозя	anger	0.659
malignant	злокачествен	anger	0.656
aggressor	агресор	anger	0.656
antichrist	антихрист	anger	0.656
gore	кръв	anger	0.656
incense	тамян	anger	0.656
expel	експулсира	anger	0.656
destruction	унищожаване	anger	0.656
grudge	злоба	anger	0.656
cranky	ексцентричен	anger	0.653
offended	оскърбен	anger	0.652
spank	потупвам	anger	0.652
growl	ръмжене	anger	0.652
insurrection	въстание	anger	0.652
reprisal	репресивна мярка	anger	0.652
slave	роб	anger	0.652
denounce	денонсира	anger	0.652
animosity	враждебност	anger	0.652
insulting	обиждащ	anger	0.652
clashing	сблъсква	anger	0.652
growls	ревове	anger	0.649
executioner	палач	anger	0.644
twat	путка	anger	0.644
doomsday	страшният съд	anger	0.643
daemon	демон	anger	0.641
obscenity	сквернословие	anger	0.641
bombard	бомбардирам	anger	0.641
spat	скарване	anger	0.641
havoc	поразия	anger	0.641
feud	феод	anger	0.641
grr	GRR	anger	0.641
arson	палеж	anger	0.641
reprimand	порицание	anger	0.641
expulsion	изгонване	anger	0.641
inexcusable	непростим	anger	0.641
accused	обвинен	anger	0.641
indignant	възмутен	anger	0.641
shackle	скоба	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	рана	anger	0.636
suicidal	самоубийствен	anger	0.636
poisoned	отровен	anger	0.636
batter	тесто за палачинки	anger	0.636
kicking	рита	anger	0.636
hanging	обесване	anger	0.636
spanking	поразителен	anger	0.636
disgusting	отвратителен	anger	0.636
combatant	боец	anger	0.636
frustrated	разочарован	anger	0.636
anarchy	анархия	anger	0.636
glaring	ярък	anger	0.636
inflict	причинявам	anger	0.633
wrecked	разбиха	anger	0.633
grievous	тежък	anger	0.632
prosecute	преследване	anger	0.630
agitated	развълнуван	anger	0.630
cheat	изневерявам	anger	0.630
swastika	свастика	anger	0.627
defamatory	клеветнически	anger	0.625
suffocation	задушаване	anger	0.625
strife	съперничество	anger	0.625
provocation	провокация	anger	0.625
injure	нараняват	anger	0.625
harassing	тормозещ	anger	0.625
scourge	напаст	anger	0.625
cursing	ругатни	anger	0.625
betray	издавам	anger	0.625
indict	подсказвам	anger	0.625
raid	нападение	anger	0.625
thundering	яростен	anger	0.625
enslaved	поробен	anger	0.625
arsehole	задника	anger	0.624
insane	безумен	anger	0.621
fiend	демон	anger	0.621
irritate	дразня	anger	0.621
convict	затворник	anger	0.621
jerk	идиот	anger	0.621
theft	кражба	anger	0.621
retaliation	отмъщение	anger	0.621
deprivation	лишаване	anger	0.621
cussed	инат	anger	0.619
turmoil	смут	anger	0.618
smack	пляскам	anger	0.615
retribution	възмездие	anger	0.614
twats	Twats	anger	0.609
intolerable	нетърпим	anger	0.609
rebellion	бунт	anger	0.609
injurious	вреден	anger	0.609
oppressor	потисник	anger	0.609
slavery	робство	anger	0.609
irritability	раздразнителност	anger	0.609
collision	стълкновение	anger	0.609
bitterly	горчиво	anger	0.609
gang	банда	anger	0.609
antagonism	антагонизъм	anger	0.609
battery	батерия	anger	0.609
adverse	вреден	anger	0.609
disgraced	посрамен	anger	0.608
irritating	дразнещ	anger	0.606
revolution	революция	anger	0.606
thug	гангстер	anger	0.606
diatribe	филипика	anger	0.606
bombardment	бомбардиране	anger	0.606
blast	взрив	anger	0.606
irks	дразни	anger	0.606
sickening	отвратителен	anger	0.606
discrimination	дискриминация	anger	0.606
antagonistic	антагонистичен	anger	0.606
ranting	празнодумство	anger	0.606
asshole	задник	anger	0.606
frustrate	осуетявам	anger	0.604
manipulation	манипулация	anger	0.603
tension	напрежение	anger	0.603
insult	обида	anger	0.603
bigot	фанатик	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	болезнена	anger	0.603
oppression	потисничество	anger	0.603
disgust	отвращение	anger	0.602
spite	злоба	anger	0.600
intrusive	натрапчив	anger	0.598
harshness	грубост	anger	0.597
slur	обида	anger	0.596
wretch	нещастник	anger	0.594
inferno	ад	anger	0.594
invasion	инвазия	anger	0.594
puncture	пункция	anger	0.594
miserable	жалък	anger	0.594
assail	обсипвам	anger	0.594
storming	щурмуването	anger	0.594
casualty	жертва	anger	0.594
bitterness	горчивина	anger	0.594
morbidity	заболеваемост	anger	0.594
tempest	силна буря	anger	0.594
consternation	смайване	anger	0.592
depraved	покварен	anger	0.591
raving	не на себе си	anger	0.591
guillotine	гилотина	anger	0.591
guilty	виновен	anger	0.591
immoral	неморален	anger	0.591
forcibly	насилствено	anger	0.591
overpowering	непреодолим	anger	0.591
accursed	проклет	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	своеволен	anger	0.588
invader	нашественик	anger	0.588
scare	плаша	anger	0.588
screwed	завинтва	anger	0.588
indignation	възмущение	anger	0.587
jealousy	ревност	anger	0.587
vexed	измъчваше	anger	0.586
confront	изправи срещу	anger	0.582
brute	звяр	anger	0.581
throttle	дросел	anger	0.579
wreck	развалина	anger	0.578
revolver	револвер	anger	0.578
slut	уличница	anger	0.578
yousuck	не струваш	anger	0.578
damage	щета	anger	0.578
butcher	касапин	anger	0.578
conflict	конфликт	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	престъпност	anger	0.578
bickering	караници	anger	0.578
pillage	грабеж	anger	0.578
blaze	пламък	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	преврат	anger	0.578
contentious	спорен	anger	0.578
incarceration	хвърляне в затвора	anger	0.578
defiant	предизвикателен	anger	0.578
provoking	предизвикателен	anger	0.578
lash	мигла	anger	0.578
cancer	рак	anger	0.577
frustration	чувство на неудовлетвореност	anger	0.576
gory	кървав	anger	0.576
alienation	отчуждение	anger	0.576
discord	раздор	anger	0.576
disturbance	смущение	anger	0.576
grope	опипвам	anger	0.576
condescension	снизхождение	anger	0.576
pernicious	гибелен	anger	0.576
blasphemy	богохулство	anger	0.576
discriminate	дискриминира	anger	0.576
chaotic	хаотичен	anger	0.576
gun	пистолет	anger	0.576
standoff	равен резултат	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	подигравка	anger	0.574
lunacy	лудост	anger	0.574
oppressive	потиснически	anger	0.574
death	смърт	anger	0.574
jab	пробождане	anger	0.574
cursed	прокълнат	anger	0.574
scandalous	скандален	anger	0.574
monstrosity	чудовище	anger	0.574
shit	лайна	anger	0.573
disparaging	пренебрежителен	anger	0.571
slash	разсичам	anger	0.571
unfair	несправедлива	anger	0.571
gallows	бесилка	anger	0.570
escalate	ескалира	anger	0.569
intolerant	нетолерантен	anger	0.564
lawlessness	беззаконие	anger	0.563
bluddy	bluddy	anger	0.562
perdition	гибел	anger	0.562
taunt	присмех	anger	0.562
grouchy	нацупен	anger	0.562
torpedo	торпедо	anger	0.562
deceived	измамени	anger	0.562
slander	клевета	anger	0.562
retards	забавя	anger	0.562
bearish	мечешки	anger	0.562
invade	нахлувам	anger	0.562
bellows	духало	anger	0.562
beast	звяр	anger	0.562
frightful	страшен	anger	0.562
derogatory	пренебрежителен	anger	0.562
glare	ослепителен блясък	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	страшен	anger	0.562
traitor	предател	anger	0.562
malign	зъл	anger	0.562
wrangling	препирни	anger	0.562
dissension	раздор	anger	0.561
banshee	банши	anger	0.561
shatter	разбивам	anger	0.561
conflagration	пожар	anger	0.561
jeopardize	застраши	anger	0.561
thief	крадец	anger	0.561
rave	рейв	anger	0.561
grating	решетка	anger	0.561
devastating	опустошителен	anger	0.561
idiots	идиоти	anger	0.561
betrayal	предателство	anger	0.561
uncontrollable	неудържим	anger	0.561
fits	универсален	anger	0.561
cross	кръст	anger	0.561
hurt	боли	anger	0.561
disturbed	обезпокоен	anger	0.559
subjugation	подчиняване	anger	0.559
stomped	тропна	anger	0.557
grab	заграбване	anger	0.557
ticked	маркирали	anger	0.556
masochism	мазохизъм	anger	0.556
grievance	недоволство	anger	0.556
defiance	явно пренебрежение	anger	0.552
blackmail	изнудване	anger	0.550
offensive	офанзива	anger	0.549
decry	омаловажавам	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	нарушение	anger	0.547
punishment	наказание	anger	0.547
shrill	писклив	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	тъмна страна	anger	0.547
misery	мизерия	anger	0.547
frustrates	осуетява	anger	0.547
disgraceful	позорен	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	арогантен	anger	0.547
disparity	несъответствие	anger	0.547
confine	ограничи	anger	0.547
firearms	огнестрелни оръжия	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	абсурден	anger	0.547
rebel	бунтовник	anger	0.547
deceive	мами	anger	0.547
stolen	откраднат	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	чекиджия	anger	0.545
heated	разгорещен	anger	0.545
ruined	порутен	anger	0.545
menace	заплаха	anger	0.545
humiliate	унижавам	anger	0.545
tackle	справи	anger	0.545
conspirator	конспиратор	anger	0.545
foul	мръсен	anger	0.545
antagonist	антагонист	anger	0.545
resentful	възмутен	anger	0.545
prejudice	Предразсъдък	anger	0.545
adversary	противник	anger	0.545
argument	аргумент	anger	0.545
skirmish	схватка	anger	0.545
callous	закоравял	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	впримчен	anger	0.544
robbery	обир	anger	0.544
sting	ужилване	anger	0.544
outcry	врява	anger	0.544
grumble	мърморя	anger	0.544
irreconcilable	непримирим	anger	0.543
resistance	съпротивление	anger	0.543
obstructive	обструктивен	anger	0.542
dismay	тревога	anger	0.540
mob	тълпа	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	лошотия	anger	0.536
ridicule	присмех	anger	0.534
incendiary	запалителен	anger	0.533
flares	сигнални ракети	anger	0.532
degeneracy	упадък	anger	0.531
confinement	затвор	anger	0.531
exacerbation	изостряне	anger	0.531
prejudicial	в ущърб	anger	0.531
uprising	въстание	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	безразсъден	anger	0.531
unbridled	необуздан	anger	0.531
allegation	твърдение	anger	0.531
communism	комунизма	anger	0.531
whip	камшик	anger	0.531
intruder	нарушител	anger	0.531
dispute	спор	anger	0.531
belittle	омаловажавам	anger	0.531
bigoted	фанатичен	anger	0.530
offender	нарушител	anger	0.530
hassle	караница	anger	0.530
dissonance	дисонанс	anger	0.530
unjust	несправедлив	anger	0.530
dictatorial	диктаторски	anger	0.530
unjustifiable	неоправдан	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	извращение	anger	0.530
tackled	подходи	anger	0.530
renegade	ренегат	anger	0.529
hot	горещ	anger	0.529
prison	затвор	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	прегрешение	anger	0.529
suicide	самоубийство	anger	0.521
annoy	дразня	anger	0.520
leavemealone	остави ме на мира	anger	0.517
idiotic	идиотски	anger	0.516
distrust	недоверие	anger	0.516
depravity	поквара	anger	0.516
cretins	кретени	anger	0.516
divorce	развод	anger	0.516
broil	печено месо на скара	anger	0.516
grrr	Неприятна	anger	0.516
venting	обезвъздушаване	anger	0.516
inimical	враждебен	anger	0.516
duress	принуда	anger	0.516
disrespectful	непочтителен	anger	0.516
tortious	закононарушителен	anger	0.516
criticize	критикувам	anger	0.516
prisoner	затворник	anger	0.516
dishonest	нечестен	anger	0.516
treason	измяна	anger	0.516
victimized	жертва	anger	0.515
bile	жлъчка	anger	0.515
unkind	нелюбезен	anger	0.515
unforgiving	непримирим	anger	0.515
unleash	отприщи	anger	0.515
coercion	принуда	anger	0.515
scold	гълча	anger	0.515
chaos	хаос	anger	0.515
grump	сърдитко	anger	0.515
roar	рев	anger	0.515
jerks	смотаняци	anger	0.515
poaching	бракониерство	anger	0.515
hangry	hangry	anger	0.515
pow	Pow	anger	0.515
poachers	бракониери	anger	0.515
argumentation	аргументация	anger	0.515
frustrating	разочароващ	anger	0.515
tussle	стълкновение	anger	0.514
bane	отрова	anger	0.511
accusation	обвинение	anger	0.510
repudiation	отричане	anger	0.510
enmity	враждебност	anger	0.510
banish	пропъждам	anger	0.509
disfigured	обезобразен	anger	0.508
storm	буря	anger	0.507
shun	отбягвам	anger	0.500
suppression	потискане	anger	0.500
unruly	непокорен	anger	0.500
intractable	неподатлив	anger	0.500
ordeal	изпитание	anger	0.500
obstruct	възпрепятства	anger	0.500
derogation	дерогация	anger	0.500
fervor	плам	anger	0.500
foaming	образуването на пяна	anger	0.500
derision	присмех	anger	0.500
animus	предубеждение	anger	0.500
rejects	отхвърля	anger	0.500
bout	пристъп	anger	0.500
spear	копие	anger	0.500
crazy	луд	anger	0.500
brazen	бронзов	anger	0.500
antithesis	антитеза	anger	0.500
injustice	несправедливост	anger	0.500
banished	заточен	anger	0.500
confined	ограничен	anger	0.500
frenzied	неистов	anger	0.500
dominate	упражнявам контрол	anger	0.500
disrupting	разрушаваща	anger	0.500
hammering	чукане	anger	0.500
fear	страх	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	мъчение	anger	0.500
brunt	Брънт	anger	0.500
possessed	притежаваше	anger	0.500
defy	предизвиквам	anger	0.500
scoff	лапам	anger	0.500
patronising	покровителствен	anger	0.500
delusional	налудно	anger	0.500
malpractice	лекарска небрежност	anger	0.500
reject	отхвърляне	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	издръжливост	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	лудост	anger	0.491
sinful	грешен	anger	0.491
avarice	алчност	anger	0.490
oppress	потискам	anger	0.490
disapproved	неодобрение	anger	0.485
inhuman	нечовешки	anger	0.485
demand	търсене	anger	0.485
abolish	премахване	anger	0.485
anathema	анатема	anger	0.485
fricking	fricking	anger	0.485
complaint	оплакване	anger	0.485
disservice	лоша услуга	anger	0.485
smuggler	контрабандист	anger	0.485
revoke	оттегли	anger	0.485
infraction	нарушение	anger	0.485
claw	нокът	anger	0.485
dissident	дисидент	anger	0.485
pervert	вероотстъпник	anger	0.485
incest	кръвосмешение	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	непокорен	anger	0.485
usurp	узурпира	anger	0.485
alienate	отчужди	anger	0.485
avenger	отмъстител	anger	0.485
annoyed	раздразнен	anger	0.485
cutting	рязане	anger	0.485
disgrace	позор	anger	0.484
deceit	измама	anger	0.484
suspicious	подозрителен	anger	0.484
thresh	бия	anger	0.484
sucker	издънка	anger	0.484
strained	пресилен	anger	0.484
blame	вина	anger	0.484
upheaval	катаклизъм	anger	0.484
renounce	отхвърлям	anger	0.484
obnoxious	противен	anger	0.484
restrain	въздържам	anger	0.484
oust	изкарвам	anger	0.484
litigious	спорен	anger	0.484
rivalry	съперничество	anger	0.484
penalty	наказание	anger	0.484
imprisoned	хвърлен в затвора	anger	0.484
mocking	подигравателен	anger	0.484
opposed	за разлика	anger	0.484
turbulence	турбулентност	anger	0.483
pound	паунд	anger	0.481
coldness	студенина	anger	0.477
ungrateful	неблагодарен	anger	0.472
battalion	батальон	anger	0.471
stoopid	stoopid	anger	0.471
hostage	заложник	anger	0.470
infidel	невярващ	anger	0.470
ram	овен	anger	0.470
accuser	обвинител	anger	0.470
gall	жлъчка	anger	0.470
subversion	подривна дейност	anger	0.470
annoying	досаден	anger	0.470
adversity	бедствие	anger	0.470
dispossessed	изгонил	anger	0.470
friction	триене	anger	0.470
jealous	ревнив	anger	0.470
feudalism	феодализъм	anger	0.470
armament	въоръжаване	anger	0.470
thump	туп	anger	0.469
complain	оплакват	anger	0.469
incite	подкокоросвам	anger	0.469
steal	кражба	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	подчини	anger	0.469
injury	нараняване	anger	0.469
simmer	едва се сдържам	anger	0.469
distress	беда	anger	0.469
insanity	лудост	anger	0.469
selfish	егоистичен	anger	0.469
huff	обиждам	anger	0.469
selfishness	себелюбие	anger	0.469
backoff	отстъпи	anger	0.469
plunder	грабеж	anger	0.469
stifled	задушен	anger	0.469
subversive	подривен	anger	0.469
exile	изгнание	anger	0.469
offense	нарушение	anger	0.469
objection	възражение	anger	0.469
recidivism	рецидивизъм	anger	0.469
smother	сдържам	anger	0.469
perpetrator	извършител	anger	0.469
dislike	неприязън	anger	0.469
disruption	разрушение	anger	0.469
intolerance	нетолерантност	anger	0.469
opposition	опозиция	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	халба	anger	0.467
agony	агония	anger	0.465
arrogant	арогантен	anger	0.461
sux	sux	anger	0.456
vent	отдушник	anger	0.456
elimination	отстраняване	anger	0.456
