word	Yiddish-yi	emotion	emotion-intensity-score
tumultuous	טומאַלטשואַס	anger	0.844
irate	ירייט	anger	0.844
infuriate	ינפיוריייט	anger	0.844
obliterate	אָפּשליסן	anger	0.843
belligerent	belligerent	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	דוירעסדיק	anger	0.838
hostilities	hostilities	anger	0.837
prick	שטאָך	anger	0.835
torture	פּייַניקונג	anger	0.833
rabid	ראַביד	anger	0.833
horrid	horrid	anger	0.833
rampage	ראַמפּאַגע	anger	0.833
cruelty	cruelty	anger	0.833
hate	האַס	anger	0.828
demonic	דעמאָניק	anger	0.828
hating	hating	anger	0.828
satanic	סאַטאַניק	anger	0.828
tyrannical	טיראַנניק	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	despicable	anger	0.828
ruinous	ruinous	anger	0.825
condemn	condemn	anger	0.825
riots	רייץ	anger	0.824
demolish	דימאַליש	anger	0.824
angry	angry	anger	0.824
extermination	יקסטערמאַניישאַן	anger	0.824
dickhead	dickhead	anger	0.824
livid	לעבעדיק	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	פיינטקייט	anger	0.818
venomous	גיפט	anger	0.818
threaten	אָנשטעקן	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	טעראָריסט	anger	0.818
abhor	פאַרטראָגן	anger	0.816
savage	ווילד	anger	0.814
atrocity	אַסטראָלאָגיע	anger	0.814
carnage	carnage	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	זידלען	anger	0.812
tyrant	טיראַנט	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	האַרט	anger	0.812
destroyer	צעשטערן	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	פומינג	anger	0.812
barbaric	באַרבאַריק	anger	0.812
anger	קאַס	anger	0.811
pieceofshit	שטעמפּלשיפּ	anger	0.810
slam	slam	anger	0.803
fights	פייץ	anger	0.803
punched	פּאַנטשט	anger	0.803
bitch	bitch	anger	0.803
punching	פּאַנטשינג	anger	0.803
homicide	מאָרד	anger	0.803
destructive	דעסטרוקטיווע	anger	0.797
ruthless	גרויזאַם	anger	0.797
villainous	villainous	anger	0.797
slap	slap	anger	0.791
slaughterhouse	שחיטה	anger	0.788
punishing	פּאַנישינג	anger	0.788
destroyed	צעשטערן	anger	0.788
retaliatory	ריטאַליאַטאָרי	anger	0.788
riot	טויט	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	יעלינג	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	מאַנסלאווער	anger	0.783
clash	קלאַש	anger	0.783
bloody	בלאַדי	anger	0.781
hellish	hellish	anger	0.781
loath	לויז	anger	0.781
detonation	דעטאַניישאַן	anger	0.781
quarrel	קריגעריי	anger	0.781
sinister	זינדיקער	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	אַקיוזינג	anger	0.779
treacherous	טרעטשעראַס	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ריטאַליייט	anger	0.773
revulsion	רעוואַלוששאַן	anger	0.773
madder	madder	anger	0.773
horrific	כאָריפיק	anger	0.773
scorn	scorn	anger	0.769
deplorable	דעפּלאָראַבאַל	anger	0.766
bomb	באָמבע	anger	0.766
anarchist	anarchist	anger	0.765
devastation	דעוואַסטיישאַן	anger	0.765
resent	פאַריבל האָבן	anger	0.765
firestorm	פאָרעסטאָרם	anger	0.765
contemptible	פאַרכאַלעשט	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	cruel	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	דעדלי	anger	0.758
smash	צעברעכן	anger	0.758
rant	rant	anger	0.758
outburst	אָוטבורסט	anger	0.757
snarl	סנאַרל	anger	0.754
profane	profane	anger	0.750
offend	באַפרייַען	anger	0.750
douchebags	douchebags	anger	0.750
growling	גראָוינג	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarity	anger	0.750
dontmesswithme	דאָנטמעססוויטהמע	anger	0.750
crazed	crazed	anger	0.750
despise	פאַרוויילונג	anger	0.750
horror	גרויל	anger	0.750
aggravating	aggravating	anger	0.750
revolting	רעוואָלטינג	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	סאַקאָנע	anger	0.742
erupt	ויסברעכן	anger	0.742
screaming	סקרימינג	anger	0.742
violence	גוואַלד	anger	0.742
horrible	שרעקלעך	anger	0.742
molestation	מאַלעסטיישאַן	anger	0.742
bastards	באַסטאַרדס	anger	0.741
revenge	נעקאָמע	anger	0.738
catastrophe	קאַטאַסטראָפע	anger	0.735
menacing	מענאַסינג	anger	0.735
demon	דעמאָן	anger	0.735
crushing	קראַשינג	anger	0.735
damn	פאַרשילטן	anger	0.735
persecute	רודפן	anger	0.734
argue	טייַנען	anger	0.734
flog	פלאָו	anger	0.734
revolt	ופשטאַנד	anger	0.734
thrash	thrash	anger	0.734
deplore	דעפרעסירן	anger	0.734
warfare	מלחמה	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehement	anger	0.734
riotous	riotous	anger	0.734
altercation	אַלטערנקייט	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	מוטיני	anger	0.727
castrate	castrate	anger	0.727
sabotage	סאַבאָטאַזש	anger	0.727
malevolent	מאַלפאָלאַנט	anger	0.721
strike	strike	anger	0.721
disaster	ומגליק	anger	0.721
disastrous	disastrous	anger	0.720
tumult	טומל	anger	0.719
madden	מאַדדען	anger	0.719
devil	טייַוול	anger	0.719
scream	שרייַען	anger	0.719
brutal	ברוטאַל	anger	0.719
treachery	treachery	anger	0.719
scorching	סקאָרטשינג	anger	0.719
vermin	vermin	anger	0.719
arseholes	אַרסעהאָלעס	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	ספּיטעפול	anger	0.719
slay	טייטן	anger	0.719
disdain	דיסדיין	anger	0.719
choke	דערשטיקן	anger	0.719
bastarding	bastarding	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	אַנאַרכיזאַם	anger	0.714
mutilation	מוטילאַטיאָן	anger	0.714
criminal	פאַרברעכער	anger	0.714
denunciation	דינאַסטי	anger	0.713
punch	זעץ	anger	0.713
crucifixion	קרוסיפיקשאַן	anger	0.712
virulence	ווירולענסע	anger	0.712
battled	battled	anger	0.712
fatal	פאַטאַל	anger	0.712
holocaust	בראַזיליאַן	anger	0.712
blasphemous	בלאַספאַמאַס	anger	0.712
hurting	כעדינג	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	כייַע	anger	0.706
evil	בייז	anger	0.706
irritated	יריטיישאַן	anger	0.706
assassin	מערדער	anger	0.703
dicks	דיקס	anger	0.703
persecution	פֿאַרפֿאָלגונג	anger	0.703
slayer	סלייַער	anger	0.703
kidnap	קידנאַפּ	anger	0.703
scolding	scolding	anger	0.703
intimidation	ינטימידיישאַן	anger	0.703
aggravated	aggravated	anger	0.703
aggression	אַגרעסיוו	anger	0.702
armed	אַרמד	anger	0.700
poison	גיפט	anger	0.697
snarling	סנאַרלינג	anger	0.697
venom	גיפט	anger	0.697
battle	שלאַכט	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	ינסידיאַס	anger	0.691
assailant	אַסילאַנט	anger	0.691
resentment	פאַרדראָס	anger	0.691
lynch	lynch	anger	0.690
contemptuous	דערמאנט	anger	0.690
temper	טעמפּערעראַלי	anger	0.688
imprisonment	טפיסע	anger	0.688
disparage	דיספּאַראַגע	anger	0.688
bully	bully	anger	0.688
terrible	שרעקלעך	anger	0.688
lunatic	לונאַטיש	anger	0.688
curse	קללה	anger	0.688
makesmemad	מאכטמעמאַד	anger	0.688
peeved	peeved	anger	0.688
domination	געוועלטיקונג	anger	0.688
mad	מעשוגע	anger	0.688
infanticide	infanticide	anger	0.688
volatility	וואַלאַטילאַטי	anger	0.687
eradication	eradication	anger	0.685
tantrum	טאַנק	anger	0.682
devastate	דעוואַסטייט	anger	0.682
eradicate	יראַדאַקייט	anger	0.682
scoundrel	סקונדרעל	anger	0.682
aggressively	aggressively	anger	0.680
agitation	agitation	anger	0.680
dictatorship	דיקטאַטאָרשיפּ	anger	0.676
irritates	יריטרייץ	anger	0.676
profanity	גראָבקייַט	anger	0.673
egregious	עגרעגיאָוס	anger	0.672
expletive	עקספּלעטיוו	anger	0.672
nasty	nasty	anger	0.672
shove	shove	anger	0.672
shot	shot	anger	0.672
harmful	שעדלעך	anger	0.672
aggravation	אַגראַוויישאַן	anger	0.672
contempt	בעכעסקעם	anger	0.672
poisonous	סאַמיק	anger	0.672
dastardly	דאַסטאַרדלי	anger	0.672
shoot	דרייען	anger	0.672
corrupting	פאַרדאָרבן	anger	0.672
condemnation	condemnation	anger	0.672
wreak	ווראַק	anger	0.672
crushed	קראַשט	anger	0.672
cruelly	cruelly	anger	0.672
crime	crime	anger	0.672
maniac	מאַניאַק	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ויסבראָך	anger	0.667
odious	odious	anger	0.667
shooting	שיסערייַ	anger	0.667
kick	בריק	anger	0.667
aggressive	אַגרעסיוו	anger	0.667
combat	קאַמבאַט	anger	0.667
shout	שרייַען	anger	0.667
hit	hit	anger	0.667
fight	קאַמף	anger	0.667
cutthroat	קוטטהראָט	anger	0.667
enemy	פייַנט	anger	0.667
irritable	יראַטאַבאַל	anger	0.667
punished	באשטראפט	anger	0.662
ambush	אַמבוש	anger	0.661
yell	יעלל	anger	0.661
harass	כערייז	anger	0.659
malignant	malignant	anger	0.656
aggressor	אַגרעסער	anger	0.656
antichrist	אַנטיטשריסט	anger	0.656
gore	גאָר	anger	0.656
incense	קטורת	anger	0.656
expel	אַרויסטרייַבן	anger	0.656
destruction	צעשטערונג	anger	0.656
grudge	grudge	anger	0.656
cranky	מאנכע	anger	0.653
offended	באליידיקטער	anger	0.652
spank	שפּיצל	anger	0.652
growl	וואַקסן	anger	0.652
insurrection	ינסוררעקטיאָן	anger	0.652
reprisal	רעפּריזאַל	anger	0.652
slave	קנעכט	anger	0.652
denounce	פאַרשילטן	anger	0.652
animosity	אַנימאָסיטי	anger	0.652
insulting	ינסאַלטינג	anger	0.652
clashing	קלאַשינג	anger	0.652
growls	וואַקסן	anger	0.649
executioner	עקסעקוטיאָנער	anger	0.644
twat	twat	anger	0.644
doomsday	דאָאָמסדייַ	anger	0.643
daemon	daemon	anger	0.641
obscenity	obscenity	anger	0.641
bombard	באַמבאַרד	anger	0.641
spat	spat	anger	0.641
havoc	כאַוואַק	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	וניווערסאַל	anger	0.641
reprimand	רעפּרימאַנד	anger	0.641
expulsion	יקספּאַלשאַן	anger	0.641
inexcusable	יניקסקאַבאַל	anger	0.641
accused	אָנגעקלאָגט	anger	0.641
indignant	ופגעבראַכט	anger	0.641
shackle	שאַקאַל	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ווונד	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	פּויזאַנד	anger	0.636
batter	טייג	anger	0.636
kicking	קיקינג	anger	0.636
hanging	כאַנגגינג	anger	0.636
spanking	ספּאַנקינג	anger	0.636
disgusting	עקלדיק	anger	0.636
combatant	קאָמבאַטאַנט	anger	0.636
frustrated	פראַסטרייטאַד	anger	0.636
anarchy	אַנאַרכיע	anger	0.636
glaring	glaring	anger	0.636
inflict	פאַרשאַפן	anger	0.633
wrecked	ריבעד	anger	0.633
grievous	שווער	anger	0.632
prosecute	פּראָסעקוטע	anger	0.630
agitated	agitated	anger	0.630
cheat	אָפּנאַרן	anger	0.630
swastika	סוואַסטיקאַ	anger	0.627
defamatory	דיפאַמאַטאָרי	anger	0.625
suffocation	סאַפאַקיישאַן	anger	0.625
strife	קריג	anger	0.625
provocation	פּראָוואָקאַציע	anger	0.625
injure	שעדיקן	anger	0.625
harassing	אַבזאָרבינג	anger	0.625
scourge	פּלאָג	anger	0.625
cursing	קללה	anger	0.625
betray	אַרויסגעבן	anger	0.625
indict	אָנווייַזן	anger	0.625
raid	raid	anger	0.625
thundering	טאַנדערינג	anger	0.625
enslaved	ענסלייווד	anger	0.625
arsehole	אַרסעהאָלע	anger	0.624
insane	מעשוגע	anger	0.621
fiend	fiend	anger	0.621
irritate	רייצן	anger	0.621
convict	אַריינלייגן	anger	0.621
jerk	שנוק	anger	0.621
theft	גנייווע	anger	0.621
retaliation	ריטאַלייישאַן	anger	0.621
deprivation	דעפּראַוויישאַן	anger	0.621
cussed	cussed	anger	0.619
turmoil	רייזע	anger	0.618
smack	סמאַק	anger	0.615
retribution	נאָטיץ	anger	0.614
twats	טוואַץ	anger	0.609
intolerable	ינטאָלעראַבלע	anger	0.609
rebellion	מרידה	anger	0.609
injurious	שאָדן	anger	0.609
oppressor	ינסרעסס	anger	0.609
slavery	קנעכטשאפט	anger	0.609
irritability	יריטאַבילאַטי	anger	0.609
collision	צונויפשטויס	anger	0.609
bitterly	ביטער	anger	0.609
gang	gang	anger	0.609
antagonism	אַנטאַגאַניזאַם	anger	0.609
battery	באַטאַרייע	anger	0.609
adverse	אַדווערס	anger	0.609
disgraced	disgraced	anger	0.608
irritating	יריטיישאַן	anger	0.606
revolution	רעוואָלוציע	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	באָמבאַרדמענט	anger	0.606
blast	בלאַסט	anger	0.606
irks	ירקס	anger	0.606
sickening	sickening	anger	0.606
discrimination	דיסקרימינאציע	anger	0.606
antagonistic	אַנטאַגאָניש	anger	0.606
ranting	ראַנטינג	anger	0.606
asshole	asshole	anger	0.606
frustrate	frustrate	anger	0.604
manipulation	מאַניפּיאַליישאַן	anger	0.603
tension	שפּאַנונג	anger	0.603
insult	פאַרצווייפלט	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	שעדלעך	anger	0.603
oppression	דריקונג	anger	0.603
disgust	עקל	anger	0.602
spite	spite	anger	0.600
intrusive	ינטרוסיוו	anger	0.598
harshness	האַרשנעסס	anger	0.597
slur	slur	anger	0.596
wretch	וואָגן	anger	0.594
inferno	גענעם	anger	0.594
invasion	ינוואַזיע	anger	0.594
puncture	פּונקטורע	anger	0.594
miserable	צאָרעדיק	anger	0.594
assail	assail	anger	0.594
storming	סטאָרמינג	anger	0.594
casualty	גלייַכגילטיק	anger	0.594
bitterness	פארביטערונג	anger	0.594
morbidity	מאָרבידיטי	anger	0.594
tempest	tempest	anger	0.594
consternation	קאָנסטערניישאַן	anger	0.592
depraved	פאַרדאָרבן	anger	0.591
raving	ראַווינג	anger	0.591
guillotine	גויללאָטינע	anger	0.591
guilty	שולדיק	anger	0.591
immoral	וממאָראַליש	anger	0.591
forcibly	פאָרסאַבלי	anger	0.591
overpowering	אָוווערפּאַורינג	anger	0.591
accursed	געהיילט	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	ריקאַלסיטראַנט	anger	0.588
invader	ינוויידער	anger	0.588
scare	יבערשרעקן	anger	0.588
screwed	סקרוד	anger	0.588
indignation	צאָרעס	anger	0.587
jealousy	קנאה	anger	0.587
vexed	וועקסעד	anger	0.586
confront	קאָנפראָנטאַנט	anger	0.582
brute	ברוט	anger	0.581
throttle	throttle	anger	0.579
wreck	בראָך	anger	0.578
revolver	רעוואָלווער	anger	0.578
slut	slut	anger	0.578
yousuck	דו ביסט נישט גוט	anger	0.578
damage	שאדן	anger	0.578
butcher	קאַצעוו	anger	0.578
conflict	קאָנפליקט	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	קרימינאַלאַטי	anger	0.578
bickering	bickering	anger	0.578
pillage	pillage	anger	0.578
blaze	בלייז	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	קו	anger	0.578
contentious	פרום	anger	0.578
incarceration	incarceration	anger	0.578
defiant	דעפיאַנט	anger	0.578
provoking	פּראַוואָוקינג	anger	0.578
lash	לאַש	anger	0.578
cancer	ראַק	anger	0.577
frustration	פראַסטריישאַן	anger	0.576
gory	gory	anger	0.576
alienation	ייליאַניישאַן	anger	0.576
discord	דיסקאָרד	anger	0.576
disturbance	שטערונג	anger	0.576
grope	גראַפּ	anger	0.576
condescension	condescension	anger	0.576
pernicious	שעדלעך	anger	0.576
blasphemy	בלאַספאַמי	anger	0.576
discriminate	דיסקרימאַנייט	anger	0.576
chaotic	chaotic	anger	0.576
gun	ביקס	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	שניי	anger	0.574
lunacy	לונאַסי	anger	0.574
oppressive	אַפּרעסטיוו	anger	0.574
death	טויט	anger	0.574
jab	דזשאַב	anger	0.574
cursed	געשאלטן	anger	0.574
scandalous	סקאַנדאַליעז	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	shit	anger	0.573
disparaging	דיספּערידזשינג	anger	0.571
slash	צעהאַקן	anger	0.571
unfair	ומיוישערדיק	anger	0.571
gallows	גאַלאָוז	anger	0.570
escalate	עסקאַלייט	anger	0.569
intolerant	intolerant	anger	0.564
lawlessness	לאָלאַסנאַס	anger	0.563
bluddy	בלאַדי	anger	0.562
perdition	פארדארבונג	anger	0.562
taunt	טייטל	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	טאָרפּעדע	anger	0.562
deceived	פארפירט	anger	0.562
slander	רעכילעס	anger	0.562
retards	ריטאַרדיז	anger	0.562
bearish	בערזע טראַדינג קאָנקלוסיאָן: bearish	anger	0.562
invade	באַפאַלן	anger	0.562
bellows	בעלז	anger	0.562
beast	beast	anger	0.562
frightful	פרייטפאַל	anger	0.562
derogatory	derogatory	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	שרעקלעך	anger	0.562
traitor	פאַררעטער	anger	0.562
malign	malign	anger	0.562
wrangling	wrangling	anger	0.562
dissension	דיסריסענסע	anger	0.561
banshee	banshee	anger	0.561
shatter	צעשמעטערן	anger	0.561
conflagration	קאָנפליקט	anger	0.561
jeopardize	jeopardize	anger	0.561
thief	גנב	anger	0.561
rave	גוואַלדעווען	anger	0.561
grating	גרייטינג	anger	0.561
devastating	דעוואַסטייטינג	anger	0.561
idiots	ידיאָץ	anger	0.561
betrayal	ביטול	anger	0.561
uncontrollable	ונקאָנטראָללאַבלע	anger	0.561
fits	פיץ	anger	0.561
cross	cross	anger	0.561
hurt	שאַטן	anger	0.561
disturbed	אויפגערודערט	anger	0.559
subjugation	סובדזשוגאַטיאָן	anger	0.559
stomped	סטאַמפּיד	anger	0.557
grab	כאַפּן	anger	0.557
ticked	ticked	anger	0.556
masochism	masochism	anger	0.556
grievance	גלייב	anger	0.556
defiance	צרה	anger	0.552
blackmail	blackmail	anger	0.550
offensive	אַפענסיוו	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	הילעל	anger	0.547
punishment	שטראָף	anger	0.547
shrill	שרעק	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	טונקעלע זייט	anger	0.547
misery	misery	anger	0.547
frustrates	פראַסטרייץ	anger	0.547
disgraceful	דיסגראַסעד	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	overbearing	anger	0.547
disparity	דיספּעראַטי	anger	0.547
confine	באַגרענעצן	anger	0.547
firearms	firearms	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	בונטאַר	anger	0.547
deceive	אָפּנאַרן	anger	0.547
stolen	סטאָלען	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	וואַנדערער	anger	0.545
heated	heated	anger	0.545
ruined	צעשטערן	anger	0.545
menace	מענאַס	anger	0.545
humiliate	humiliate	anger	0.545
tackle	מאַך	anger	0.545
conspirator	קאָנספּיראַטאָר	anger	0.545
foul	פאָול	anger	0.545
antagonist	אַנטאַגנאַסט	anger	0.545
resentful	רעסענטפאַל	anger	0.545
prejudice	פאַרמעסט	anger	0.545
adversary	קעגנער	anger	0.545
argument	argument	anger	0.545
skirmish	צונויפשטויס	anger	0.545
callous	קאַליע	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	entangled	anger	0.544
robbery	גנייווע	anger	0.544
sting	sting	anger	0.544
outcry	outcry	anger	0.544
grumble	באָדן	anger	0.544
irreconcilable	ירעקאַנסאַמאַבאַל	anger	0.543
resistance	קעגנשטעל	anger	0.543
obstructive	obstructive	anger	0.542
dismay	דיסייבאַל	anger	0.540
mob	האַמוין	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	badness	anger	0.536
ridicule	ridicule	anger	0.534
incendiary	ינסענדיערי	anger	0.533
flares	פלאַרעס	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	קאַנפיינמאַנט	anger	0.531
exacerbation	יגזאַסערמאַנט	anger	0.531
prejudicial	פּרידיקאַל	anger	0.531
uprising	uprising	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	ניט באַטראַכט	anger	0.531
unbridled	unbridled	anger	0.531
allegation	אַלאַגיישאַן	anger	0.531
communism	קאָמוניזם	anger	0.531
whip	פראָפּ	anger	0.531
intruder	ינטרודערז	anger	0.531
dispute	דיספּיוט	anger	0.531
belittle	יבעריק	anger	0.531
bigoted	bigoted	anger	0.530
offender	טויט	anger	0.530
hassle	מאַזל	anger	0.530
dissonance	dissonance	anger	0.530
unjust	אומגערעכט	anger	0.530
dictatorial	דיקטאַטאָריאַל	anger	0.530
unjustifiable	אומגערעכט	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversion	anger	0.530
tackled	טאַקאַלד	anger	0.530
renegade	רענעגאַדע	anger	0.529
hot	הייס	anger	0.529
prison	טורמע	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	trespass	anger	0.529
suicide	זעלבסטמאָרד	anger	0.521
annoy	באדערן	anger	0.520
leavemealone	leavemealone	anger	0.517
idiotic	ידיאָדיק	anger	0.516
distrust	דיסטראַסט	anger	0.516
depravity	דיפּראַוואַטי	anger	0.516
cretins	קרעטינס	anger	0.516
divorce	div	anger	0.516
broil	ברעכן	anger	0.516
grrr	grrr	anger	0.516
venting	ווענטינג	anger	0.516
inimical	ינימיקאַל	anger	0.516
duress	duress	anger	0.516
disrespectful	דיסריספּעקטפאַל	anger	0.516
tortious	tortious	anger	0.516
criticize	קריטיקירן	anger	0.516
prisoner	אַרעסטאַנט	anger	0.516
dishonest	dishonest	anger	0.516
treason	טריזאַן	anger	0.516
victimized	וויקיפעדיע	anger	0.515
bile	ביל	anger	0.515
unkind	ונקינד	anger	0.515
unforgiving	אַנפערגייווינג	anger	0.515
unleash	ונלעאַש	anger	0.515
coercion	קאָמערסיאָן	anger	0.515
scold	scold	anger	0.515
chaos	כאַאָס	anger	0.515
grump	grump	anger	0.515
roar	ברום	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	פּאַו	anger	0.515
poachers	פּאָוטשערז	anger	0.515
argumentation	argumentation	anger	0.515
frustrating	פראַסטרייטינג	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	אַקיוזיישאַן	anger	0.510
repudiation	ריפּיודייישאַן	anger	0.510
enmity	ענמאַטי	anger	0.510
banish	פאַרטיידיקן	anger	0.509
disfigured	דיספיגיערד	anger	0.508
storm	שטורעם	anger	0.507
shun	shun	anger	0.500
suppression	סאַפּרעשאַן	anger	0.500
unruly	אַנרולי	anger	0.500
intractable	ינטראַקטאַבאַל	anger	0.500
ordeal	ordeal	anger	0.500
obstruct	שטערן	anger	0.500
derogation	derogation	anger	0.500
fervor	ברעכן	anger	0.500
foaming	פאָומינג	anger	0.500
derision	derision	anger	0.500
animus	animus	anger	0.500
rejects	אָפּלייקענונג	anger	0.500
bout	bout	anger	0.500
spear	spear	anger	0.500
crazy	משוגע	anger	0.500
brazen	כאַזער	anger	0.500
antithesis	אַנטיטעסיס	anger	0.500
injustice	אומרעכט	anger	0.500
banished	banished	anger	0.500
confined	confined	anger	0.500
frenzied	frenzied	anger	0.500
dominate	dominate	anger	0.500
disrupting	דיסראַפּטינג	anger	0.500
hammering	כאַמערינג	anger	0.500
fear	מורא	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	פרידלעך	anger	0.500
brunt	בראַנט	anger	0.500
