word	Zulu-zu	emotion	emotion-intensity-score
ragemode	NO TRANSLATION	anger	0.828
despicable	edelelekile	anger	0.828
ruinous	owonakalisayo	anger	0.825
condemn	ukulahla	anger	0.825
riots	izimpikiswano	anger	0.824
demolish	ukubhubhisa	anger	0.824
angry	uthukuthele	anger	0.824
extermination	ukubhujiswa	anger	0.824
dickhead	i-dickhead	anger	0.824
livid	ngokucacile	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	u-ferocity	anger	0.818
venomous	ibuhlungu	anger	0.818
threaten	usongela	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	amaphekula	anger	0.818
abhor	nyansi	anger	0.816
savage	inhlanhla	anger	0.814
atrocity	inrocity	anger	0.814
carnage	ukubulala	anger	0.814
berserk	i-berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ukuhlukunyezwa	anger	0.812
tyrant	umashiqela	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	uthukuthele	anger	0.812
vendetta	i-vendetta	anger	0.812
fierce	enesabekayo	anger	0.812
destroyer	umbhubhisi	anger	0.812
pissesmeoff	i-pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	u-barbaric	anger	0.812
anger	intukuthelo	anger	0.811
pieceofshit	i-pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	ulwa	anger	0.803
punched	ijeziswe	anger	0.803
bitch	i-bitch	anger	0.803
punching	ukushaya	anger	0.803
homicide	ukubulala	anger	0.803
destructive	okulimazayo	anger	0.797
ruthless	unonya	anger	0.797
villainous	i-villainous	anger	0.797
slap	shaya	anger	0.791
slaughterhouse	indlu yokubulala	anger	0.788
punishing	ukujezisa	anger	0.788
destroyed	kubhujiswa	anger	0.788
retaliatory	ukuphindisela	anger	0.788
riot	isiyaluyalu	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ukukhala	anger	0.788
growthefuckup	ukukhulisa	anger	0.788
diabolical	i-diabolical	anger	0.788
manslaughter	ukubulawa kwabantu	anger	0.783
clash	ukuphikisana	anger	0.783
bloody	igazi	anger	0.781
hellish	isihogo	anger	0.781
loath	loath	anger	0.781
detonation	ukuthunjwa	anger	0.781
quarrel	ukuxabana	anger	0.781
sinister	isono	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	icala	anger	0.779
treacherous	okhohlisayo	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	buyisela	anger	0.773
revulsion	ukuvukela	anger	0.773
madder	i-madder	anger	0.773
horrific	okwesabekayo	anger	0.773
scorn	ukugxekwa	anger	0.769
deplorable	okudabukisayo	anger	0.766
bomb	ibhomu	anger	0.766
anarchist	i-anarchist	anger	0.765
devastation	ukubhujiswa	anger	0.765
resent	ukucasuka	anger	0.765
firestorm	isibhamu	anger	0.765
contemptible	ukuzondeka	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	unonya	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ngokubulala	anger	0.758
smash	smash	anger	0.758
rant	i-rant	anger	0.758
outburst	ukuthukuthela	anger	0.757
snarl	sharl	anger	0.754
profane	ungcolile	anger	0.750
offend	iphutha	anger	0.750
douchebags	ama-douchebags	anger	0.750
growling	ukukhala	anger	0.750
stfu	stfu	anger	0.750
vulgarity	inhlamba	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	usho kanje	anger	0.750
despise	delela	anger	0.750
horror	amahloni	anger	0.750
aggravating	ukuhlukumeza	anger	0.750
revolting	ukuvukela	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	usongo	anger	0.742
erupt	kuqhuma	anger	0.742
screaming	ukumemeza	anger	0.742
violence	ubudlova	anger	0.742
horrible	ezimbi	anger	0.742
molestation	ukuhlukunyezwa	anger	0.742
bastards	bastards	anger	0.741
revenge	buyisela	anger	0.738
catastrophe	inhlekelele	anger	0.735
menacing	ukuphazamisa	anger	0.735
demon	idemoni	anger	0.735
crushing	ukuchoboza	anger	0.735
damn	Hewu	anger	0.735
persecute	ukushushisa	anger	0.734
argue	phikisa	anger	0.734
flog	funda	anger	0.734
revolt	ukuvukela	anger	0.734
thrash	thrash	anger	0.734
deplore	cindezela	anger	0.734
warfare	impi	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	i-vehement	anger	0.734
riotous	ehlekisayo	anger	0.734
altercation	ukuguqulwa	anger	0.729
warlike	impi	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	i-mutiny	anger	0.727
castrate	i-castrate	anger	0.727
sabotage	isabatha	anger	0.727
malevolent	ukuhlukunyezwa	anger	0.721
strike	isiteleka	anger	0.721
disaster	inhlekelele	anger	0.721
disastrous	inhlekelele	anger	0.720
tumult	ukuxokozela	anger	0.719
madden	madden	anger	0.719
devil	uDeveli	anger	0.719
scream	khala	anger	0.719
brutal	ngesihluku	anger	0.719
treachery	ukukhohlisa	anger	0.719
scorching	ukushisa	anger	0.719
vermin	i-vermin	anger	0.719
arseholes	i-arseholes	anger	0.719
horseshit	amahhashi	anger	0.719
aggravates	kukhula	anger	0.719
spiteful	ukuthukuthela	anger	0.719
slay	bulala	anger	0.719
disdain	zidelele	anger	0.719
choke	bamba	anger	0.719
bastarding	ukukhwabanisa	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	i-anarchism	anger	0.714
mutilation	ukuguqulwa	anger	0.714
criminal	ubugebengu	anger	0.714
denunciation	ukulahlwa	anger	0.713
punch	i-punch	anger	0.713
crucifixion	ukubethelwa	anger	0.712
virulence	ukuvuthwa	anger	0.712
battled	ukulwa	anger	0.712
fatal	obulalayo	anger	0.712
holocaust	ukushisa	anger	0.712
blasphemous	uhlambalaza	anger	0.712
hurting	ukulimaza	anger	0.712
dumbasses	ama-dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ihlekisiwe	anger	0.706
atrocious	unesihluku	anger	0.706
evil	okubi	anger	0.706
irritated	uthukuthele	anger	0.706
assassin	umbulali	anger	0.703
dicks	dicks	anger	0.703
persecution	ukushushiswa	anger	0.703
slayer	umbulali	anger	0.703
kidnap	uthatha	anger	0.703
scolding	ukukhipha	anger	0.703
intimidation	ukwesatshiswa	anger	0.703
aggravated	ihlukumezekile	anger	0.703
aggression	ukuhlukunyezwa	anger	0.702
armed	ehlomile	anger	0.700
poison	ubuthi	anger	0.697
snarling	ukuhleka	anger	0.697
venom	i-venom	anger	0.697
battle	impi	anger	0.697
disgruntled	adidekile	anger	0.693
insidious	insidious	anger	0.691
assailant	ukuhlukumezeka	anger	0.691
resentment	ukufutheka	anger	0.691
lynch	lynch	anger	0.690
contemptuous	enesizotha	anger	0.690
temper	ukufutheka	anger	0.688
imprisonment	ukuboshwa	anger	0.688
disparage	ukuphazamiseka	anger	0.688
bully	ukuxhaphaza	anger	0.688
terrible	esabekayo	anger	0.688
lunatic	lunatic	anger	0.688
curse	isiqalekiso	anger	0.688
makesmemad	inhlawulo	anger	0.688
peeved	i-peeved	anger	0.688
domination	ukubusa	anger	0.688
mad	mad	anger	0.688
infanticide	i-infanticide	anger	0.688
volatility	ukungazami	anger	0.687
eradication	ukuqedwa	anger	0.685
tantrum	ukuduma	anger	0.682
devastate	ukuchitha	anger	0.682
eradicate	ukuqeda	anger	0.682
scoundrel	i-scoundrel	anger	0.682
aggressively	ngokuhlukumeza	anger	0.680
agitation	ukukhathazeka	anger	0.680
dictatorship	ubushiqela	anger	0.676
irritates	ucasula	anger	0.676
profanity	ukuhlambalaza	anger	0.673
egregious	okumangalisayo	anger	0.672
expletive	ukuxosha	anger	0.672
nasty	okubi	anger	0.672
shove	shove	anger	0.672
shot	Kudutshulwe	anger	0.672
harmful	kuyingozi	anger	0.672
aggravation	ukuhlukumezeka	anger	0.672
contempt	ukudeka	anger	0.672
poisonous	unobuthi	anger	0.672
dastardly	i-dastardly	anger	0.672
shoot	ukudubula	anger	0.672
corrupting	okonakalisa	anger	0.672
condemnation	ukulahlwa	anger	0.672
wreak	i-wreak	anger	0.672
crushed	ochotshoziwe	anger	0.672
cruelly	ngesihluku	anger	0.672
crime	ubugebengu	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ukuqhuma	anger	0.667
odious	odizayo	anger	0.667
shooting	ukudubula	anger	0.667
kick	ukukhahlela	anger	0.667
aggressive	ulaka	anger	0.667
combat	ukulwa	anger	0.667
shout	umemeza	anger	0.667
hit	hit	anger	0.667
fight	ukulwa	anger	0.667
cutthroat	i-cutthroat	anger	0.667
enemy	isitha	anger	0.667
irritable	ukucasuka	anger	0.667
punished	ujeziswe	anger	0.662
ambush	baqamekele	anger	0.661
yell	bhala	anger	0.661
harass	ukuhlukumeza	anger	0.659
malignant	okubi	anger	0.656
aggressor	u-aggressor	anger	0.656
antichrist	umphik'ukristu	anger	0.656
gore	ukufaka	anger	0.656
incense	impepho	anger	0.656
expel	phuma	anger	0.656
destruction	ukubhujiswa	anger	0.656
grudge	intukuthelo	anger	0.656
cranky	i-cranky	anger	0.653
offended	ucasuliwe	anger	0.652
spank	spank	anger	0.652
growl	i-growl	anger	0.652
insurrection	ukuvuka	anger	0.652
reprisal	ukuphindaphinda	anger	0.652
slave	isigqila	anger	0.652
denounce	hlonipha	anger	0.652
animosity	inzondo	anger	0.652
insulting	ukuthuka	anger	0.652
clashing	ukuphoqa	anger	0.652
growls	izikhukhula	anger	0.649
executioner	i-executioner	anger	0.644
twat	i-twat	anger	0.644
doomsday	inhlekelele	anger	0.643
daemon	i-daemon	anger	0.641
obscenity	ukungcola	anger	0.641
bombard	ibhomu	anger	0.641
spat	spat	anger	0.641
havoc	havoc	anger	0.641
feud	i-feud	anger	0.641
grr	i-grr	anger	0.641
arson	umshini	anger	0.641
reprimand	ukusola	anger	0.641
expulsion	ukuxoshwa	anger	0.641
inexcusable	akukhoxeka	anger	0.641
accused	umsolwa	anger	0.641
indignant	uthukuthele	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	inxeba	anger	0.636
suicidal	ukuzibulala	anger	0.636
poisoned	ubuthi	anger	0.636
batter	batter	anger	0.636
kicking	ukukhahlela	anger	0.636
hanging	ilenga	anger	0.636
spanking	ukushaya	anger	0.636
disgusting	ezinengekayo	anger	0.636
combatant	umpi	anger	0.636
frustrated	kuphazamisekile	anger	0.636
anarchy	i-anarchy	anger	0.636
glaring	glaring	anger	0.636
inflict	ukuphazamisa	anger	0.633
wrecked	iphihliwe	anger	0.633
grievous	buhlungu	anger	0.632
prosecute	ukushushisa	anger	0.630
agitated	wavutha	anger	0.630
cheat	ukukopela	anger	0.630
swastika	swastika	anger	0.627
defamatory	ukuhlambalaza	anger	0.625
suffocation	ukuhlushwa	anger	0.625
strife	izingxabano	anger	0.625
provocation	ukucasuka	anger	0.625
injure	ukulimala	anger	0.625
harassing	ukuhlukumeza	anger	0.625
scourge	isishayo	anger	0.625
cursing	ukuqalekisa	anger	0.625
betray	ukunikela	anger	0.625
indict	ukubeka icala	anger	0.625
raid	ukuhlasela	anger	0.625
thundering	ukuduma	anger	0.625
enslaved	ubugqila	anger	0.625
arsehole	i-arsehole	anger	0.624
insane	i-insane	anger	0.621
fiend	fiend	anger	0.621
irritate	ukucasula	anger	0.621
convict	unecala	anger	0.621
jerk	jerk	anger	0.621
theft	ukweba	anger	0.621
retaliation	ukuphindisela	anger	0.621
deprivation	ukulahlwa	anger	0.621
cussed	cussed	anger	0.619
turmoil	ukuphazamiseka	anger	0.618
smack	smack	anger	0.615
retribution	impindiselo	anger	0.614
twats	amahlumela	anger	0.609
intolerable	ukungenakubekezelelwa	anger	0.609
rebellion	ukuhlubuka	anger	0.609
injurious	ukulimala	anger	0.609
oppressor	umcindezeli	anger	0.609
slavery	ubugqila	anger	0.609
irritability	ukucasuka	anger	0.609
collision	ukushayisana	anger	0.609
bitterly	buhlungu	anger	0.609
gang	iqembu	anger	0.609
antagonism	ukuphikisana	anger	0.609
battery	ibhetri	anger	0.609
adverse	okubi	anger	0.609
disgraced	behlazekile	anger	0.608
irritating	ecasulayo	anger	0.606
revolution	i-revolution	anger	0.606
thug	isib	anger	0.606
diatribe	i-diatribe	anger	0.606
bombardment	ibhomu lokubhubhisa	anger	0.606
blast	ukuqhuma	anger	0.606
irks	irks	anger	0.606
sickening	kugula	anger	0.606
discrimination	ukubandlululwa	anger	0.606
antagonistic	ukuphikisa	anger	0.606
ranting	ukuphumula	anger	0.606
asshole	i-asshole	anger	0.606
frustrate	khathazeka	anger	0.604
manipulation	ukuxhaphaza	anger	0.603
tension	ukungezwani	anger	0.603
insult	ukuthuka	anger	0.603
bigot	i-bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	okulimazayo	anger	0.603
oppression	ukucindezelwa	anger	0.603
disgust	ukudeka	anger	0.602
spite	siphambanise	anger	0.600
intrusive	i-intrusive	anger	0.598
harshness	ukukhwabanisa	anger	0.597
slur	slur	anger	0.596
wretch	i-wretch	anger	0.594
inferno	i-inferno	anger	0.594
invasion	ukuhlasela	anger	0.594
puncture	ukuphumula	anger	0.594
miserable	buhlungu	anger	0.594
assail	ukushaya	anger	0.594
storming	ukuphoqa	anger	0.594
casualty	ukulimala	anger	0.594
bitterness	ukufutheka	anger	0.594
morbidity	ukuhlukunyezwa	anger	0.594
tempest	isiphepho	anger	0.594
consternation	ukucindezeleka	anger	0.592
depraved	epholile	anger	0.591
raving	ukuhlukumeza	anger	0.591
guillotine	guillotine	anger	0.591
guilty	unecala	anger	0.591
immoral	ukuziphatha okubi	anger	0.591
forcibly	ngokuphoqeleka	anger	0.591
overpowering	onamandla	anger	0.591
accursed	iqalekisiwe	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	umhlaseli	anger	0.588
scare	esabisa	anger	0.588
screwed	ihlaselwe	anger	0.588
indignation	ukuthukuthela	anger	0.587
jealousy	umhawu	anger	0.587
vexed	ukukhathazeka	anger	0.586
confront	ukubhekana	anger	0.582
brute	ukuhlukumezeka	anger	0.581
throttle	phutha	anger	0.579
wreck	kuphazamiseka	anger	0.578
revolver	i-revolver	anger	0.578
slut	slut	anger	0.578
yousuck	uyadina	anger	0.578
damage	umonakalo	anger	0.578
butcher	ukuhlaba inyama	anger	0.578
conflict	ukungqubuzana	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	ubugebengu	anger	0.578
bickering	ukuphikisana	anger	0.578
pillage	ukuphanga	anger	0.578
blaze	shisa	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	ukukhishwa	anger	0.578
contentious	ukuphikisana	anger	0.578
incarceration	ukuboshwa	anger	0.578
defiant	unqabile	anger	0.578
provoking	ukucasula	anger	0.578
lash	lash	anger	0.578
cancer	umdlavuza	anger	0.577
frustration	ukukhungatheka	anger	0.576
gory	gory	anger	0.576
alienation	ukuhlukaniswa	anger	0.576
discord	ukungavumelani	anger	0.576
disturbance	ukuphazamiseka	anger	0.576
grope	ukuphunga	anger	0.576
condescension	ukuzithoba	anger	0.576
pernicious	i-pernicious	anger	0.576
blasphemy	ukuhlambalaza	anger	0.576
discriminate	ukubandlulula	anger	0.576
chaotic	i-chaotic	anger	0.576
gun	isibhamu	anger	0.576
standoff	i-standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	ukuthula	anger	0.574
oppressive	ukucindezela	anger	0.574
death	ukufa	anger	0.574
jab	jab	anger	0.574
cursed	uqalekisiwe	anger	0.574
scandalous	okwesabisa	anger	0.574
monstrosity	ukuthukuthela	anger	0.574
shit	shit	anger	0.573
disparaging	ukuphazamisa	anger	0.571
slash	shaya	anger	0.571
unfair	ukungalungi	anger	0.571
gallows	umgodi	anger	0.570
escalate	kukhula	anger	0.569
intolerant	ukungahloniphi	anger	0.564
lawlessness	ukungabi namthetho	anger	0.563
bluddy	bluddy	anger	0.562
perdition	ukubhujiswa	anger	0.562
taunt	ukuhleka usulu	anger	0.562
grouchy	i-grouchy	anger	0.562
torpedo	i-torpedo	anger	0.562
deceived	bakhohlisiwe	anger	0.562
slander	ukunyundela	anger	0.562
retards	izimpendulo	anger	0.562
bearish	bearish	anger	0.562
invade	bahlasele	anger	0.562
bellows	i-bellows	anger	0.562
beast	isilo	anger	0.562
frightful	esabekayo	anger	0.562
derogatory	ukuhlekisa	anger	0.562
glare	i-glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	esabekayo	anger	0.562
traitor	umthengisi	anger	0.562
malign	ukuhlukumezeka	anger	0.562
wrangling	ukugubha	anger	0.562
dissension	ukungezwani	anger	0.561
banshee	banshee	anger	0.561
shatter	shatter	anger	0.561
conflagration	ukushaywa umoya	anger	0.561
jeopardize	engozini	anger	0.561
thief	isela	anger	0.561
rave	shaya	anger	0.561
grating	ukugaya	anger	0.561
devastating	elibhubhisayo	anger	0.561
idiots	idiots	anger	0.561
betrayal	ukukhashelwa	anger	0.561
uncontrollable	angalawuleki	anger	0.561
fits	kufanelana	anger	0.561
cross	ukuwela	anger	0.561
hurt	ukulimala	anger	0.561
disturbed	ukuphazamiseka	anger	0.559
subjugation	ukuhlukunyezwa	anger	0.559
stomped	ziqotshwe	anger	0.557
grab	uthatha	anger	0.557
ticked	kukhishwe	anger	0.556
masochism	amehlochismism	anger	0.556
grievance	isikhalazo	anger	0.556
defiance	ukungahloniphi	anger	0.552
blackmail	ukuxoshwa	anger	0.550
offensive	ukucasula	anger	0.549
decry	i-decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ukwephulwa	anger	0.547
punishment	ukujeziswa	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	Isayidi elimnyama	anger	0.547
misery	usizi	anger	0.547
frustrates	kuphazamisa	anger	0.547
disgraceful	ihlazo	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ukukhathazeka	anger	0.547
disparity	ukungafani	anger	0.547
confine	vimba	anger	0.547
firearms	izibhamu	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	i-preposterous	anger	0.547
rebel	isihlubuki	anger	0.547
deceive	khohlisa	anger	0.547
stolen	kubiwe	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	i-wanker	anger	0.545
heated	ukufutheka	anger	0.545
ruined	yonakalisiwe	anger	0.545
menace	inhlekelele	anger	0.545
humiliate	hlazisa	anger	0.545
tackle	ukubhekana	anger	0.545
conspirator	umqambi	anger	0.545
foul	kungcolile	anger	0.545
antagonist	umphikisi	anger	0.545
resentful	ukucasuka	anger	0.545
prejudice	ubandlululo	anger	0.545
adversary	isitha	anger	0.545
argument	ingxabano	anger	0.545
skirmish	ukukhwabanisa	anger	0.545
callous	ungenangqondo	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ziboshwe	anger	0.544
robbery	ukuphanga	anger	0.544
sting	i-sting	anger	0.544
outcry	ukukhala	anger	0.544
grumble	ukukhubekisa	anger	0.544
irreconcilable	ukungahambisani	anger	0.543
resistance	ukumelana	anger	0.543
obstructive	ukuvimbela	anger	0.542
dismay	ukuphazamiseka	anger	0.540
mob	isixuku	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ububi	anger	0.536
ridicule	ukuhleka usulu	anger	0.534
incendiary	incendiary	anger	0.533
flares	ama-flares	anger	0.532
degeneracy	ukuwohloka	anger	0.531
confinement	ukuvalelwa	anger	0.531
exacerbation	ukucindezela	anger	0.531
prejudicial	ubandlululo	anger	0.531
uprising	ukuvukela	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	abangenandaba	anger	0.531
unbridled	engavunyelwe	anger	0.531
allegation	icala	anger	0.531
communism	ubukhomanisi	anger	0.531
whip	isibhamu	anger	0.531
intruder	intruder	anger	0.531
dispute	impikiswano	anger	0.531
belittle	nciphisa	anger	0.531
bigoted	kukhulu	anger	0.530
offender	umonile	anger	0.530
hassle	ukuhlukunyezwa	anger	0.530
dissonance	dissonance	anger	0.530
unjust	ukungalungi	anger	0.530
dictatorial	obushiqela	anger	0.530
unjustifiable	okungenabulungisa	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	ukuguquka	anger	0.530
tackled	ihlangene	anger	0.530
renegade	ukuhlubuka	anger	0.529
hot	kushisa	anger	0.529
prison	ejele	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	isiphambeko	anger	0.529
suicide	ukuzibulala	anger	0.521
annoy	ukucasula	anger	0.520
leavemealone	ngiyeke	anger	0.517
idiotic	idiotic	anger	0.516
distrust	ukungathembeki	anger	0.516
depravity	ukungcola	anger	0.516
cretins	ama-cretins	anger	0.516
divorce	isehlukaniso	anger	0.516
broil	shayela	anger	0.516
grrr	i-grrr	anger	0.516
venting	ukuphuma	anger	0.516
inimical	inimical	anger	0.516
duress	ukucindezela	anger	0.516
disrespectful	ukungabi nhlonipho	anger	0.516
tortious	ukuhlukunyezwa	anger	0.516
criticize	ukugxeka	anger	0.516
prisoner	isiboshwa	anger	0.516
dishonest	ukungathembeki	anger	0.516
treason	ukuhlubuka	anger	0.516
victimized	bahlushwa	anger	0.515
bile	bile	anger	0.515
unkind	unkind	anger	0.515
unforgiving	ukungathetheleli	anger	0.515
unleash	unleash	anger	0.515
coercion	ukuphoqelela	anger	0.515
scold	funa	anger	0.515
chaos	i-chaos	anger	0.515
grump	i-grump	anger	0.515
roar	bhonga	anger	0.515
jerks	ama-jerks	anger	0.515
poaching	ukuzingela	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	pow	anger	0.515
poachers	abazingeli	anger	0.515
argumentation	ukuphikisana	anger	0.515
frustrating	kuphazamisekile	anger	0.515
tussle	siphumelele	anger	0.514
bane	bane	anger	0.511
accusation	icala	anger	0.510
repudiation	ukuphika	anger	0.510
enmity	ubutha	anger	0.510
banish	baxoshe	anger	0.509
disfigured	ukuphazamiseka	anger	0.508
storm	isiphepho	anger	0.507
shun	gwema	anger	0.500
suppression	ukucindezelwa	anger	0.500
unruly	okungavumelekile	anger	0.500
intractable	ezingenakwenzeka	anger	0.500
ordeal	ukuhlupheka	anger	0.500
obstruct	ukuvimbela	anger	0.500
derogation	ukudeka	anger	0.500
fervor	fervor	anger	0.500
foaming	ukuqhuma	anger	0.500
derision	ukuhleka usulu	anger	0.500
animus	animus	anger	0.500
rejects	uyalahla	anger	0.500
bout	ukuqeda	anger	0.500
spear	umkhonto	anger	0.500
crazy	i-crazy	anger	0.500
brazen	ubhedu	anger	0.500
antithesis	ukuphikisa	anger	0.500
injustice	ukungabi nabulungisa	anger	0.500
banished	isusiwe	anger	0.500
confined	uvalelwe	anger	0.500
frenzied	frenzied	anger	0.500
dominate	lawula	anger	0.500
disrupting	ukuphazamisa	anger	0.500
hammering	ukunyakaza	anger	0.500
fear	ukwesaba	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	usizi	anger	0.500
brunt	i-brunt	anger	0.500
possessed	ephethe	anger	0.500
defy	ukulahla	anger	0.500
scoff	ukuhleka usulu	anger	0.500
patronising	ukuphishekela	anger	0.500
delusional	i-delusional	anger	0.500
malpractice	ukungasebenzi	anger	0.500
reject	wenqaba	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	ukuqina	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	ubuhlanya	anger	0.491
sinful	isono	anger	0.491
avarice	i-avarice	anger	0.490
oppress	ukucindezela	anger	0.490
disapproved	ayamukelekile	anger	0.485
inhuman	unhumanuntu	anger	0.485
demand	ukufunwa	anger	0.485
abolish	ukuqeda	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	isikhalazo	anger	0.485
disservice	hlela	anger	0.485
smuggler	umthumbi	anger	0.485
revoke	buyisa	anger	0.485
infraction	iphutha	anger	0.485
claw	ukuphoqa	anger	0.485
dissident	abahlali	anger	0.485
pervert	uphenduke	anger	0.485
