word	Bengali-bn	emotion	emotion-intensity-score
brawl	তোলপাড়	anger	0.861
assault	লাঞ্ছনা	anger	0.859
malicious	বিদ্বেষপরায়ণ	anger	0.859
strangle	শ্বাসরোধ করা	anger	0.859
tirade	সুদীর্ঘ বক্তৃতা	anger	0.859
explode	বিস্ফোরিত করা	anger	0.859
assassination	গুপ্তহত্যা	anger	0.859
hostility	শত্রুতা	anger	0.859
loathsome	ঘৃণিত	anger	0.857
hell	জাহান্নাম	anger	0.853
murderous	খুনী	anger	0.853
attack	আক্রমণ	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	সন্ত্রাসবাদ	anger	0.851
beating	প্রহার	anger	0.849
desecration	অপবিত্রতা	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	অত্যাচার	anger	0.848
stab	ছুরিকাঘাত	anger	0.844
slaughter	বধ	anger	0.844
violent	হিংসাত্মক	anger	0.844
destroying	অন্তক	anger	0.844
abomination	কদর্যতা	anger	0.844
tumultuous	আবেগপূর্ণ	anger	0.844
irate	রাগাম্বিত	anger	0.844
infuriate	ক্ষিপ্ত	anger	0.844
obliterate	ধ্বংস করা	anger	0.843
belligerent	যুধ্যমান	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ঘৃণা করা	anger	0.838
hostilities	যুদ্ধবিগ্রহ	anger	0.837
prick	ফুটা	anger	0.835
torture	যন্ত্রণা	anger	0.833
rabid	ক্ষিপ্তবৎ	anger	0.833
horrid	ভয়ানক	anger	0.833
rampage	ছোটাছুটি	anger	0.833
cruelty	নিষ্ঠুরতা	anger	0.833
hate	ঘৃণা	anger	0.828
demonic	দুষ্ট	anger	0.828
hating	ঘৃণা	anger	0.828
satanic	শয়তানি বুদ্ধি	anger	0.828
tyrannical	অত্যাচারী	anger	0.828
ragemode	ragemode	anger	0.828
despicable	ঘৃণ্য	anger	0.828
ruinous	ধ্বংসপ্রাপ্ত	anger	0.825
condemn	নিন্দা করা	anger	0.825
riots	দাঙ্গার	anger	0.824
demolish	ধ্বংস করা	anger	0.824
angry	ক্রুদ্ধ	anger	0.824
extermination	উন্মূলন	anger	0.824
dickhead	শিশ্ন	anger	0.824
livid	সীসকবর্ণ	anger	0.821
madman	পাগল	anger	0.820
vindictive	প্রতিহিংসাপরায়ণ	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	হিংস্রতা	anger	0.818
venomous	বিদ্বেষপূর্ণ	anger	0.818
threaten	শাসান	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	সন্ত্রাসবাদী	anger	0.818
abhor	ঘৃণাসহকারে পরিহার করা	anger	0.816
savage	অসভ্য	anger	0.814
atrocity	নৃশংসতা	anger	0.814
carnage	হত্যাকাণ্ড	anger	0.814
berserk	পাগল	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	অপব্যবহার	anger	0.812
tyrant	অত্যাচারী	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	জাতিবৈর	anger	0.812
fierce	হিংস্র	anger	0.812
destroyer	অপহন্তা	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	ধূমায়মান	anger	0.812
barbaric	আদিম	anger	0.812
anger	রাগ	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	সবলে রাখা	anger	0.803
fights	মারামারি	anger	0.803
punched	পাঞ্চ	anger	0.803
bitch	দুশ্চরিত্রা	anger	0.803
punching	ঘুসি	anger	0.803
homicide	নরহত্যা	anger	0.803
destructive	ধ্বংসাত্মক	anger	0.797
ruthless	দয়ালু নয় এমন	anger	0.797
villainous	দুর্বৃত্ত	anger	0.797
slap	চড়	anger	0.791
slaughterhouse	কসাইখানা	anger	0.788
punishing	শাস্তি	anger	0.788
destroyed	বিনষ্ট	anger	0.788
retaliatory	প্রতিদানক্ষম	anger	0.788
riot	দাঙ্গা	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	নারকীয়	anger	0.788
manslaughter	নরহত্যা	anger	0.783
clash	সংঘর্ষ	anger	0.783
bloody	রক্তাক্ত	anger	0.781
hellish	নারকীয়	anger	0.781
loath	অরাজি	anger	0.781
detonation	বিস্ফোরণ	anger	0.781
quarrel	ঝগড়া	anger	0.781
sinister	অশুভ	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	অভিযুক্ত করলেও	anger	0.779
treacherous	বিশ্বাসঘাতক	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	প্রতিহিংসা গ্রহণ করা	anger	0.773
revulsion	মনোভাবের সম্পূর্ণ পরিবর্তন	anger	0.773
madder	লতাবিশেষ	anger	0.773
horrific	ভয়ঙ্কর	anger	0.773
scorn	অবজ্ঞা	anger	0.769
deplorable	শোচনীয়	anger	0.766
bomb	বোমা	anger	0.766
anarchist	নৈরাজ্যবাদী	anger	0.765
devastation	বিধ্বংস	anger	0.765
resent	ক্ষতিকর মনে করা	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	নীচ	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	নিষ্ঠুর	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	মারাত্মক	anger	0.758
smash	সম্পূর্ণ ধ্বংস	anger	0.758
rant	অর্থহীন বাক্য	anger	0.758
outburst	বিস্ফোরণ	anger	0.757
snarl	খেঁক করা	anger	0.754
profane	অপবিত্র	anger	0.750
offend	চটান	anger	0.750
douchebags	douchebags	anger	0.750
growling	growling	anger	0.750
stfu	stfu	anger	0.750
vulgarity	গ্রাম্যতা	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	মাথা-পাগলা	anger	0.750
despise	অবজ্ঞা করা	anger	0.750
horror	ভয়	anger	0.750
aggravating	বিরক্তিকর	anger	0.750
revolting	বিরক্তিকর	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	হুমকি	anger	0.742
erupt	বিস্ফোরণ হত্তয়া	anger	0.742
screaming	চিত্কার	anger	0.742
violence	হিংস্রতা	anger	0.742
horrible	ভয়ঙ্কর	anger	0.742
molestation	বিরক্তি	anger	0.742
bastards	বেজন্মাদের	anger	0.741
revenge	প্রতিশোধ	anger	0.738
catastrophe	বিপর্যয়কারী ঘটনা	anger	0.735
menacing	ভয়প্রদর্শনকারী	anger	0.735
demon	দৈত্য	anger	0.735
crushing	নিষ্পেষণ	anger	0.735
damn	অভিশাপ	anger	0.735
persecute	নির্যাতন করা	anger	0.734
argue	তর্ক করা	anger	0.734
flog	কশান	anger	0.734
revolt	বিদ্রোহ	anger	0.734
thrash	ছেঁচা	anger	0.734
deplore	বিলাপ করা	anger	0.734
warfare	যুদ্ধবিগ্রহ	anger	0.734
fedup	বিরক্ত	anger	0.734
vehement	প্রচণ্ড	anger	0.734
riotous	দাঙ্গাবাজ	anger	0.734
altercation	ঝগড়াঝাঁটি	anger	0.729
warlike	সামরিক	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	বিদ্রোহ	anger	0.727
castrate	খোজা	anger	0.727
sabotage	অন্তর্ঘাত	anger	0.727
malevolent	হিংসক	anger	0.721
strike	ধর্মঘট	anger	0.721
disaster	বিপর্যয়	anger	0.721
disastrous	সর্বনাশা	anger	0.720
tumult	দাঙ্গা	anger	0.719
madden	মাত করা	anger	0.719
devil	শয়তান	anger	0.719
scream	চিত্কার	anger	0.719
brutal	পাশবিক	anger	0.719
treachery	বিশ্বাসঘাতকতা	anger	0.719
scorching	দাহক	anger	0.719
vermin	কীটমূষিকাদি	anger	0.719
arseholes	আর্সেহোলস	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	হিংসক	anger	0.719
slay	হিংসা করা	anger	0.719
disdain	অবজ্ঞা	anger	0.719
choke	শ্বাসরোধ	anger	0.719
bastarding	bastarding	anger	0.719
mangle	ছিন্ন করা	anger	0.714
anarchism	নৈরাজ্যবাদ	anger	0.714
mutilation	অঙ্গহানি	anger	0.714
criminal	অপরাধী	anger	0.714
denunciation	অভিশাপ	anger	0.713
punch	মুষ্ট্যাঘাত	anger	0.713
crucifixion	ক্রুশারোহণ	anger	0.712
virulence	অত্যধিক তীব্রতা	anger	0.712
battled	লড়াই	anger	0.712
fatal	মারাত্মক	anger	0.712
holocaust	ব্যাপক হত্যাকাণ্ড	anger	0.712
blasphemous	ধর্মহীন	anger	0.712
hurting	আঘাত	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	মানসিক বিকারগ্রস্ত	anger	0.706
atrocious	নৃশংস	anger	0.706
evil	মন্দ	anger	0.706
irritated	বিরক্ত	anger	0.706
assassin	গুপ্তঘাতক	anger	0.703
dicks	সেক্স	anger	0.703
persecution	নিপীড়ন	anger	0.703
slayer	হত্যাকারী	anger	0.703
kidnap	অপহরণ	anger	0.703
scolding	খিঁচুনি	anger	0.703
intimidation	হুমকি	anger	0.703
aggravated	কুপিত	anger	0.703
aggression	আক্রমণ	anger	0.702
armed	সশস্ত্র	anger	0.700
poison	বিষ	anger	0.697
snarling	খেঁকী	anger	0.697
venom	বিষ	anger	0.697
battle	যুদ্ধ	anger	0.697
disgruntled	খেয়ালী	anger	0.693
insidious	প্রতারণাপূর্ণ	anger	0.691
assailant	আততীয়	anger	0.691
resentment	বিরক্তিভাব	anger	0.691
lynch	লিঞ্চ	anger	0.690
contemptuous	ঘৃণাপূর্ণ	anger	0.690
temper	মেজাজ	anger	0.688
imprisonment	কারাবাস	anger	0.688
disparage	অবজ্ঞা করা	anger	0.688
bully	চমত্কার	anger	0.688
terrible	ভয়ানক	anger	0.688
lunatic	চন্দ্রাহত	anger	0.688
curse	অভিশাপ	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	বিরক্ত	anger	0.688
domination	কর্তৃত্ব	anger	0.688
mad	পাগল	anger	0.688
infanticide	শিশুহত্যার	anger	0.688
volatility	অবিশ্বাস	anger	0.687
eradication	উচ্ছেদ	anger	0.685
tantrum	দুর্বার ক্রোধ	anger	0.682
devastate	ধ্বংসান	anger	0.682
eradicate	সমূলে উত্পাটন করা	anger	0.682
scoundrel	খচ্চর	anger	0.682
aggressively	সহিংস	anger	0.680
agitation	চাগাড়	anger	0.680
dictatorship	একনায়কতন্ত্র	anger	0.676
irritates	irritates	anger	0.676
profanity	অপবিত্রতা	anger	0.673
egregious	গুরুতর	anger	0.672
expletive	অনুপূরক	anger	0.672
nasty	কদর্য	anger	0.672
shove	ঠেলা	anger	0.672
shot	শট	anger	0.672
harmful	ক্ষতিকর	anger	0.672
aggravation	অধোগমন	anger	0.672
contempt	অবজ্ঞা	anger	0.672
poisonous	বিষাক্ত	anger	0.672
dastardly	কাপুধ়ষোচিত	anger	0.672
shoot	অঙ্কুর	anger	0.672
corrupting	কলুষিত	anger	0.672
condemnation	নিন্দা	anger	0.672
wreak	প্রতিহিংসা গ্রহণ করা	anger	0.672
crushed	চূর্ণ	anger	0.672
cruelly	নিষ্ঠুরভাবে	anger	0.672
crime	অপরাধ	anger	0.672
maniac	ক্ষিপ্ত	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	অগ্ন্যুত্পাত	anger	0.667
odious	ঘৃণ্য	anger	0.667
shooting	শুটিং	anger	0.667
kick	পদাঘাত	anger	0.667
aggressive	আক্রমনাত্মক	anger	0.667
combat	যুদ্ধ	anger	0.667
shout	চিত্কার	anger	0.667
hit	আঘাত	anger	0.667
fight	যুদ্ধ	anger	0.667
cutthroat	গলাকাটা	anger	0.667
enemy	শত্রু	anger	0.667
irritable	খিট্খিটে	anger	0.667
punished	দণ্ডিত	anger	0.662
ambush	ত্তৎ পাতা	anger	0.661
yell	চিত্কার	anger	0.661
harass	হয়রান করা	anger	0.659
malignant	মারাত্মক	anger	0.656
aggressor	আক্রমণকারী	anger	0.656
antichrist	খ্রীষ্টশত্রু	anger	0.656
gore	জমাট বাঁধা রক্ত	anger	0.656
incense	ধূপ	anger	0.656
expel	ঠেলা	anger	0.656
destruction	ধ্বংস	anger	0.656
grudge	মনের ঝাল	anger	0.656
cranky	খামখেয়ালী	anger	0.653
offended	বিক্ষুব্ধ	anger	0.652
spank	পাছায় বড় মারা	anger	0.652
growl	গোঁ গোঁ শব্দ করা	anger	0.652
insurrection	বিদ্রোহ	anger	0.652
reprisal	প্রত্যধিকার	anger	0.652
slave	ক্রীতদাস	anger	0.652
denounce	সমালোচনা করা	anger	0.652
animosity	বিদ্বেষ	anger	0.652
insulting	অপমানকর	anger	0.652
clashing	clashing	anger	0.652
growls	growls	anger	0.649
executioner	জল্লাদ	anger	0.644
twat	তাকেই	anger	0.644
doomsday	শেষবিচারের দিন	anger	0.643
daemon	অপদেবতা	anger	0.641
obscenity	অশ্লীলতা	anger	0.641
bombard	বোমা ছুড়িয়া মারা	anger	0.641
spat	লম্বা মোজাবন্ধনী	anger	0.641
havoc	ব্যাপক ধ্বংস	anger	0.641
feud	জাতিবিবাদ	anger	0.641
grr	grr	anger	0.641
arson	অগ্নিসংযোগ	anger	0.641
reprimand	তর্জন	anger	0.641
expulsion	বিতাড়ন	anger	0.641
inexcusable	অমার্জনীয়	anger	0.641
accused	অভিযুক্ত	anger	0.641
indignant	অত্যুগ্র	anger	0.641
shackle	হাতকড়া	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ক্ষত	anger	0.636
suicidal	আত্মঘাতী	anger	0.636
poisoned	বিষ	anger	0.636
batter	প্রহার করা	anger	0.636
kicking	সুস্থ ও সক্রিয়	anger	0.636
hanging	ঝুলন্ত	anger	0.636
spanking	চমত্কার	anger	0.636
disgusting	ন্যক্কারজনক	anger	0.636
combatant	যোদ্ধা	anger	0.636
frustrated	হতাশ	anger	0.636
anarchy	অরাজকতা	anger	0.636
glaring	জ্বলজ্বলে	anger	0.636
inflict	হানা	anger	0.633
wrecked	wrecked	anger	0.633
grievous	দু: খজনক	anger	0.632
prosecute	নালিশ করা	anger	0.630
agitated	ক্ষুব্ধ	anger	0.630
cheat	প্রতারণা	anger	0.630
swastika	স্বস্তিকচিহ্ন	anger	0.627
defamatory	মানহানিকর	anger	0.625
suffocation	দমবন্ধ হয়ে	anger	0.625
strife	শত্রুতা	anger	0.625
provocation	জ্বালাতন করা	anger	0.625
injure	আঘাত করা	anger	0.625
harassing	হয়রান	anger	0.625
scourge	চাবুক	anger	0.625
cursing	অভিশাপ	anger	0.625
betray	গুপ্তরহস্য প্রকাশ করা	anger	0.625
indict	অভিযুক্ত করা	anger	0.625
raid	উপদ্রব	anger	0.625
thundering	গুড়ুম	anger	0.625
enslaved	enslaved	anger	0.625
arsehole	আর্সহো	anger	0.624
insane	উন্মাদ	anger	0.621
fiend	পাষণ্ড	anger	0.621
irritate	জ্বালাতন করা	anger	0.621
convict	আসামি	anger	0.621
jerk	হেঁচকা	anger	0.621
theft	চুরি	anger	0.621
retaliation	প্রতিশোধ	anger	0.621
deprivation	বিয়োগব্যথা	anger	0.621
cussed	বেয়াড়া	anger	0.619
turmoil	অশান্তি	anger	0.618
smack	তীক্ষ্নভাবে	anger	0.615
retribution	প্রতিফল	anger	0.614
twats	ফেনা	anger	0.609
intolerable	অসহনীয়	anger	0.609
rebellion	দ্রোহ	anger	0.609
injurious	ক্ষতিকর	anger	0.609
oppressor	অত্যাচারী	anger	0.609
slavery	দাসত্ব	anger	0.609
irritability	বিরক্ত	anger	0.609
collision	ধাক্কা	anger	0.609
bitterly	ভেঙ্গে	anger	0.609
gang	দল	anger	0.609
antagonism	বিরোধ	anger	0.609
battery	ব্যাটারি	anger	0.609
adverse	প্রতিকূল	anger	0.609
disgraced	নিন্দিত	anger	0.608
irritating	বিরক্তিকর	anger	0.606
revolution	বিপ্লব	anger	0.606
thug	খুনে	anger	0.606
diatribe	সুদীর্ঘ বিতর্ক	anger	0.606
bombardment	গোলাবর্ষণ	anger	0.606
blast	বিস্ফোরণ	anger	0.606
irks	irks	anger	0.606
sickening	বিরক্তিকর	anger	0.606
discrimination	বৈষম্য	anger	0.606
antagonistic	শত্রুভাবাপন্ন	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole পর্ণ	anger	0.606
frustrate	হতাশ	anger	0.604
manipulation	দক্ষতা সহকারে হস্তচালন	anger	0.603
tension	চিন্তা	anger	0.603
insult	অপমান	anger	0.603
bigot	ধর্মান্ধ	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ক্ষতিকর	anger	0.603
oppression	নিপীড়ন	anger	0.603
disgust	বিতৃষ্ণা	anger	0.602
spite	বিদ্বেষ	anger	0.600
intrusive	অনধিকারপ্রবেশমূলক	anger	0.598
harshness	রুঢ়তা	anger	0.597
slur	কলঙ্ক	anger	0.596
wretch	নরাধম	anger	0.594
inferno	নরক	anger	0.594
invasion	আক্রমণ	anger	0.594
puncture	খোঁচা	anger	0.594
miserable	দু: স্থ	anger	0.594
assail	প্রাণপণ চেষ্টা করা	anger	0.594
storming	storming	anger	0.594
casualty	দুর্ঘটনা	anger	0.594
bitterness	তিক্ততা	anger	0.594
morbidity	রোগ	anger	0.594
tempest	প্রচণ্ড ঝড়	anger	0.594
consternation	ত্রাস	anger	0.592
depraved	চরিত্রহীন	anger	0.591
raving	প্রলাপ	anger	0.591
guillotine	শিরছেদনার্থ যন্ত্রবিশেষ	anger	0.591
guilty	দোষী	anger	0.591
immoral	অসৎ	anger	0.591
forcibly	বলপূর্বক	anger	0.591
overpowering	মাত্রাধিক	anger	0.591
accursed	অভিশপ্ত	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	বিরুপ	anger	0.588
invader	আক্রমণকারী	anger	0.588
scare	ভীতি	anger	0.588
screwed	মাতাল	anger	0.588
indignation	ঘৃণামিশ্রিত ক্রোধ	anger	0.587
jealousy	সন্দেহ	anger	0.587
vexed	জালাতন	anger	0.586
confront	মুখোমুখি	anger	0.582
brute	নরপশু	anger	0.581
throttle	শ্বাসনালী	anger	0.579
wreck	ধ্বংস	anger	0.578
revolver	রিভলভর	anger	0.578
slut	বেশ্যা	anger	0.578
yousuck	yousuck	anger	0.578
damage	ক্ষতি	anger	0.578
butcher	কসাই	anger	0.578
conflict	দ্বন্দ্ব	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	অপরাধিত্ব	anger	0.578
bickering	কলহের	anger	0.578
pillage	লুঠতরাজ	anger	0.578
blaze	আলোকচ্ছটা	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	ঘা	anger	0.578
contentious	কুস্বভাব	anger	0.578
incarceration	কারারোধ	anger	0.578
defiant	দ্বন্দ্বার্থ সম্মুখীন	anger	0.578
provoking	উদ্দীপক	anger	0.578
lash	কশাঘাত	anger	0.578
cancer	ক্যান্সার	anger	0.577
frustration	পরাজয়	anger	0.576
gory	রক্তাক্ত	anger	0.576
alienation	উন্মত্ততা	anger	0.576
discord	অনৈক্য	anger	0.576
disturbance	ঝামেলা	anger	0.576
grope	অনুভব করা	anger	0.576
condescension	অনুকংপা	anger	0.576
pernicious	ক্ষতিকর	anger	0.576
blasphemy	ধর্মনিন্দা	anger	0.576
discriminate	ভেদ করা	anger	0.576
chaotic	বিশৃঙ্খল	anger	0.576
gun	বন্দুক	anger	0.576
standoff	বিরোধ নিষ্পত্তিতে	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	টিটকারি	anger	0.574
lunacy	পাগলামি	anger	0.574
oppressive	অত্যাচারী	anger	0.574
death	মরণ	anger	0.574
jab	খোঁচা	anger	0.574
cursed	অভিশপ্ত	anger	0.574
scandalous	মানহানিকর	anger	0.574
monstrosity	বিকট মূর্তি	anger	0.574
shit	বিষ্ঠা	anger	0.573
disparaging	অপমানজনক	anger	0.571
slash	শোঁ শোঁ শব্দ করা	anger	0.571
unfair	অন্যায্য	anger	0.571
gallows	ফাঁসিকাঠ	anger	0.570
escalate	ধাপে ধাপে বৃদ্ধি করা	anger	0.569
intolerant	অসহ	anger	0.564
lawlessness	অনাচার	anger	0.563
bluddy	bluddy	anger	0.562
perdition	নরকবাস	anger	0.562
taunt	বিদ্রূপ	anger	0.562
grouchy	খিট্খিটে	anger	0.562
torpedo	টর্পেডো	anger	0.562
deceived	প্রতারিত	anger	0.562
slander	অপবাদ	anger	0.562
retards	না retards	anger	0.562
bearish	অভদ্র	anger	0.562
invade	আক্রমণ করা	anger	0.562
bellows	হাপর	anger	0.562
beast	জন্তু	anger	0.562
frightful	ভয়ঙ্কর	anger	0.562
derogatory	হানিকর	anger	0.562
glare	একদৃষ্টি	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	ভয়ঙ্কর	anger	0.562
traitor	বিশ্বাসঘাতক	anger	0.562
malign	মারাত্মক	anger	0.562
wrangling	ঝগড়াটে	anger	0.562
dissension	মতদ্বৈধ	anger	0.561
banshee	Banshee	anger	0.561
shatter	ধ্বংস করা	anger	0.561
conflagration	অগ্নিকাণ্ড	anger	0.561
jeopardize	বিপন্ন	anger	0.561
thief	চোর	anger	0.561
rave	আমোদ	anger	0.561
grating	কটু	anger	0.561
devastating	বিধ্বংসী	anger	0.561
idiots	ইডিয়টের	anger	0.561
betrayal	বিশ্বাসঘাতকতা	anger	0.561
uncontrollable	উদ্দাম	anger	0.561
fits	তড়কা	anger	0.561
cross	ক্রুশ	anger	0.561
hurt	ক্ষতি	anger	0.561
disturbed	সংবিগ্ন	anger	0.559
subjugation	আরতি	anger	0.559
stomped	stomped	anger	0.557
grab	দখল	anger	0.557
ticked	টিক	anger	0.556
masochism	মর্ষকাম	anger	0.556
grievance	নালিশের কারণ	anger	0.556
defiance	দ্বন্দ্বার্থ আহ্বান	anger	0.552
blackmail	ব্ল্যাকমেল	anger	0.550
offensive	আক্রমণাত্মক	anger	0.549
decry	সমালোচনা করা	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ভঙ্গ	anger	0.547
punishment	শাস্তি	anger	0.547
shrill	উগ্র	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	অন্ধকার দিক	anger	0.547
misery	দুর্বিপাক	anger	0.547
frustrates	বিফল	anger	0.547
disgraceful	মর্যাদাহানিকর	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	উদ্ধত	anger	0.547
disparity	অসমতা	anger	0.547
confine	পুরা	anger	0.547
firearms	আগ্নেয়াস্ত্র	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	ভ্রান্ত	anger	0.547
rebel	বিদ্রোহী	anger	0.547
deceive	ছলা	anger	0.547
stolen	অপহৃত	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	হস্তমৈথুনকারী	anger	0.545
heated	উত্তপ্ত	anger	0.545
ruined	ছারখার	anger	0.545
menace	ভীতিপ্রদর্শন	anger	0.545
humiliate	খেলো করা	anger	0.545
tackle	সাজসরঁজাম	anger	0.545
conspirator	চক্রান্তকারী	anger	0.545
foul	নোংরা	anger	0.545
antagonist	বিরোধী	anger	0.545
resentful	বিরক্ত	anger	0.545
prejudice	কুসংস্কার	anger	0.545
adversary	প্রতিদ্বন্দ্বী	anger	0.545
argument	যুক্তি	anger	0.545
skirmish	দাঙ্গা	anger	0.545
callous	অনুভূতিহীন	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	বিজড়িত	anger	0.544
robbery	ডাকাতি	anger	0.544
sting	দংশন	anger	0.544
outcry	হৈচৈ	anger	0.544
grumble	নালিশ	anger	0.544
irreconcilable	শত্রুভাবাপন্ন	anger	0.543
resistance	সহ্য করার ক্ষমতা	anger	0.543
obstructive	বাধা	anger	0.542
dismay	আতঙ্ক	anger	0.540
mob	ভিড়	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	অসাধুতা	anger	0.536
ridicule	উপহাস	anger	0.534
incendiary	আগ্নেয়	anger	0.533
flares	অগ্নিতরঙ্গ	anger	0.532
degeneracy	আপজাত্য	anger	0.531
confinement	কারাবাস	anger	0.531
exacerbation	তীব্রতা	anger	0.531
prejudicial	অনিষ্টকর	anger	0.531
uprising	বিদ্রোহ	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	বেপরোয়া	anger	0.531
unbridled	লাগামহীন	anger	0.531
allegation	অভিযোগ	anger	0.531
communism	কমিউনিজম	anger	0.531
whip	চাবুক	anger	0.531
intruder	অনধিকারপ্রবেশকারী	anger	0.531
dispute	বিতর্ক	anger	0.531
belittle	তুচ্ছতাচ্ছিল্য করা	anger	0.531
bigoted	গোঁড়া	anger	0.530
offender	অপরাধী	anger	0.530
hassle	ঝগড়া	anger	0.530
dissonance	অনৈক্য	anger	0.530
unjust	অন্যায্য	anger	0.530
dictatorial	স্বৈর	anger	0.530
unjustifiable	অসমর্থনীয়	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	স্বেচ্ছাচারিতা	anger	0.530
tackled	মোকাবেলা	anger	0.530
renegade	দলত্যাগী	anger	0.529
hot	গরম	anger	0.529
prison	কারাগার	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	অন্যায়ভাবে সীমালঙ্ঘন	anger	0.529
suicide	আত্মহত্যা	anger	0.521
annoy	বিরক্ত করা	anger	0.520
leavemealone	আমাকে একা থাকতে দাও	anger	0.517
idiotic	আহাম্মক	anger	0.516
